,ED,NSE,logNSE,NSEfdc,NSErunoff,beta,Ce,Drainagecapacity,Interceptionstoragecapacity,Kf,Meltfactor,Mm,Ratio_Pref,Soilstoragecapacity,Temp_Thresh
0,0.6053454485284293,0.12420576515625048,0.35769370070380524,0.47071309608699574,0.9221867770786638,0.643,0.667,0.0,0.322,0.116,2.813,0.1569,0.428,158.36,-1.961
1,0.502679443857098,0.20091427845361876,0.4699231202218084,0.8948481747942897,0.7168567537320574,1.419,0.4,0.0,0.017,0.512,3.093,0.5267,0.62,103.22,-1.236
2,0.4245042700378434,0.3161774020190896,0.5832674396086206,0.7185487769376164,0.9820741036926708,0.347,0.744,0.0,0.134,0.145,4.142,0.1097,0.26,234.77,-0.464
3,0.38653049313196086,0.40285742014361203,0.6102574399671941,0.9166477098016448,0.7132995283862119,1.984,0.573,0.0,1.013,0.403,4.625,0.4941,0.657,39.77,-0.812
4,0.5923026355224621,0.08456226562970603,0.4282753417828761,0.5119863891917545,0.9846041066900132,1.36,0.4,0.0,0.231,0.2,3.072,0.1196,0.124,332.64,0.389
5,0.5302872551156925,0.16255767095502605,0.3924865626517825,0.7668906790784361,0.9901966731609784,0.861,0.432,0.0,1.373,0.489,1.327,0.3716,0.468,124.62,-0.163
6,0.3894242431709912,0.39831258368762124,0.5271597393537572,0.9080331185088996,0.8880116151142166,0.503,0.783,0.0,1.387,0.731,4.025,0.4565,0.629,399.84,0.14
7,0.4528234698151631,0.32406088398547717,0.5299502467310461,0.7999051794072255,0.6801281773475161,1.927,0.644,0.0,0.835,0.22,4.563,0.2775,0.694,252.73,-1.934
