,ED,NSE,logNSE,NSEfdc,NSErunoff,beta,Ce,Drainagecapacity,Interceptionstoragecapacity,Kf,Meltfactor,Mm,Ratio_Pref,Soilstoragecapacity,Temp_Thresh
12,0.4614250378237897,0.3121649575471678,0.520023376929177,0.8321974019462034,0.6535899165893428,0.972,0.516,0.0,1.922,0.188,4.645,0.4673,0.802,527.37,-1.821
13,0.5859214330329137,0.1264342519706576,0.37888103279566554,0.5277101908208189,0.9646142494240735,0.821,0.714,0.0,1.464,0.622,2.647,0.5312,0.219,1145.54,-1.385
14,0.6430159401566649,0.01728756887864069,0.20824263293610734,0.8086879138028347,0.8429196629850626,1.234,0.701,0.0,2.589,0.207,1.361,0.6988,0.865,3171.72,-1.27
15,0.3499005680479385,0.4196280063893366,0.6566127939737891,0.8897127263747088,0.848963835035191,0.55,0.479,0.0,3.088,0.407,4.492,0.0073,0.472,371.12,-0.057
16,0.41269116820303026,0.40451543322265193,0.4723931604758187,0.8098625321182201,0.8898505643412946,0.197,0.776,0.0,2.097,0.985,2.997,0.6671,0.554,1630.78,0.928
17,0.3640582952567121,0.3815235055613415,0.6586754766562825,0.8236656304454102,0.9933400386089151,1.572,0.631,0.0,1.705,0.88,3.898,0.1388,0.276,3987.33,0.262
18,0.42072670529234,0.3126686679821,0.5652285105517383,0.7996992533068646,0.9195460066360789,0.103,0.53,0.0,1.889,0.298,3.554,0.2489,0.187,1994.89,-0.46
19,0.37336887112543027,0.38408915108834685,0.599369839111958,0.8809525892924892,0.9400477683026034,0.367,0.436,0.0,1.125,0.19,4.229,0.7499,0.764,5132.42,0.089
20,0.4732633572625223,0.3303353177732131,0.4848656624231962,0.6510840734019626,0.7543247568369733,1.611,0.414,0.0,2.597,0.252,4.905,0.4799,0.223,2686.85,-1.896
21,0.47387593195826677,0.26283348668101547,0.4552044032331253,0.9412518159602753,0.766407329280531,1.108,0.605,0.0,1.891,0.664,4.393,0.3542,0.797,785.35,-0.839
22,0.4774051336353625,0.22946889402243054,0.504688412997713,0.7678638820560721,0.8631653708530778,0.703,0.53,0.0,3.853,0.977,2.942,0.1766,0.145,4873.4,-1.562
23,0.5646326249369701,0.08457051337124277,0.37620324446991416,0.9468287646110424,0.7872106978703743,1.522,0.587,0.0,2.96,0.917,4.251,0.5358,0.74,5147.65,-1.884
24,0.5434998798413931,0.10924873554597458,0.4357942039404671,0.7410275418839933,0.9476956210803353,0.784,0.544,0.0,4.386,0.137,1.728,0.0958,0.626,3198.98,-0.823
25,0.37861404881631877,0.345522788187858,0.6492901934201538,0.8514880599874615,0.9991020549087469,0.975,0.666,0.0,3.942,0.148,3.543,0.8196,0.105,4158.27,0.517
26,0.3904307602419373,0.3306441426748893,0.6663876138474605,0.7792165650457817,0.959196800463937,1.706,0.608,0.0,4.554,0.996,3.369,0.774,0.159,1530.95,0.789
27,0.36244366771159564,0.393471392195456,0.6161113694857538,0.9054102152930802,0.9644052115807519,1.886,0.522,0.0,4.276,0.805,3.324,0.2088,0.418,1125.37,-0.005
28,0.34801118576174256,0.45156491910976704,0.7713769147805023,0.9003544769963013,0.6514768897761044,0.774,0.461,0.0,2.961,0.267,4.443,0.2977,0.396,1930.81,2.0
29,0.6150748915949399,0.0388651071427627,0.2644297148930155,0.8203263503647078,0.8729490570330973,1.461,0.401,0.0,2.717,0.518,1.414,0.1754,0.649,1021.27,-1.284
30,0.518035431034698,0.14017875239200273,0.49571455043225154,0.7183983103189178,0.9766135271137015,1.896,0.539,0.0,1.557,0.39,1.594,0.6331,0.104,1388.99,-0.578
31,0.3608676686519664,0.3606514702808048,0.6993904798601008,0.8524562145266503,0.9996799553485992,0.582,0.573,0.0,2.429,0.254,3.004,0.5578,0.521,2005.93,0.925
32,0.4454264620468271,0.310896934541956,0.4885511632927477,0.9232482792659893,0.7735377330818496,0.174,0.505,0.0,1.426,0.52,3.757,0.0013,0.773,3184.01,-0.069
33,0.4002245750323551,0.30796804068650163,0.6404771755064753,0.8201174602706818,0.9859921558844401,0.81,0.446,0.0,4.971,0.217,3.156,0.5614,0.53,3850.45,0.281
34,0.5390372797638745,0.14074181674598418,0.43258471315646285,0.6927306306733807,0.9131348324018986,1.165,0.512,0.0,2.4,0.367,2.203,0.2153,0.195,428.07,-1.528
35,0.43616678993755226,0.278003469236937,0.5410538593809036,0.8952874176172204,0.8654987016962923,1.247,0.424,0.0,2.322,0.916,3.39,0.5697,0.459,2502.54,-1.024
36,0.48044565083186397,0.22027227411048644,0.5175126279685474,0.7136672645335629,0.976414675692902,1.077,0.731,0.0,4.733,0.596,2.761,0.1479,0.375,3530.82,0.133
37,0.5197288060802339,0.4417884908243459,0.31364516350005067,0.5871530070975464,0.6431436740553573,0.235,0.602,0.0,4.852,0.427,3.616,0.2061,0.833,3467.11,1.972
38,0.48518828299936906,0.2701482883120352,0.5097847711668764,0.5924534728867781,0.9495815862636344,1.936,0.558,0.0,3.302,0.241,4.458,0.2574,0.108,5366.03,-0.929
39,0.5838958417224993,0.11901500479725191,0.25427550435130963,0.839913319352535,0.9233835173105626,0.534,0.53,0.0,3.297,0.767,2.31,0.7787,0.75,1943.2,-0.699
40,0.5434069789045831,0.12159451081757189,0.4025957988777079,0.8911627210377631,0.79793307382816,0.832,0.648,0.0,2.765,0.623,2.696,0.3732,0.682,2113.83,-1.262
41,0.32440103699413364,0.4303525998190523,0.7124801145615576,0.8826756301373432,0.9963560471518265,0.571,0.658,0.0,4.651,0.167,4.877,0.2067,0.388,3461.22,0.765
42,0.4901569296994161,0.18356537042641674,0.5467208440994815,0.7017020119084618,0.9975351086974725,0.498,0.425,0.0,1.456,0.281,2.455,0.832,0.13,4046.61,-0.076
43,0.46702899240143847,0.22470326760308534,0.5264123944623222,0.8164709361389133,0.8841934444513586,1.16,0.421,0.0,3.796,0.227,2.591,0.638,0.452,2661.6,-1.023
44,0.47126241585042167,0.32368408516919744,0.3812562635205843,0.838054022577922,0.8520826897094979,1.514,0.738,0.0,4.545,0.526,3.088,0.5669,0.812,2332.89,0.278
45,0.3946408288947017,0.37713617617406214,0.5799103315796577,0.9398602175912971,0.7656624883847216,0.805,0.599,0.0,2.677,0.62,4.89,0.7861,0.667,3338.36,-0.922
46,0.4064705028656223,0.3507844913893622,0.5454088424349011,0.9124008151999912,0.8416789197082215,0.236,0.601,0.0,4.207,0.245,3.915,0.6196,0.744,207.24,0.083
47,0.42755337742069444,0.3933618525620878,0.69463449793868,0.8446719683792028,0.5041947630448871,1.404,0.452,0.0,3.716,0.29,3.722,0.1188,0.278,4603.77,1.664
48,0.399206786512609,0.37464029357628825,0.5909784396146958,0.8328183867825539,0.7738559253163433,1.528,0.747,0.0,4.523,0.166,4.627,0.2956,0.842,591.97,-0.966
49,0.4176911651040905,0.31750429361196153,0.6053687611945812,0.7294913172885289,0.9438351860810728,1.401,0.533,0.0,4.637,0.197,4.235,0.6828,0.357,5343.46,-0.244
50,0.43923227736372855,0.39733806154314666,0.4109784165357151,0.7561856767310154,0.9541010694018803,0.637,0.466,0.0,4.722,0.221,3.537,0.4139,0.859,1101.71,0.611
51,0.6545330738792792,0.15692385313937174,0.49552907351150144,0.6611034048682085,0.2040508986511873,1.456,0.64,0.0,2.982,0.548,1.405,0.1974,0.232,5130.41,1.663
52,0.4344071751286549,0.4415577375437503,0.39262833277616016,0.759724910563958,0.8721401002424465,1.449,0.708,0.0,1.635,0.527,4.065,0.38,0.722,5416.43,0.649
53,0.5265293292223729,0.20511437597676307,0.5339818178909698,0.7084128039862284,0.581797484570862,1.069,0.715,0.0,3.837,0.98,2.344,0.9359,0.363,4181.52,1.824
54,0.3229503820043129,0.43225497178763317,0.7143403071506029,0.8881711661897139,0.9726827582489566,1.477,0.727,0.0,2.631,0.339,3.993,0.5406,0.15,1628.07,1.335
55,0.528212838344059,0.16460042474271552,0.40501101283661844,0.8694437530890512,0.7830070702241263,1.374,0.541,0.0,1.577,0.382,2.317,0.3416,0.746,3677.2,-0.909
56,0.5505241914550418,0.1076973887569933,0.41383664744896875,0.7327242331393724,0.9671399931068059,0.846,0.484,0.0,2.146,0.651,1.565,0.736,0.346,3132.2,-0.993
57,0.46164180173684544,0.4538207310296972,0.34275434013044614,0.6561315666542167,0.937362457572311,1.374,0.486,0.0,4.614,0.5,3.818,0.4498,0.707,2650.1,1.365
58,0.6087483826977875,0.024813671688960537,0.31275063828964667,0.7615631398072402,0.9536731465125067,0.26,0.526,0.0,2.974,0.193,1.232,0.9683,0.462,2043.0,-1.006
59,0.637062495215339,0.46925051374414684,0.041335641956375735,0.3523911076984565,0.942861175126745,1.486,0.727,0.0,3.111,0.448,3.629,0.6722,0.782,3294.06,1.757
60,0.5890652512303575,0.439086469674289,0.7461182930937706,0.8986983196834664,0.0006754577269152406,0.139,0.517,0.0,4.167,0.591,4.245,0.8835,0.154,1225.71,1.911
61,0.6575743889925951,7.066625021245887e-05,0.31693330427445743,0.48701028939950264,0.9956317336102231,0.509,0.686,0.0,2.648,0.522,2.25,0.3636,0.2,3428.95,0.141
62,0.4723818576701889,0.31993235492114436,0.5096901666215223,0.9219568913597639,0.5715236104208401,0.571,0.407,0.0,2.75,0.387,4.956,0.6464,0.852,4618.25,-1.749
63,0.3729637499785851,0.3431399751063495,0.681648786317787,0.8470584069680864,0.9857130564154003,1.162,0.584,0.0,3.344,0.13,2.986,0.0715,0.735,1305.71,0.939
64,0.4890052486628882,0.20708061255528432,0.5405605983163186,0.658473744060486,0.9923429393245299,0.8,0.779,0.0,2.203,0.418,2.869,0.5722,0.309,4172.34,0.314
65,0.3558630263974367,0.39256930809311974,0.6913765521693829,0.8065814413692795,0.9298376355668045,1.328,0.619,0.0,3.233,0.828,4.504,0.5221,0.216,531.62,1.581
66,0.4996201880086489,0.19594510891241756,0.4799508477543043,0.8073861436642309,0.7892256116665893,1.461,0.763,0.0,2.745,0.416,2.502,0.7188,0.495,643.31,-1.494
67,0.48543361156369735,0.2686923920961294,0.5009730053066086,0.6277253235575642,0.8580282724906868,1.789,0.669,0.0,1.672,0.189,3.576,0.154,0.365,4693.34,-1.441
68,0.4424030027261122,0.3324498301240677,0.5547358697804943,0.9022054719798294,0.6402299031157332,1.219,0.508,0.0,3.873,0.457,4.989,0.5848,0.713,3198.58,-1.587
69,0.6142501664967763,0.22967581334994203,0.11862610356425385,0.6782156168110558,0.8117220643713724,1.304,0.666,0.0,4.527,0.454,2.543,0.723,0.886,2615.14,-0.185
70,0.5862027627274282,0.3513438181361893,0.11847410405375369,0.6042746391468871,0.8582487834239797,1.955,0.578,0.0,2.656,0.603,3.565,0.6081,0.849,4961.02,0.654
71,0.5259676671809719,0.1822765206906437,0.36007626598309395,0.8337274937455849,0.9726627109772988,1.699,0.433,0.0,3.723,0.934,1.959,0.2574,0.517,3202.33,-0.655
72,0.40310117527117223,0.315575764086651,0.6473240346391843,0.7626375400891728,0.9716376764645901,0.694,0.79,0.0,1.544,0.813,3.167,0.4353,0.216,2299.39,0.739
73,0.47893797063189775,0.269333687612636,0.47073351588554857,0.7239646065249179,0.8346684871646157,0.696,0.715,0.0,4.485,0.908,3.826,0.9198,0.155,437.94,-1.883
74,0.4476334971916874,0.32221140765833034,0.5381107745863791,0.6991787895149351,0.8043713771125371,0.698,0.606,0.0,2.464,0.244,4.314,0.7725,0.387,934.62,-1.456
75,0.41545243982275254,0.33622471078226934,0.5954706057198207,0.707459110455819,0.9758943668276518,0.505,0.792,0.0,2.647,0.205,4.477,0.0935,0.163,1913.21,-0.495
76,0.5107715139927095,0.15542883944634245,0.5029806305047079,0.712847302737934,0.972345206775521,0.523,0.614,0.0,4.718,0.546,1.612,0.8845,0.252,3066.97,-0.547
