,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14,simulation_15,simulation_16,simulation_17,simulation_18,simulation_19
1975-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-01-04,0.0006252004776890654,3.582091469916078e-05,0.0019728533029406085,0.0902748127531765,0.000635079033142386,0.0013043026365745173,0.00017004656517959483,5.1115272186403334e-05,0.00011914652611715581,0.0002411737094678581,0.0001493943417434802,0.08700277107339488,0.00013942797717386756,0.0004191932747717341,0.0002638352088515319,0.0001301394661071428,0.0006873267379918389,0.00039401934420192755,0.00018275919380046713
1975-01-05,0.3575115214341083,0.19851565281259728,0.6618322273574823,0.6056730424604384,0.4288010267372322,0.5945545568456821,0.23213407629880078,0.4472509035813979,0.38762472775073714,0.1465845901736327,0.4641194637363878,0.6101330968058007,0.4221338248602288,0.5821852964544226,0.30337427182400556,0.23709665080012518,0.5638565218471403,0.29916231003714605,0.5664591319180143
1975-01-06,0.1797350524370898,0.1333912493667746,0.2695591092697704,0.3844810116236819,0.19716909861382756,0.30034158874644956,0.11782538836849483,0.2647542865807686,0.25606836591345383,0.06565299540004732,0.2855936380103993,0.328423818055683,0.284361237679887,0.15803821564091539,0.16009173270119043,0.15962007899157754,0.28386583801005577,0.15143674855848127,0.3447055903302556
1975-01-07,0.11887280874766157,0.09922931594741487,0.1738928424017787,0.2625235502689231,0.1467527529814054,0.18674198126330588,0.08200669178192596,0.1747930755080097,0.1937262519138897,0.05552424265001714,0.203870114840722,0.21094910841592274,0.21990674143488573,0.13748350173132715,0.11562696698087692,0.12336002434845399,0.20811715247803173,0.12327718395083523,0.24057708232779992
1975-01-08,0.2034047495692115,0.1360822065736876,0.2585129486176709,0.27593285264799117,0.200643147926015,0.2774395760715094,0.1511545252250521,0.2770681836464328,0.2536670245117749,0.13251885121742443,0.23412689329537673,0.2445877521408622,0.28488309863608874,0.2183346579902079,0.18547296094297053,0.16921110228589717,0.2715969235969026,0.2401297234264478,0.27557083663209
1975-01-09,0.7025020825422397,0.4080455172960071,0.8473837864573973,0.6652477474155147,0.5837267522860954,0.9178761614675819,0.5560411138497123,0.9774409700644495,0.7059901832685797,0.540422901980488,0.4964721455411959,0.6901744530173693,0.7700150032257252,0.6532597623982811,0.6210363196022367,0.48412869775555323,0.7651091797803403,0.8284448557953186,0.7104792247822141
1975-01-10,0.36599268372900373,0.2779500291677996,0.36560650650235005,0.42167916545416634,0.26436072096913055,0.4667304130327796,0.2889547204763073,0.5901234141437437,0.4671722396064513,0.25526395570921795,0.26470869409335995,0.3421720392440306,0.4644492594974474,0.2865911730942876,0.31913307652942924,0.2966377190569206,0.3591106030727921,0.42512839121686063,0.396351232677127
1975-01-11,0.22904207247060338,0.1989634570926077,0.24564758760253286,0.2829618892277,0.19235952017365532,0.2752005980658535,0.18580884428767958,0.36877264059684284,0.34097471063119184,0.1878271873690449,0.1914750595735861,0.2265429764723253,0.3469007278728568,0.22430570830173135,0.2143415709479152,0.21193660167604203,0.2526636175344497,0.31527245574088625,0.2747040553045434
