,simulation_1
2067-01-02,0.0
2067-01-03,3.5837925335606224e-05
2067-01-04,0.0006904252104917611
2067-01-05,0.0018878493037803945
2067-01-06,0.0006921330609116004
2067-01-07,0.00034366778002844134
2067-01-08,0.00021426333973289787
2067-01-09,0.005170213220593328
2067-01-10,0.005670406360303515
2067-01-11,0.001745731916267672
2067-01-12,0.0009259122870556491
2067-01-13,0.0006271293479639795
2067-01-14,0.0008647835489627299
2067-01-15,0.0005354412215630176
2067-01-16,0.003750228308501535
2067-01-17,0.025958827939885222
2067-01-18,0.05150828625287057
2067-01-19,0.06254535693658646
2067-01-20,0.0520165187048918
2067-01-21,0.029387048699990988
2067-01-22,0.04265810186851988
2067-01-23,0.01613899953174679
2067-01-24,0.03286434446066483
2067-01-25,0.09703548436802553
2067-01-26,0.28609938252461303
2067-01-27,0.16717627791249837
2067-01-28,0.09558865297304114
2067-01-29,0.1536140074268423
2067-01-30,0.15097792834118018
2067-01-31,0.23617538437530505
2067-02-01,0.2379899625373633
2067-02-02,0.4629650876251373
2067-02-03,0.21470233415817722
2067-02-04,0.24727299642458392
2067-02-05,0.16915613806638302
2067-02-06,0.09403179799914357
2067-02-07,0.1357354601578064
2067-02-08,0.1831942635219063
2067-02-09,0.098901105761809
2067-02-10,1.060346392760023
2067-02-11,0.9051299783857053
2067-02-12,0.6335054547002831
2067-02-13,0.6961421006230464
2067-02-14,0.3773405945500663
2067-02-15,0.3824218571312256
2067-02-16,0.6662628437795398
2067-02-17,0.6992158972881753
2067-02-18,0.4520556483889802
2067-02-19,0.29841453315482924
2067-02-20,0.4966315551999365
2067-02-21,1.0557874034443326
2067-02-22,1.7577908431354252
2067-02-23,1.7352503290567507
2067-02-24,0.8648017371515868
2067-02-25,1.013816450427719
2067-02-26,1.3247338012196104
2067-02-27,2.2480835086328637
2067-02-28,1.7657100858986334
2067-03-01,1.0407923941722348
2067-03-02,1.1000587297389623
2067-03-03,1.1654011665749593
2067-03-04,1.3926931556650324
2067-03-05,2.8127779812791083
2067-03-06,2.0014653192574943
2067-03-07,2.060980605406915
2067-03-08,2.2819798612087956
2067-03-09,2.4103017467498873
2067-03-10,3.0504579743321263
2067-03-11,4.819458547636882
2067-03-12,6.8572004544471845
2067-03-13,9.79016498503272
2067-03-14,5.640173643020105
2067-03-15,4.453547752639137
2067-03-16,3.975549655680492
2067-03-17,4.804908574515413
2067-03-18,5.775640275497221
2067-03-19,6.3620421990740805
2067-03-20,6.1947656076971045
2067-03-21,5.846820235535903
2067-03-22,5.8627494747470985
2067-03-23,5.996533815643381
2067-03-24,5.565041987228852
2067-03-25,5.031532660360199
2067-03-26,4.762166039515401
2067-03-27,4.836658049011675
2067-03-28,8.183298466264615
2067-03-29,5.841571547304834
2067-03-30,4.953607204237115
2067-03-31,5.72163723067168
2067-04-01,6.540229393633992
2067-04-02,6.162216020861452
2067-04-03,6.404863034822256
2067-04-04,8.87556274940702
2067-04-05,7.33460876491419
2067-04-06,6.192014736315188
2067-04-07,5.204890337332639
2067-04-08,4.904589110708087
2067-04-09,4.9707343006736275
2067-04-10,5.238106485695376
2067-04-11,5.552452569630095
2067-04-12,6.195581853984809
2067-04-13,6.20836767488907
2067-04-14,5.354732927181179
2067-04-15,5.072989913938896
2067-04-16,5.777993387820759
2067-04-17,6.1933601062432375
2067-04-18,5.544075349705448
2067-04-19,5.014247041236385
2067-04-20,4.821770012448756
2067-04-21,4.8422794953844
2067-04-22,5.340029747097867
2067-04-23,5.2602303120944125
2067-04-24,5.411665928712192
2067-04-25,6.016945929712092
2067-04-26,6.783813374567781
2067-04-27,8.15264376044202
2067-04-28,9.248014413760007
2067-04-29,7.815107672723887
2067-04-30,7.393491572059751
2067-05-01,8.293607669535673
2067-05-02,8.663910396556425
2067-05-03,8.978333097152019
2067-05-04,7.185786931152871
2067-05-05,6.827973830001971
2067-05-06,6.5822538238805794
2067-05-07,6.3231728014640485
2067-05-08,6.134022615754731
2067-05-09,5.953677773975981
2067-05-10,5.832650522474427
2067-05-11,6.287073980297197
