,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14,simulation_15,simulation_16,simulation_17,simulation_18,simulation_19,simulation_20
1975-01-27,1.0386157793624466,0.8791905910560939,0.45680906317386494,0.19016227433259297,0.32972110116126235,0.8460608096079391,0.9541742422230312,0.7096994041270128,0.5472460804405086,0.3656269273854278,0.2104048525640259,0.49557655311913384,1.1008383317349153,0.22739297387524277,1.2312687655198922,0.7723287415490406,1.0643742676115164,0.5550854789847415,0.63165709972483,0.5371024877586504
1975-01-28,1.2871397641955216,1.0767477084697104,0.564549392814134,0.2388671114515624,0.40616590293353133,0.9872298835472431,1.0998095499181684,0.8714128577748435,0.626641619522073,0.4550029958896864,0.2633466274261106,0.5846528752769681,1.318848235305849,0.29186887688305246,1.3905085790742233,0.9793692349355987,1.295101800665828,0.6669009951206003,0.7457903853851329,0.6790497486473939
1975-01-29,0.5459785706479174,0.49294521190383006,0.22592748253851475,0.0781362681979805,0.16084515255881865,0.5807441924875067,0.5489046608349891,0.36100701992441875,0.24504582150442433,0.171698355824712,0.09854381384830174,0.23666937521179637,0.6393138807975778,0.10780740857789421,0.8202453895385571,0.4227308144436823,0.5127987926828617,0.3492536538267875,0.36621132054741484,0.27637541324566633
1975-01-30,0.375492272984737,0.36022238748029783,0.16032131355896098,0.03913309763114389,0.11909287581469206,0.33401591069977044,0.27920774343706833,0.2517496089148637,0.1809375964916754,0.12038246163773933,0.06804346616029561,0.1708592483067334,0.49362526509808663,0.05876060268106283,0.4864227082277802,0.3088560206240629,0.3617662144483345,0.19623530963276903,0.1908706707644669,0.19410900157397246
1975-01-31,0.4003239191909794,0.37679142026497026,0.1678734806658807,0.04886736413099135,0.1173270200245195,0.2633673021145869,0.2455099264205889,0.2671592607778154,0.18859005862377454,0.12843849623630343,0.07301130517971949,0.17632216025653974,0.4996537118674166,0.07070163856546899,0.3726037784985624,0.3227548361609668,0.37944115939898665,0.17901564149107696,0.1702132452333296,0.20568013727056428
1975-02-01,0.8855411576131484,0.7563852623085666,0.38144102342159636,0.14975168030148886,0.28413406764047816,0.5299693239950636,0.5910030328892086,0.5913045831416921,0.40267877245920664,0.311903917817677,0.1825350080541654,0.3774071138866369,0.9039954218720528,0.19358651305353541,0.6867584931172879,0.7210174315973015,0.8733237149725555,0.38620873348536333,0.4160407686625261,0.4838502142588116
1975-02-02,0.5641040098505177,0.5077553812103603,0.24022758603621425,0.07701938748160037,0.19388146451547622,0.4352795241476961,0.42234478884303944,0.3721080374593025,0.2524346252686571,0.18826148924571506,0.1137349056384501,0.2397748593882565,0.6279851008406809,0.10592737041836027,0.5540056881599236,0.4997875104078309,0.5509951362970436,0.2820758639528835,0.3001335660387865,0.31590701117460146
1975-02-03,0.9805218300216396,0.8385581286169885,0.46251994930624796,0.1652668170479817,0.3382658031762232,0.6457945717277085,0.6669169120486541,0.6774447122100864,0.4879555358413957,0.38268411230815313,0.21810182833336844,0.45611707440820914,1.0318659853896612,0.21729683424582663,0.8365236370915154,0.7792806208973734,1.0083326788179492,0.4749176605294981,0.5070349692296557,0.5492499804032485
1975-02-04,1.5585199458958758,1.2952903438104495,0.7354198595608616,0.29020699257653193,0.524984997378946,1.0539154676618911,1.1372498360163001,1.0779025676313778,0.7351635207337399,0.620550547359841,0.3530465962663712,0.7049478308262476,1.5434320839267046,0.3797860815635492,1.3537182892677444,1.2082295197852995,1.5885191671750734,0.80156409352068,0.859546891068536,0.8761770646399902
1975-02-05,1.145241036384712,0.9811644918374937,0.5539763526927577,0.19460992078330114,0.37384510926482284,0.9329769716309507,0.9066216532618785,0.7942086251511278,0.5472345463615205,0.4638675076071611,0.2638388908198138,0.5293266087937305,1.1984686153614748,0.26250147529106466,1.2005635478860606,0.7594134888179899,1.1652593663416821,0.6758513253700819,0.7057013789118689,0.6282627373087
1975-02-06,1.197606136733284,1.014316490636682,0.5826423297682922,0.23417495436479063,0.3807631523464705,0.8879210752931512,1.052625325699108,0.8545072803210623,0.5998771260182086,0.5933047553516801,0.2644662842043695,0.5423870804617659,1.3008257192007497,0.27856992648444273,1.6090737331060987,0.8920944540581692,1.2541039470964144,0.7169422800209023,0.6832398001790196,0.6496585675224273
1975-02-07,1.1048011333018932,0.9513092868552425,0.5171990439328266,0.19399022034029717,0.36602447491742396,0.8240866559455473,0.8723988133296543,0.761389273266496,0.5025683684588049,0.45581402384826286,0.24580716187956886,0.4908583645400735,1.1551233803607863,0.2627841336640211,1.2999558047885125,0.8526949714169201,1.0921954609101512,0.6360158026316118,0.6185622053316884,0.6194463954181686
1975-02-08,0.640329058484642,0.5926005648934288,0.29208768783415157,0.08868322979181739,0.21481946988218784,0.5215829218601695,0.4810801945896408,0.43152471982063695,0.3067754603851038,0.25085795054655785,0.13367725778090908,0.2876508095212032,0.7540704910646223,0.12301081632869611,0.8033662787377731,0.5162805237447433,0.6159239409644672,0.37937426468238045,0.34632705922517093,0.35423985954482207
1975-02-09,0.5848613658145565,0.5467520426623932,0.2655947829649327,0.0808456018830208,0.19393808458450756,0.38811784108995767,0.3586916238772046,0.3940068111384515,0.2842033078154333,0.22996475717577858,0.12210346418296382,0.26118155016090316,0.6913838643307284,0.11216952292839595,0.5752071617083914,0.47467364962061337,0.5620350242027015,0.2994583683902111,0.2634511624734148,0.3239969996872268
1975-02-10,0.5477215685268226,0.5148192189431245,0.24841216694498863,0.07733533396284678,0.18134556949929329,0.32864956735449324,0.31579869342552636,0.36959959668338493,0.2694937659819228,0.21728085206118608,0.11536264652508653,0.2434505598449352,0.6451968059331459,0.10670704065440065,0.4673492155449284,0.44642516277301514,0.5281563287853145,0.26937613012461653,0.23417964560263088,0.30428871252756307
1975-02-11,0.5085613906402799,0.48162917550072126,0.2303887818070755,0.07220660539249618,0.16842927687392636,0.29537044005567153,0.29293439239929875,0.34328587789569537,0.2527286780478229,0.2028555499222501,0.10786495236894211,0.22382324246113178,0.598247762466374,0.09997098025782411,0.40662802681363736,0.41660083241278595,0.49248495842649476,0.2505771029185263,0.2166845588958995,0.28314479799909176
1975-02-12,0.4750577472643702,0.45207630409512856,0.21467296813400413,0.06999997776912056,0.1593078026344567,0.2747333746710386,0.2784327237602963,0.32158733172623044,0.24069763991297105,0.1918343576791741,0.10166287321023708,0.20998753873691173,0.5574559771690268,0.09494837824200676,0.3705494551659729,0.3910184996929725,0.46239583261194644,0.23747244252236502,0.20541426086359388,0.26537397632747595
1975-02-13,0.4642056742045173,0.4407637425491467,0.2103277134590872,0.07101634107380579,0.15654008247652854,0.271516703945029,0.2817967487373374,0.31536052740046927,0.2358022715483769,0.18977517126935306,0.10077828878164165,0.20372574550517508,0.5367821002645049,0.09619193741446991,0.3601349108083726,0.38188221937943834,0.45531324277771523,0.23648485592097265,0.20675199190711782,0.26039361493319046
1975-02-14,0.4159768350414921,0.4004332538668008,0.18752158718073983,0.06357611613158436,0.1419791432347034,0.2511842308005814,0.26024052021815236,0.2823966754456448,0.21595903530690802,0.17076677282392547,0.09046968815117658,0.18226520186886855,0.485546505021248,0.08540443640706524,0.3297061277527343,0.3455339581821849,0.40934186664030525,0.21813795431867708,0.18925975091936448,0.23366636205148514
1975-02-15,0.38687828860413354,0.3754991434948615,0.17442386187178555,0.05880484971323524,0.131632024843348,0.23574582738605124,0.2467641962711301,0.2625227011546554,0.20208151891088538,0.1594058499014597,0.08472615998935622,0.16673892802810464,0.4506737347492308,0.08014683110485776,0.30539814660990217,0.3225114038700924,0.3828737404194903,0.20523947687042168,0.17726447616345054,0.2175885521208862
1975-02-16,0.3607387160732154,0.35235454801843413,0.1624344725898472,0.05579019027858173,0.12370263127830677,0.22313217119591156,0.23590232833689703,0.24509847949106245,0.1908122532437721,0.1498332278711274,0.07964198082707329,0.15456728207452017,0.41920385280507727,0.07571710710235242,0.2856685723949169,0.3020721939582482,0.3590497060982294,0.19460108691843694,0.16787106072952232,0.20339797217893266
1975-02-17,0.3373758688445566,0.3314163488008077,0.15169759219789095,0.053160695025424254,0.11652679405886711,0.21250749814248268,0.22685641024162376,0.2295156127304034,0.18051293873768495,0.14121039156169052,0.07507316723514723,0.14366536784601908,0.39072564335552934,0.07187618658277856,0.2690841240507298,0.2836230930278555,0.3376457422605111,0.1854463252770962,0.16001970019122116,0.19066515835661552
1975-02-18,0.3137435911708681,0.310346010323265,0.14092184053205667,0.05022305347988509,0.10937546868732542,0.2018101075564664,0.21704477068310532,0.2137112859654093,0.17014581594508416,0.13241245263551285,0.07038873069758746,0.132857076057604,0.36281664561320287,0.06759935901394436,0.2529855701725496,0.2650797776112278,0.3159165138493141,0.1759843816212012,0.15178225924885405,0.1777875288218218
