,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14,simulation_15,simulation_16,mean,min,max
2070-01-31,0.15020497171744074,0.04607663088313574,0.22979736342818022,0.24058639734231474,0.16120869161532958,0.1951393732060969,0.08096037106523045,0.2813224344025778,0.3481390975234299,0.10995849742100779,0.12328845082553105,0.40020899189498116,0.16961025892234097,0.057786424031641304,0.2939122678042366,0.1594230566631467,0.19047645492166387,0.04607663088313574,0.40020899189498116
2070-02-01,0.082738139182056,0.03294047342628707,0.1277402371290555,0.21279726377492608,0.0883206080871019,0.1525363305553175,0.039942639398748564,0.23280198461701834,0.1903405060794502,0.036643958226895576,0.03634168625314225,0.32122304614271957,0.09704655275870078,0.034781153198674676,0.21735748751876166,0.047294958348353885,0.12192793904357561,0.03294047342628707,0.32122304614271957
2070-02-02,0.05647540460330392,0.031910767490141836,0.07440505639364092,0.1888942316198513,0.0648462867188734,0.11980182531950156,0.02393054144751721,0.19295422151267522,0.10635726614425794,0.020526164921784953,0.017760738048893162,0.2582578388307236,0.07553060805700441,0.026831873996552374,0.16093434453710925,0.024005370577263874,0.09021390876369341,0.017760738048893162,0.2582578388307236
2070-02-03,0.04607916114096423,0.03153462454866744,0.046500543233057995,0.16832593760887785,0.05690193344484902,0.09464644390736193,0.017645998226964568,0.16022681423494492,0.06164394469086232,0.016934718714406532,0.013742007822786348,0.20806123073144744,0.06887127536440155,0.024002705363077484,0.11934819476406025,0.019104357011740264,0.07209811817552937,0.013742007822786348,0.20806123073144744
2070-02-04,0.043976668842617916,0.037583183213767954,0.031869541984986635,0.15061936192905584,0.07111760880140078,0.07531184281664195,0.01630937376669988,0.14404495062042144,0.06545090329187682,0.01608609090485923,0.012825255375841152,0.18281521136322834,0.06744472892285187,0.03143989556804093,0.08869690421284059,0.05306387971885787,0.06804096258337432,0.012825255375841152,0.18281521136322834
2070-02-05,0.04233620886871099,0.03626646374314116,0.024172165050724427,0.13630618057838337,0.07198749564664685,0.06044779599241049,0.015425138201516284,0.12860300193867152,0.06373372218779347,0.01871669467444561,0.027828096398224013,0.15902981428001495,0.06778587987670377,0.03295900950378912,0.0661046565623478,0.04890626089291504,0.06253803652477744,0.015425138201516284,0.15902981428001495
2070-02-06,0.12062660723923943,0.15997358801334452,0.10661888448978542,0.13766449555735483,0.16686675739742562,0.0682305917697103,0.04328068189078409,0.14702785439191976,0.14736591712267127,0.12697022907360184,0.1508970970398713,0.1824615991111449,0.0822709797037049,0.06639858471819023,0.0793198709017052,0.21196392100259231,0.12487110371394036,0.04328068189078409,0.21196392100259231
2070-02-07,0.27542475598901095,0.5277083012878866,0.29349294349972377,0.186429345873636,0.3490228640642845,0.18211261882259178,0.16274225148427945,0.261579382779682,0.4606546050655761,0.4821803188414493,0.6308291772843263,0.3208533384728743,0.14950241658540583,0.1343769844713575,0.2696114596481157,0.6466627792832864,0.3333239714658429,0.1343769844713575,0.6466627792832864
2070-02-08,0.1404165373452018,0.06944867892642724,0.16453989291042473,0.16756130111419373,0.16291641541614157,0.14371977410174208,0.07534179809515096,0.21764559409642473,0.2546956388438723,0.1229739109420116,0.1486933678204359,0.2588405429606774,0.09257103074496176,0.06980385731498034,0.19979397576540542,0.15279721413922379,0.1526099706585797,0.06944867892642724,0.2588405429606774
2070-02-09,0.0880448454496855,0.04427532834716088,0.09713845008480854,0.15130107376295193,0.1036696025725076,0.11421200056845299,0.041263319576412466,0.18135607192760567,0.14299719442522404,0.04422264963453418,0.04591147674605012,0.2093980156081527,0.07561635704421513,0.04674436600040103,0.14833518861305484,0.0504634028046685,0.0990593339478679,0.041263319576412466,0.2093980156081527
