,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14,simulation_15,simulation_16,simulation_17,simulation_18,simulation_19
1975-01-25,0.0012934386594398851,0.0025698783687204264,0.0034955020725098212,0.00745627558275061,0.0038446536737493636,0.0017287727867777184,0.0007927187928374196,0.002097029690716477,0.0034320840121595886,0.0009819527724862496,0.004115728662171301,0.0068930022144974385,0.003024522917945672,0.005972190194877431,0.0013105184302423104,0.0022839522027837443,0.0035094898504039315,0.0029892824496824824,0.004876206399545678
1975-01-26,0.001112006126711162,0.0021907935507084596,0.02318279631450383,0.0375861067102456,0.0032887768557802732,0.0014692263829967618,0.0006844068509393472,0.0017892909844589918,0.002808349363215455,0.015033343205319901,0.0034960425902678914,0.006166658426119578,0.002457017003791293,0.07090842902359645,0.001033839145918188,0.0017981831674214808,0.0027220500638134772,0.002504889388535424,0.014561866175911925
1975-01-27,0.014708072771576276,0.0203580031183268,0.07230508736835536,0.0920106513847172,0.03241593649346019,0.011329724228275656,0.013161388403066179,0.026960180248438374,0.019329239665893304,0.043296732390222165,0.03558682587189443,0.05098125384083936,0.019824670486147486,0.156824107413428,0.02968937946576726,0.010944907994888646,0.04648087576239113,0.03582455783972838,0.07255848660869699
1975-01-28,0.006944066397053401,0.0140389389315278,0.059212414492824314,0.09879204675748537,0.015269565678171754,0.005760475913930635,0.006684293978359196,0.016486167953492184,0.013053703600980314,0.05381555742612668,0.02125511246042607,0.028795308390932486,0.012513445740302881,0.17000026441354577,0.015179665431602016,0.007190798794213465,0.02246191599715317,0.018080740818025444,0.059577220477669654
1975-01-29,0.17687309449411545,0.14554671151780213,0.4163017424824702,0.3556685287156742,0.24720022445306317,0.24793281772565726,0.1315351322298981,0.24961503792467798,0.18135115776232055,0.2240033356012866,0.25388535726900724,0.31758259491105634,0.17975178486647367,0.4577659122275384,0.22382950783510813,0.1344194685621583,0.2821121348021713,0.29158973123350784,0.453606412821413
1975-01-30,0.6143564747879433,0.35591747194907464,0.8143172308548943,0.6360991096834226,0.551195547733653,0.8484321759774333,0.490710965815451,0.8757743240868366,0.6435101676246963,0.39093136705855336,0.5696731176597274,0.7011290848665052,0.6739837538258433,0.42518562995714576,0.5518065958540694,0.43469410218589044,0.742080119080883,0.7085685940014088,0.623593521599015
1975-01-31,0.3216420190591839,0.24105067005970737,0.3570353453784324,0.40205741641977194,0.2550287661364994,0.4280644942754922,0.26326253629184904,0.5282798486534553,0.4469221421487324,0.20259647050880894,0.3159021572627039,0.3521188001260743,0.43594701264851343,0.22440898867057124,0.29569821314919364,0.27152169045900076,0.3671499476109645,0.38971892117233325,0.368972273981636
1975-02-01,0.21204908065178915,0.17331757281190352,0.23490305540907463,0.26974198065217037,0.1855448435788366,0.2574423056388363,0.17873157727023978,0.33880501226829735,0.3395491640267083,0.15105743854066128,0.23239153143401098,0.22675674297307707,0.3446683425292647,0.17901305960322134,0.2033284341467786,0.20178231988448259,0.26628501614217825,0.2972586202889076,0.25446926904748296
1975-02-02,0.14529536538130802,0.12711020240216087,0.1628243866265446,0.19215801060539528,0.1361107751513989,0.1681267697408409,0.1171258799297433,0.2164591905544572,0.2482335843585925,0.11948465708053388,0.16699297679216096,0.1535496778458885,0.255757502359204,0.1517081172771542,0.13762067567324204,0.15021618548672264,0.18697846230412657,0.22287889515838366,0.1855790649590653
1975-02-03,0.10653554172164054,0.09647025724496379,0.12421225021064321,0.1390566619556698,0.10377784850785593,0.1200727971948797,0.08120679947899145,0.14584368183808052,0.18523111962863203,0.09012689534862,0.12528074566752948,0.11279850920307172,0.19385019814204874,0.12218690597681921,0.09542751265849633,0.11359184311584741,0.13359272259864155,0.1711793291803425,0.13415203452519517
1975-02-04,0.0822289551251598,0.07573331609686614,0.10084747395837197,0.10546859219538798,0.08203423939744348,0.09151203392157639,0.059884833381981334,0.10459399070997147,0.1412501829725087,0.07111266701461194,0.09782207783958635,0.08910116447745982,0.14935130578711453,0.1040898134285419,0.0681210831516619,0.08677019669811767,0.09718595091054776,0.13468738818482728,0.10172875847188487
1975-02-05,0.06624847278512125,0.06140525067663333,0.08548639606686399,0.09102048323648246,0.06702137970908537,0.0731941201959706,0.04698157144624102,0.08005242697050631,0.11028599428351483,0.06789343456944316,0.07920771931211618,0.07450282727315818,0.11712736038775887,0.10193991426089055,0.05034135093392694,0.06695714700398611,0.0722480588406425,0.10858069605969523,0.0804160947779903
1975-02-06,0.3147261675947411,0.1823815669946326,0.3629813816741908,0.2615170910822532,0.25719546443251173,0.3614318285483909,0.24515402184769067,0.391693536476132,0.3171945316861091,0.22912045542509837,0.25906944940589327,0.29651858893040894,0.34823091669798517,0.2816161886816802,0.26485890266563394,0.21445158417864535,0.3221458427350497,0.39850365154755696,0.2924233559973115
1975-02-07,0.17868129167120111,0.1306648311287297,0.17387981556500057,0.17437612786009754,0.1249760266645714,0.20043266464773948,0.13549146110799726,0.2495135871431058,0.21740423554007268,0.11886039008815821,0.14749134619888515,0.15857822996109466,0.21814666950354042,0.13969271165898528,0.14009429501620246,0.13507940066928645,0.15469486879901828,0.22414048685562477,0.17102666551695456
1975-02-08,0.12121784472187982,0.0988778131964176,0.12865532746978664,0.1239239245247736,0.0960634976819677,0.12971265176145172,0.09396049919592728,0.1674854239643821,0.1649553486708789,0.09228038362399724,0.11163421875037527,0.11407748113746237,0.16774784565435275,0.1150078900623642,0.0980383806724541,0.09867494464097534,0.11218527166080093,0.17355973943880937,0.12607422027285142
1975-02-09,0.09131801372741656,0.07787877013707752,0.1020904188965753,0.09325144224392502,0.0765159889570085,0.09457220442523456,0.06930586169033022,0.11960530763843752,0.1281059463471403,0.07356859536123937,0.08789168474807177,0.08851635818064926,0.1312848909459129,0.09709859596379761,0.07077135060624325,0.07552267779414008,0.08309044538659058,0.13770430853200064,0.09685738686786265
1975-02-10,0.4662410804238363,0.2580238377645062,0.49954843999016607,0.37359395008723234,0.35741496865341005,0.5123468841272009,0.3617743571806882,0.5662027247437782,0.4358805253535451,0.35126066090598973,0.3547338560673392,0.42176745272820243,0.47741055014472,0.39819947947237555,0.38832575040924605,0.2988746481203053,0.4545879841843175,0.5714181016148623,0.41747027378227053
1975-02-11,0.9133411304412208,0.5020360420228263,0.8831754053948465,0.7279293557368549,0.6428586611947521,0.9702612984083511,0.7024075654320033,1.119938464752971,0.8309928567051414,0.6720919490589635,0.6525565575190074,0.7811482077304721,0.8929225867083694,0.6828172762648984,0.7559027110295903,0.5780344257175444,0.8462681158627726,1.0688749615068514,0.7844749641791167
1975-02-12,0.5026328044927443,0.3465771286342463,0.4053782542294426,0.4603954430331853,0.3031790810715188,0.524856822612945,0.38068146987670554,0.6889308319953253,0.5567420476384393,0.3493689585447561,0.3526801408255539,0.3917174648548111,0.5490014907792868,0.31124698728884553,0.4045161367315852,0.3575155452632648,0.41374799551954655,0.6031240300631385,0.4417734562060187
1975-02-13,0.327323496328126,0.25213288758082153,0.2868544201184727,0.3085170297131565,0.22259874119280995,0.32738507938263556,0.2516367846089966,0.4416009033103361,0.41121317679670333,0.27509671520687023,0.25385600841218803,0.26014372453492685,0.4132690187056257,0.25772268811933396,0.275220359747841,0.2574338925461263,0.29315533738259875,0.4539982358923135,0.30973442974524434
1975-02-14,0.25465382715902823,0.19989226955347417,0.2372398563858774,0.23032740763964818,0.18289486874211308,0.24669751550355562,0.1901261752156144,0.3192695430378884,0.3247138006837549,0.20799446498747076,0.20320585945728556,0.2017079691652815,0.3325349594417984,0.2034834211078558,0.2075341720887701,0.2053116261735059,0.22870654257209855,0.37078453532244265,0.24042094428824498
1975-02-15,0.19315643538523153,0.15727200425303284,0.18744989369283468,0.17282697211617132,0.14103671536044715,0.18399427074913766,0.13927859805615359,0.229088368337798,0.250169609266063,0.16525468591425274,0.1565457304718543,0.15253083324880456,0.25670941911721645,0.17166590965545864,0.14757995059462667,0.15731062685877384,0.1647627680386386,0.28807258361874555,0.1802823211170284
1975-02-16,0.15492983754184447,0.1274029984636084,0.15784329709611522,0.1340788904833491,0.11533100717563546,0.14630378628023535,0.10951909017932161,0.17449422518917207,0.19784691171130564,0.1342118670684024,0.12680078458352978,0.12492834316893164,0.20377612384767935,0.1457773547779369,0.11019465279170305,0.12280205883883658,0.12449366921110629,0.23294379611452948,0.14229039879190764
1975-02-17,0.8543956148449479,0.6066333871807175,1.1255719090433267,0.8631203237300177,0.845830155597277,0.9650824195507527,0.7164095171014548,1.0245049520116851,0.7951941006453648,0.952170384515796,0.10491330899411877,0.9861310406465087,0.901236057321726,0.917887404679376,0.7627774653881834,0.5961030943753898,0.8946432605554963,0.9569956191632458,0.9600601091423593
1975-02-18,3.190769161383072,1.526160457607307,2.5218768246235244,2.1626514825051726,1.9597227113469033,2.806616965153739,2.25939704707946,3.3281680323974134,2.4194015011582612,2.2421088645267404,2.176468415980325,2.37167089880984,2.653834737553349,1.991948842881086,2.451865585323898,1.8003310088396818,2.6513655060065013,3.34376752715606,2.3258107662638565
1975-02-19,4.557849179062789,2.350425297667241,3.3502111032098814,3.230667674945288,2.7540495499561573,3.787965146101933,3.243045375077728,4.769624538809959,3.5589321613524127,3.265496856516617,2.87594029809632,3.3311273684047835,3.799301308423247,2.696894777569888,3.595031723502647,2.686597152080373,3.7216673837382004,4.781177467718173,3.315794912331706
1975-02-20,2.717455835386124,1.7327122840786102,1.771608348762908,2.2241592687388585,1.526578434536812,2.337709314348986,1.94435705344765,3.1716530683292525,2.5354770921903405,1.9969843202213031,1.7081152021092052,1.843332713892272,2.525205768597782,1.430283338984038,2.1975825001118765,1.822012167943663,2.151571666534544,3.0732753994315054,2.0265452257802306
1975-02-21,1.9116860194497127,1.3397241533678046,1.3821244093878193,1.6124931867154857,1.1918350184122088,1.6342222484073083,1.393429301588295,2.2029194304323023,1.98322782130144,1.5896634657084645,1.301996366990768,1.3157300062921453,2.008199916209255,1.1751477719528083,1.6254623984554424,1.4101876555428547,1.640850193625147,2.448056127480446,1.513357158417474
1975-02-22,1.695164375383814,1.1816596616905177,1.329387929324895,1.3861591425827096,1.1195912351113448,1.416773145028711,1.2247945895373586,1.8253436291405944,1.7428637659446335,1.4695769541653392,1.1823815241378062,1.1918405885381864,1.8027725303054174,1.1458445549656062,1.4352230489026212,1.2719389903184541,1.4815296884501354,2.232915684552551,1.336636627972959
1975-02-23,1.1776200029287283,0.8870364940964708,0.9401071092842828,0.9814263058456782,0.7595808021668002,0.9933105999377383,0.8063792665170793,1.2359022675846514,1.2779756501977155,1.0417723056974528,0.8113006010173868,0.7829397807624058,1.303694169288694,0.8138641176457824,0.9349070340596363,0.9189201702704557,0.9669484333769865,1.6158372613857035,0.904597295096859
1975-02-24,0.8914244657172499,0.6896700597292116,0.7813642398212242,0.7207981925756055,0.5929948251294991,0.7495161317756572,0.5945753855172211,0.8808006987908693,0.9803260420336457,0.8180469426721041,0.6252121198136436,0.597108328853389,1.0106014322404753,0.6762192025554319,0.6665565710831672,0.6956723743163955,0.7039438135518337,1.2734935883424185,0.6771040988822723
1975-02-25,4.1466644796851115,2.1839256246066983,3.383313918132048,2.8876193899892293,2.8485661929936157,3.196655913118394,3.0518810051390517,3.84321529978877,3.191297958766347,3.354454318475726,2.817476994058648,3.2476159098159836,3.5348628927039787,2.8293503304744467,3.492658445093902,2.5819755329906213,3.6136751443344584,4.640110298000149,3.0567317956871785
1975-02-26,2.3945128511715286,1.53613872714409,1.5420770769678054,1.9077086501050724,1.3369122896943684,1.9466185714824642,1.6126378445157439,2.472341957348524,2.0631672715411664,1.7828514493354493,1.4396029012838514,1.5766875216179272,2.0393917742069974,1.2431011414099111,1.8436447358621195,1.5773063101882348,1.7472913881152397,2.6425987761847995,1.6074513374593458
1975-02-27,1.6040241496078562,1.1353834739885207,1.1897071084887236,1.3075314223152892,0.9893069372308887,1.3153636405846698,1.0970158845276132,1.6377806095945338,1.544751057274425,1.4021526097369235,1.046884926931694,1.0705085001648886,1.547103754439706,1.0383399027458196,1.2649254022514844,1.1269083566527196,1.2381151087999387,2.015685579446833,1.1447829427177558
1975-02-28,1.355167055209464,1.0031500208155482,1.1853162667813735,1.1272513649361287,0.9500019585947976,1.1225060546128143,0.9502248473367501,1.381214322868368,1.364332418307461,1.2483411968202371,0.9398797510665944,0.9951345803105758,1.3625042646637255,0.9782660658689017,1.0711103266641318,0.9778885015238004,1.0867944743330775,1.7546680958075886,1.0452921679306872
1975-03-01,2.803158389134986,1.6351569980697618,2.2834764819987345,2.039444234029462,1.9170934076692945,2.1276160920301086,2.009097847650297,2.563261038887453,2.267342089931115,2.341388932381585,1.885556169884991,2.1306660106195072,2.447797671618327,1.9180131455377933,2.3857467438519153,1.818952085694567,2.3982287058531693,3.240490827261377,2.038428980151815
1975-03-02,1.9707517891828261,1.2785742709437895,1.3832870262211932,1.5121349997379183,1.1762127991252438,1.5757931307134596,1.3275462329735352,1.8751232117058292,1.6656167832596627,1.5478581413609036,1.2309639340538663,1.3085112669589125,1.6735647834119247,1.1322781849345294,1.5304804083944163,1.2880773213416699,1.4583928813552003,2.244792968820874,1.3026908168717057
1975-03-03,1.4001773395428034,0.9743814722904545,1.0700156407160888,1.0764800554429548,0.8645526579196307,1.131597215023955,0.9409252111890238,1.3063037490839808,1.2629857193151859,1.173913316869064,0.9031026610876427,0.9135078111078372,1.2656647479853604,0.8869363336366209,1.0543337686072172,0.9339050528583772,1.0199638468121053,1.71906950640613,0.9354865403473502
