Date and time (UTC)	Real time (s)	CPU time (s)	CPU (%)	Memory (GB)	Memory (%)	Disk read (GB)	Disk write (GB)
2022-05-31 11:45:05.392051	1.0	5.7	0	0.7	5	0.013	0.0
2022-05-31 11:45:06.395366	2.0	6.5	0	0.8	5	0.199	0.0
2022-05-31 11:45:07.399072	3.0	7.6	0	0.8	5	0.261	0.0
2022-05-31 11:45:08.402755	4.0	8.3	1	0.8	5	0.394	0.001
2022-05-31 11:45:09.406463	5.0	9.2	1	0.8	5	0.575	0.001
2022-05-31 11:45:10.410201	6.0	10.2	0	0.8	5	0.586	0.001
2022-05-31 11:45:11.413962	7.0	10.6	0	0.8	5	0.717	0.001
2022-05-31 11:45:12.416866	8.0	11.3	1	0.8	5	0.79	0.002
2022-05-31 11:45:13.420284	9.0	12.0	1	0.8	5	0.876	0.002
2022-05-31 11:45:14.424113	10.0	12.6	0	0.8	5	0.972	0.002
2022-05-31 11:45:15.428135	11.0	13.6	0	1.0	6	0.972	0.002
2022-05-31 11:45:16.432139	12.0	14.6	1	1.1	7	0.972	0.002
2022-05-31 11:45:17.436182	13.0	14.6	0	0.8	5	0.972	0.003
