,ED,NSE,logNSE,NSEfdc,NSErunoff,beta,Ce,Drainagecapacity,Interceptionstoragecapacity,Kf,Meltfactor,Mm,Ratio_Pref,Soilstoragecapacity,Temp_Thresh
0,0.5986272965662226,0.43222213548525235,0.1954453961335444,0.39690384808763435,0.6837504493448294,1.612,0.453,0.0,1.539,0.632,4.0,0.9152,0.275,35.660000000000004,0.907
1,0.6950086390355417,0.2885451856076593,0.3907435412320911,0.5152976801703902,0.09454414297797742,0.502,0.71,0.0,0.548,0.745,3.365,0.3099,0.517,10.07,1.447
2,0.535132944505939,0.29273138971701584,0.6407612797488801,0.808254101145764,0.3075974882803497,1.049,0.597,0.0,1.886,0.271,3.604,0.1299,0.589,35.65,-1.982
3,0.6084814950212923,0.24256728992444365,0.8030747365577768,0.8634943847829937,0.07810994881524846,1.065,0.623,0.0,0.098,0.33,3.445,0.1426,0.293,11.98,0.384
4,0.7423175557890153,0.30667674874947315,0.04788422471256348,0.3581901737624167,0.3636039117032567,0.261,0.778,0.0,1.0090000000000001,0.914,1.268,0.3561,0.414,5.6000000000000005,1.528
5,0.6133237008740612,0.2693716332426911,0.7377882017327624,0.8400285345625869,0.06378413760488189,1.56,0.797,0.0,0.928,0.88,3.079,0.0543,0.267,8.48,0.865
6,0.6142210490970809,0.300802442281089,0.503881776764833,0.6827130766435092,0.17939748919678677,1.014,0.648,0.0,0.169,0.773,4.478,0.8744,0.123,48.69,1.845
7,0.5548437040756863,0.3773893708169066,0.5045373510213598,0.5901893251183652,0.34400143105486036,0.855,0.49,0.0,0.738,0.215,3.249,0.9861,0.438,178.41,-1.507
8,0.5414153003365836,0.3827757660917628,0.5421762163450414,0.5815926075020772,0.36212149130610394,0.471,0.599,0.0,1.286,0.247,4.373,0.4881,0.156,43.62,-1.553
9,0.4908007578956426,0.3834305493457799,0.48773339681981887,0.6102485482071791,0.5888304711979143,1.366,0.776,0.0,1.232,0.31,2.501,0.013,0.648,53.94,1.591
10,0.6981555691782872,0.31240882760726185,0.35621223081459774,0.47063596201925184,0.11557125878552943,0.871,0.661,0.0,0.151,0.814,4.723,0.3053,0.373,37.83,-0.454
11,0.3580395769661071,0.39140389537976294,0.78181322751464,0.876347106825789,0.7180698127915031,1.858,0.434,0.0,1.247,0.302,1.305,0.2189,0.119,22.86,-1.718
12,0.5547252855515334,0.3370938902367602,0.32381193544024656,0.5963014780617191,0.5861965876273245,1.03,0.603,0.0,1.431,0.106,2.751,0.6914,0.651,5.69,0.416
13,0.6099350394057234,0.30390746646584,0.7495909988741795,0.8054489521866797,0.04974560464718303,0.234,0.65,0.0,2.779,0.298,4.66,0.2885,0.13,44.58,0.392
14,0.6234524978154424,0.24333691889892017,0.6536195664422868,0.8428085728403784,0.0848254263236059,0.693,0.781,0.0,1.59,0.544,4.306,0.1915,0.458,7.94,1.911
15,0.8111532886549367,0.34978089035612603,0.11663642843803113,0.2487539972527072,0.07027316698381714,0.879,0.656,0.0,0.846,0.643,2.338,0.2955,0.191,17.66,-0.396
16,0.7967727870010607,0.16258143219602628,0.1970181476846321,0.40894767065821613,0.08130803445838064,0.123,0.576,0.0,1.321,0.798,3.047,0.3771,0.633,118.83,-1.395
17,0.7858108588385475,0.293669861309685,0.19582033277906818,0.3241342113227397,0.06855324512019534,1.166,0.756,0.0,0.428,0.604,4.772,0.9171,0.514,10.9,-1.151
18,0.40215521343956445,0.30226592596815616,0.892805871651965,0.9438499391026868,0.6186353264520363,1.27,0.707,0.0,1.293,0.104,1.435,0.1488,0.228,56.62,1.409
19,0.6747342377430045,0.2099704864162354,0.17957519403100164,0.33759332385331164,0.7083854133549532,0.406,0.738,0.0,0.451,0.459,4.918,0.6932,0.723,5.4,0.174
20,0.48619976630653766,0.29546669893851574,0.48630141952624395,0.6853560122466281,0.7062201366474562,1.195,0.419,0.0,2.185,0.48,3.707,0.2795,0.579,19.060000000000002,-1.393
21,0.601715456190676,0.30114181420515806,0.5300192904723475,0.7020037536508534,0.19367527207938207,1.669,0.57,0.0,0.516,0.904,3.558,0.1947,0.164,16.17,-1.153
22,0.6041798679716175,0.38279650556155687,0.761139636947769,0.8082710960329539,0.00733749327985056,1.797,0.517,0.0,1.151,0.661,1.504,0.6801,0.266,64.71,1.082
23,0.62925740397767,0.2685924901422089,0.8038617493416657,0.8682334659073558,0.0034710523580399055,1.444,0.512,0.0,1.143,0.338,4.286,0.942,0.32,136.88,-0.072
24,0.552870281305536,0.4032488440378058,0.41063682301042326,0.471241746870262,0.5104941215703579,0.643,0.634,0.0,0.362,0.775,3.894,0.7674,0.373,41.06,-1.071
25,0.7635357025026358,0.2660454269230984,0.11871562215325093,0.38564193629633614,0.20052531273977725,0.12,0.74,0.0,1.452,0.296,3.637,0.8837,0.702,46.64,0.28
26,0.6546256251192748,0.22076625533453598,0.6041518151836113,0.8142121235750925,0.043067041545261975,0.166,0.598,0.0,0.063,0.379,3.592,0.0605,0.542,7.15,-0.504
