,ED,NSE,logNSE,NSEfdc,NSErunoff,Ks,Ratio_Riparian
0,0.5986272965662226,0.43222213548525235,0.1954453961335444,0.39690384808763435,0.6837504493448294,0.0255,0.055
1,0.6950086390355417,0.2885451856076593,0.3907435412320911,0.5152976801703902,0.09454414297797742,0.026,0.474
2,0.535132944505939,0.29273138971701584,0.6407612797488801,0.808254101145764,0.3075974882803497,0.0056,0.181
3,0.6084814950212923,0.24256728992444365,0.8030747365577768,0.8634943847829937,0.07810994881524846,0.0078,0.194
4,0.7423175557890153,0.30667674874947315,0.04788422471256348,0.3581901737624167,0.3636039117032567,0.0442,0.327
5,0.6133237008740612,0.2693716332426911,0.7377882017327624,0.8400285345625869,0.06378413760488189,0.0132,0.133
6,0.6142210490970809,0.300802442281089,0.503881776764833,0.6827130766435092,0.17939748919678677,0.0324,0.269
7,0.5548437040756863,0.3773893708169066,0.5045373510213598,0.5901893251183652,0.34400143105486036,0.0206,0.262
8,0.5414153003365836,0.3827757660917628,0.5421762163450414,0.5815926075020772,0.36212149130610394,0.033,0.498
9,0.4908007578956426,0.3834305493457799,0.48773339681981887,0.6102485482071791,0.5888304711979143,0.0167,0.305
10,0.6981555691782872,0.31240882760726185,0.35621223081459774,0.47063596201925184,0.11557125878552943,0.0304,0.418
11,0.3580395769661071,0.39140389537976294,0.78181322751464,0.876347106825789,0.7180698127915031,0.0165,0.157
12,0.5547252855515334,0.3370938902367602,0.32381193544024656,0.5963014780617191,0.5861965876273245,0.0246,0.377
13,0.6099350394057234,0.30390746646584,0.7495909988741795,0.8054489521866797,0.04974560464718303,0.0157,0.106
14,0.6234524978154424,0.24333691889892017,0.6536195664422868,0.8428085728403784,0.0848254263236059,0.0059,0.481
15,0.8111532886549367,0.34978089035612603,0.11663642843803113,0.2487539972527072,0.07027316698381714,0.0503,0.418
16,0.7967727870010607,0.16258143219602628,0.1970181476846321,0.40894767065821613,0.08130803445838064,0.0012,0.416
17,0.7858108588385475,0.293669861309685,0.19582033277906818,0.3241342113227397,0.06855324512019534,0.0233,0.208
18,0.40215521343956445,0.30226592596815616,0.892805871651965,0.9438499391026868,0.6186353264520363,0.016,0.441
19,0.6747342377430045,0.2099704864162354,0.17957519403100164,0.33759332385331164,0.7083854133549532,0.0169,0.256
20,0.48619976630653766,0.29546669893851574,0.48630141952624395,0.6853560122466281,0.7062201366474562,0.0181,0.271
21,0.601715456190676,0.30114181420515806,0.5300192904723475,0.7020037536508534,0.19367527207938207,0.0291,0.305
