,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13
1975-01-02,0.0,0.0,0.3352650184844258,0.13877948631355103,0.0,0.04241609275890497,0.0,0.0,0.0,0.2103276301778447,0.003703836005037445,0.0,0.0
1975-01-03,1.1312914124514022,1.2055704849954045,1.6932790841329826,1.5970382459231067,1.179694522149032,1.6388931569403669,1.2149201461194297,1.507551814230743,2.1138544290998498,2.3761447746339988,1.013720918620206,1.1791538180669292,1.0849502630238952
1975-01-04,2.9263288245430963,2.046792463604512,3.484298404864551,3.2111157409198943,2.166919419787207,3.2147372959494835,2.101951646164413,3.651190563426339,4.2070843904169095,3.6293588447837637,2.003082471208219,2.136828253230808,1.8492644006224286
1975-01-05,1.2137016941206888,0.27793867629738683,1.7363309654781163,1.2795986893414595,0.47694295473314724,1.0040091825167063,0.3129295793566409,2.0202158046276417,1.215840335564398,0.6769951715169032,0.894751656170433,0.2753231160207836,0.3861582007480282
1975-01-06,0.6056781718870959,0.2592551549739694,0.8985407648794538,0.5567445486260283,0.4338669103846462,0.5927468175152462,0.29117169912656893,1.1368568432074442,0.5216285670887376,0.6113209431680281,0.5672905642664453,0.2564237393859135,0.3529136577994419
1975-01-07,0.3820464258041749,0.24239690973412203,0.49546902559222117,0.28043371632900727,0.395316154669247,0.49061165385949623,0.27092663482988466,0.6574662946432127,0.3485103244698954,0.5543241236181469,0.4479768893969751,0.2396754993900836,0.3232473207907896
1975-01-08,0.29366912134761675,0.2268840436893443,0.3003141359381891,0.17319610726326967,0.3601907828080755,0.4443774273337958,0.25208920026702375,0.39668312622879764,0.29493296508951156,0.5035149397726247,0.3882776169849919,0.26716350170353514,0.33827733238581226
1975-01-09,0.25325587399963756,0.21247275095969903,0.20471792818228093,0.13003679520151828,0.32818643621008114,0.40993933830605894,0.23456152392849788,0.25429002251550364,0.2694392130604182,0.45769235174184925,0.3473689138677562,0.21315432095074052,0.27723221103077866
1975-01-10,0.2302005956781092,0.19902428258544438,0.15685587152429742,0.11122319721278028,0.29902579971727855,0.3794904074307339,0.21825253919894633,0.17604571391213303,0.2511580076374106,0.41616389973355516,0.31386868953099833,0.28526395324837156,0.3952269085248644
1975-01-11,0.21375127219503653,0.1864477157823909,0.13192371582455717,0.10171723690416763,0.272456198692207,0.35153319000369027,0.2030775112265519,0.13257844227235907,0.23528816678459255,0.37845017145793836,0.2844576056395202,0.26685744647907905,0.3780635276337191
1975-01-12,0.20011114974540847,0.1746748885893572,0.11804312770631796,0.09582503930455877,0.24824740961325634,0.3256755385758309,0.18895759668745993,0.10797953297858041,0.22068939087045655,0.3441716983844435,0.2580379492449549,0.23134220337629197,0.24951025928521828
1975-01-13,0.58220729807425,0.27896220802369326,0.2687572733050445,0.5424016116305973,0.7934842313480837,0.3927173689058346,0.43589294441835774,0.22212138834783945,0.46395620251958186,0.48464902744612476,0.7242634216897292,0.514532216559108,0.45617915856671665
1975-01-14,0.5353539668941204,0.3199024640143422,0.37739317157437113,0.6073595606177259,0.3403552471550726,0.4267056782327507,0.5278204035097412,0.3232345335879755,0.6020136602417988,0.5242884337900674,0.4205046037251626,0.2826835367185769,0.26408159262800385
1975-01-15,0.3223847548762666,0.31682648534427876,0.4252494067203723,0.3458368001944822,0.2754638632646877,0.4223837856348095,0.22216110938909725,0.37283868614428384,0.5592184928379058,0.5136732852920423,0.3150126326292219,0.2158099478043518,0.22963445631784227
1975-01-16,0.24016475762597195,0.22347785675652573,0.35950192341875276,0.1942692229539102,0.25098781928934166,0.3390755995039938,0.19707611103847444,0.31123522576156354,0.293712906914795,0.39963465897033823,0.26688146313784245,0.19287298437961822,0.20663690489474368
