,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14,simulation_15,simulation_16,simulation_17,simulation_18
1975-01-02,0.0,0.3454836894641372,0.19469005025036956,0.0,0.3597600337156678,0.16785440241325095,0.0,0.04366911202849446,0.0,0.0,0.0,0.0,0.2400634625057482,0.004956855274626939,0.0,0.0,0.0,0.0
1975-01-03,1.1650234523993679,1.7916053850979472,1.904956786179062,1.2723625514909525,1.7489061925144718,1.6962059887970358,1.2528047170953298,1.6859073070342259,1.2813446896187817,1.2382092689727147,1.5759132611663942,2.188360402225669,2.500384608792943,1.0750151356099347,1.2389568756905127,1.5303102679690703,1.2559314214098378,1.1422819128986794
1975-01-04,3.1044953201684744,3.7583538104005974,4.0760706690677315,2.1555745063994296,3.630344909542049,3.40885560307288,2.30058435031101,3.3478371181063906,2.214967413207124,2.6340751201801242,3.8140810823920734,4.399292426564301,3.8065224784496694,2.1194381858213234,2.724813447695614,3.1997721263540995,2.272719822211563,1.9513876949140057
1975-01-05,1.2865686465735897,1.9110804461965842,2.2458690319240313,0.2929342292711082,1.8090354537034306,1.357630125789608,0.5054458421007517,1.0441747455382973,0.3298401577205583,1.021149769976482,2.1103126663991545,1.270631331313409,0.7122694896636728,0.9464529579183562,0.5732022691728681,1.1119409005026162,0.2929521844908092,0.4071778921450972
1975-01-06,0.6412283131285188,1.0357305379628334,1.2588086924286,0.273232704181837,0.9361152998368005,0.5909300800836654,0.46053502117835743,0.6157282028834155,0.3069064937983282,0.554570668032354,1.1875535716495311,0.5446317073160865,0.643184716639129,0.6003336391426424,0.5225410767199299,0.5997524957908215,0.27285883207013023,0.372135736465654
1975-01-07,0.4039338067559303,0.617383471045674,0.7214144851732867,0.2554611933058978,0.5161501509704721,0.29784923231983906,0.419614700492745,0.5094338594131286,0.2855673960592596,0.40793336861154084,0.6867871830143916,0.363628432006728,0.5832213644628693,0.47417327651898444,0.4763574590761365,0.45294541398615024,0.2550371391943898,0.34085356899654373
1975-01-08,0.31021300530301166,0.41410961832736076,0.4284258877357368,0.23911033605648105,0.3128194682621179,0.1840936390023115,0.3823303086833652,0.4613871008440085,0.26571199551644203,0.35115801430220783,0.41437722131106236,0.3076467736433771,0.5297650907003791,0.4110153170662745,0.4342556760396907,0.3927026733908779,0.23837946421539918,0.31220101679402934
1975-01-09,0.2674028910214915,0.31222921101063617,0.26828853783738077,0.22392161874731456,0.21322033550623926,0.1383022048013273,0.3483587794198968,0.42562387765218,0.24723713176546908,0.32034170967486564,0.2656358984534958,0.28103382198143406,0.4815542074663666,0.36772025697457905,0.39587496398209243,0.3546165017684179,0.22280977977504682,0.2859570314316018
1975-01-10,0.24301381448330492,0.2583153292857283,0.1803749560178478,0.2097481318786986,0.1633555735493331,0.11833322239029795,0.31740575205985966,0.39400870331721805,0.23004681702379237,0.29768849549728427,0.18390324600852392,0.2619612037403942,0.4378608934205458,0.33225993944678106,0.36088644452854757,0.323666415071367,0.20825702420108425,0.2619191460496736
1975-01-11,0.22563225959880967,0.22724941294539275,0.1317351173734893,0.19649375538641012,0.13738136694419123,0.10823679091300432,0.2892030210383604,0.36498166625514217,0.21405173743319714,0.2781984530931417,0.1384979909531799,0.24540766128702654,0.39818102007431194,0.30112622891389257,0.32899030645663735,0.2962219666583573,0.19465477717734936,0.23990191337136219
1975-01-12,0.211228069566736,0.20721365585968024,0.10446098983269077,0.18408652473387718,0.12292165003689612,0.10197377763937304,0.2635062118892069,0.3381347161672753,0.1991687890347934,0.2604260154613194,0.11280223636732417,0.23018076053737682,0.36211543960671494,0.27315864856442645,0.29991323666564756,0.27129057113509164,0.18194095659715864,0.2197354750198024
1975-01-13,0.1983588374523545,0.2848795930572613,0.5238615771633719,0.1724668984653478,0.1861165052728504,0.40175661193900625,0.7847436080224844,0.3302263825350733,0.28392445639022473,0.6555047630060686,0.09781394571658278,0.2955985263890421,0.3293234562093668,0.7496983347592654,0.36897572214099245,0.6471960288302603,0.521784273057545,0.695704665276002
1975-01-14,0.42476372881687563,0.3582291929815552,0.5946354857883145,0.2142539128286795,0.24288410220588544,0.5794878871772594,0.3590854818409987,0.3334824712788987,0.3327741823920066,0.5714883245324966,0.16016963141288787,0.3670918682213049,0.39823680772112546,0.44196439263275605,0.38781975557938964,0.7517675268187336,0.47936547226781256,0.33207265490315574
1975-01-15,0.5055893890664926,0.38445982184197913,0.38924400898906364,0.20332787381291414,0.2645795241569928,0.4326933849910855,0.31598298985565465,0.3156103601934233,0.3252661578264951,0.40564924093614413,0.1886596449694804,0.3679905192424029,0.3762850800088867,0.3395490549028324,0.38143628631101856,0.4183313725023071,0.2546635661132841,0.2515856701457293
1975-01-16,0.3050746618542241,0.2721944994647407,0.2468842135164065,0.15058168746256653,0.21161759008918618,0.22945574844546973,0.2647283596311688,0.2660013552712147,0.18606935005249883,0.31074254918660493,0.13720144567635845,0.2342590728780065,0.26954493390533635,0.2839105257697675,0.31278177984238115,0.304764972820612,0.19396090915482714,0.2252018740845923
1975-01-17,0.4933664137666536,0.5924561019318716,0.3533941638556359,0.4451337788542261,0.48078043527564107,0.2432151600417432,0.31073471067510705,0.4913245455062273,0.43430397356409456,0.3253989404249003,0.4539449434069259,0.7766270031797348,0.6441398682718593,0.26801236391153055,0.49300819643975735,0.3492625579012927,0.23090443471881686,0.22603626918020436
1975-01-18,0.4518816941934296,0.5474841875503222,0.3279538197924797,0.4073274013116278,0.4803575471494681,0.22114305279980367,0.27151614081542985,0.7249077540958382,0.22630172872463733,0.32431389766737906,0.6293146675859368,0.5529453116769273,0.6808462462797202,0.24082042880319204,0.38583251045532485,0.32339426984417363,0.20237388137503523,0.19652143430381308
1975-01-19,0.32674531851923005,0.4206390166736504,0.23432875799882585,0.19421932731088107,0.3902402537932227,0.16842219555757754,0.223143837718436,0.46621210965112214,0.20048795657967125,0.26728817138101285,0.47967344554458596,0.3771290017532234,0.3238744153122877,0.21461604958110442,0.32999854594551326,0.2603115646862371,0.17456269344258438,0.17924447394999243
1975-01-20,0.23776676208828718,0.2894928327523265,0.16164478097704515,0.1629633185336419,0.24357718717012172,0.12350697241399922,0.19841727334405146,0.3126059559664815,0.16812127797175838,0.2326349540901322,0.2989169326670165,0.24018114140698968,0.27147741115690954,0.19169075243510586,0.2456442981710416,0.21966188370442807,0.15505082576248266,0.16194881989147725
1975-01-21,0.19930524143859374,0.22316207509349686,0.12128887131028418,0.1525888219100215,0.17141459796081282,0.10421107984545151,0.18078752448985458,0.28444245150634717,0.15643235680680587,0.21301455785005638,0.1999485831613142,0.199490814958411,0.2466862363068505,0.17311769322455697,0.2319677607949624,0.19689108331073074,0.1449241712424657,0.14833562033644906
1975-01-22,0.6015807925492461,0.6590933178956541,0.5242681987018826,0.47332020950533915,0.617076840829155,0.5374833115314107,0.48533816335963265,0.735243301813244,0.4774273818668183,0.5340044317542687,0.6563279204437509,0.8066011416013392,0.7047544560910541,0.4017413659012602,0.5950677974793657,0.5969432753361363,0.4726293290524941,0.4120892670339886
1975-01-23,0.33586615229017547,0.4026534216316297,0.7208026935335508,0.16387978733469447,0.7455194258970721,0.712332439526136,0.5093025220679195,0.36436363009676964,0.16884240394204922,0.7045034837137749,0.3964628791981158,0.8529292940953441,0.2617840393874066,0.5382808335374281,0.5954562030608195,0.7520555117643974,0.5578107892088608,0.5074042119227409
1975-01-24,0.23586138187234967,0.2773967517182465,0.4275768899406927,0.15338209395201768,0.4195261078597111,0.3345780126922163,0.23041237750037544,0.2831263280979834,0.15710284023060492,0.3792138944606439,0.2547278616929889,0.36427317282454885,0.23765705794418018,0.30986470530701715,0.2806225619646087,0.36193275566157523,0.18104203510947636,0.19953279977840166
1975-01-25,0.580764593363416,0.4905992148866675,0.3798762544245128,0.3019809039743786,0.27783002494934,0.253832824052098,0.2884718699499263,0.3769006162904567,0.4901433968372093,0.2990289515150762,0.34867365618688584,0.25621533505725175,0.4316323869172526,0.25271493952241747,0.2791541736904829,0.31737403314239754,0.19625242800721723,0.19744650007110434
1975-01-26,0.3282948499612216,0.31843913037757643,0.4098154913600589,0.1489514659914452,0.35297085623359215,0.34606762862648077,0.3309763867830642,0.2670079682125907,0.17059928516234565,0.41030177503831244,0.228276467184572,0.41959778211953164,0.22236833221308167,0.327953668287738,0.38252846877569346,0.42468724741757485,0.3268318265838343,0.3111601649661495
1975-01-27,0.6408800283553513,0.7189602157332133,0.5091362764925292,0.568628346877177,0.377430892731427,0.38374921818954455,0.37446332222567275,0.6725716988118828,0.44709077194457514,0.4084101786339722,0.7108119259963426,0.4932619466107502,0.8271665841945827,0.2921153663011138,0.3983038582963302,0.4352731734732531,0.2805914710340606,0.23497345803699882
1975-01-28,0.5140045132822946,0.6729892943077187,0.431993004797139,0.2682583741792454,0.47017536740095167,0.34576978536487607,0.2931981822059985,0.6943004898171545,0.26704681181510476,0.36713992823440883,0.6824643171467596,0.5787285248138184,0.41919191133402534,0.2707352809764984,0.4353319289223775,0.38272727046124994,0.2508370729747164,0.23020939913159874
