Date and time (UTC)	Real time (s)	CPU time (s)	CPU (%)	Memory (GB)	Memory (%)	Disk read (GB)	Disk write (GB)
2022-05-31 11:26:12.469871	1.0	5.6	0	0.7	4	0.006	0.0
2022-05-31 11:26:13.473601	2.0	6.2	0	0.7	5	0.169	0.0
2022-05-31 11:26:14.477191	3.0	7.6	0	0.8	5	0.24	0.0
2022-05-31 11:26:15.480265	4.0	8.3	2	0.8	5	0.394	0.001
2022-05-31 11:26:16.483003	5.0	9.3	0	0.8	5	0.516	0.001
2022-05-31 11:26:17.486188	6.0	10.5	0	0.8	5	0.628	0.001
2022-05-31 11:26:18.489883	7.0	11.2	1	0.8	5	0.78	0.002
2022-05-31 11:26:19.493522	8.0	11.9	0	0.8	5	0.876	0.002
2022-05-31 11:26:20.497218	9.0	12.6	1	0.8	5	0.974	0.002
2022-05-31 11:26:21.500748	10.0	13.6	1	1.0	6	0.974	0.002
2022-05-31 11:26:22.504515	11.0	14.6	0	1.1	7	0.974	0.002
