,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14,simulation_15,simulation_16,simulation_17,simulation_18,simulation_19,simulation_20
1975-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-01-04,0.0005660218032712973,0.0006958782161327747,0.00353225926032699,0.001198596685088664,0.007877134134853194,0.009359461582069066,0.0015100975930873162,0.010242604923715693,0.0047724175147225625,0.0006277296316716985,2.6620177062486264e-05,0.0016293717435561562,0.0021457777075466924,0.0008883688085329262,0.022940615591163463,0.0023490861886847013,0.0015843757954374738,0.12714366158484014,0.1053541223057203,0.0001018855224684856
1975-01-05,0.08308593004928871,0.0583395134068647,0.14012750239610786,0.053348699757370076,0.07090615809884378,0.10138891245400797,0.05942266730765382,0.12430427360075233,0.07542816177190104,0.13002981159269078,0.12221306148446949,0.1326748180984902,0.08270106349514104,0.04795083437854642,0.21626311693516398,0.048747201009584865,0.18749995442220824,0.21069585575068203,0.32355221299221826,0.2704699521841419
1975-01-06,0.01408792482767538,0.011881220395648307,0.02164065194357879,0.011528069622656303,0.009809764449686046,0.013514451494738644,0.008349442252756087,0.028362781007972945,0.011022399848691196,0.01889777275748905,0.018538117864224844,0.031658724113911116,0.011468270878370691,0.012002909972608592,0.08392944972179259,0.007601008686319902,0.029200830733709614,0.06826326810755307,0.12622703249136324,0.12128785437134391
1975-01-07,0.01087684702681236,0.00920080494403118,0.01526990348796881,0.007937952030448569,0.005265139124205929,0.00882916062191205,0.005908662222303952,0.01571664454834929,0.007365695896495132,0.014653777988155387,0.014556653065115693,0.01727864211448792,0.008379285855076612,0.009517402152101093,0.036865277751253096,0.005336466494638174,0.02290550696984188,0.04052679661090333,0.0685936711407231,0.06156645966906077
1975-01-08,0.009844514542916554,0.008460122352226226,0.014136622079197015,0.006648980124897489,0.004784371220959419,0.008195640447141357,0.0055411936812147945,0.01217467171845361,0.006807985545307875,0.013765332654028474,0.013709675785293947,0.014885174766001852,0.007919632702354249,0.008392843156123864,0.022232699375711526,0.004949994534830945,0.021548363402195833,0.02770520056011779,0.05175012951500638,0.03964025129665892
1975-01-09,0.00960977662247673,0.00830550411546014,0.014396753226647395,0.00630302471597235,0.005215582688227512,0.008634896734516138,0.005749325963135982,0.011797648635673653,0.007099745018728877,0.01384767403171871,0.013783389401612518,0.01469771731426495,0.008185333233279834,0.007864211284962598,0.01906949058162251,0.005087194114549571,0.021629125421952593,0.022104959556415664,0.04697877096375829,0.03274057175290543
1975-01-10,0.00921049024847633,0.007947508333197566,0.013914034926099354,0.005935900938705897,0.005141361264162278,0.008375468914597032,0.00560318891196364,0.011357443624793632,0.006867709084072148,0.013381791083085131,0.01334708498401119,0.014161133750560384,0.00799794376437718,0.007278483440441439,0.018046488064807027,0.0049105782881540445,0.02090639194692619,0.018824334742439074,0.04426811227399341,0.029956267244846423
1975-01-11,0.008129836168249055,0.006989922132468066,0.011685062145596644,0.005206031650844881,0.003966260841680908,0.006650219577340792,0.004670135704016399,0.009323731587476033,0.005490707687484885,0.011630085491475085,0.011690564514434426,0.012293072765103939,0.006811444112366264,0.0062065829306926735,0.015062576453227505,0.004033483998153462,0.018282475017328333,0.015106547225684098,0.03980240526780507,0.026134169778673735
1975-01-12,0.007616208053984776,0.0065028734996206185,0.01086696911081827,0.00459631281869894,0.0036778138121217455,0.006173045286054172,0.0043796929299079945,0.0084355848187725,0.0050749663038601655,0.010924963886691123,0.011011101428919945,0.011399090757832478,0.006437796087566525,0.005585431593708681,0.013679783835570204,0.0037413752468496153,0.01719924398214407,0.013126309747308275,0.03693828666140519,0.023981537226912365
1975-01-13,0.007778219789523566,0.0065844352342142795,0.011606825248732964,0.004531195291972492,0.00433899216941692,0.006966195171605676,0.004773903019866013,0.00914967329854005,0.005663451926388119,0.011367384068668657,0.011420634409360711,0.011759912745741324,0.00692865558837707,0.0055527390874549765,0.014960966826276184,0.0040681490058197016,0.017815701465173334,0.01316046602020718,0.03656390635728185,0.024539890593020093
1975-01-14,0.17463017105636022,0.1262825084454639,0.30190962251295966,0.11598154624221974,0.13753689893166937,0.20287050998206096,0.12855008169798832,0.24354068895125383,0.16074932128360314,0.2751379823225616,0.24735128027207995,0.272360249689112,0.15939330259542683,0.1035930080696195,0.3899630745794525,0.1048022946646856,0.3831031746341296,0.30240493865312384,0.5326038468467319,0.48222707783394864
1975-01-15,0.24983512873919017,0.18484170433907784,0.4287610249001325,0.16972516027901083,0.1807491283890451,0.26163907651834756,0.1837104021586211,0.3454620943028444,0.2231912393541407,0.3877484590284762,0.3478477331165022,0.392890076004625,0.22255997893158547,0.1556261617873641,0.6126114131276297,0.14820458625424632,0.5296376196607684,0.4355686735576988,0.8223225909366978,0.7691247065551239
1975-01-16,0.5603519604348701,0.3053360580582002,0.7209826857311372,0.36920706384115115,0.48291498777224673,0.5022941569788258,0.2505151239150297,1.0941085017459016,0.3870199988121282,0.6865979640853259,0.32261504604810665,0.697221656005554,0.20353183620320892,0.20587930550303957,0.5975439365919458,0.24022838922937045,0.8513236751526013,0.6571656803201171,0.8155631608470415,0.768479551592578
1975-01-17,2.3476366236445085,0.9750169967611416,2.471104121204049,1.2423870062343583,2.1513160966331917,1.7547311841535569,0.92563249306877,2.9058404933137325,1.4553073267740078,3.030285598547607,1.2436655926319624,2.030301809278865,0.772822441710027,0.6787215861221281,1.8250378437474537,0.7870145163233327,2.823928420801968,1.922791374588157,3.268478197824466,2.6078332274698175
1975-01-18,0.4303716533082658,0.24754769622433487,0.46814548367576386,0.27856525561179185,0.389462490853008,0.34450419286580425,0.161090300391112,0.6414231646421393,0.28283392768854737,0.5061038137730016,0.2530690961795757,0.5641814217900356,0.1434710571247455,0.17728246234566475,0.7529949690172523,0.16145022787191898,0.5607498978036926,0.5167194389135308,1.3084054666093894,1.2028304622465296
1975-01-19,0.38252637538659656,0.2174431530947958,0.4083380830385607,0.2344370000741435,0.3460026561694516,0.30500106059099075,0.14039215593775925,0.5500530449212933,0.24570631103057622,0.4533631645701475,0.22295909033523473,0.3722242501634344,0.1258204980163163,0.15393138437422585,0.39514744221372666,0.14186616423361972,0.5035076746096051,0.42722211689569267,0.7581641582436639,0.6746508779198679
