Date and time (UTC)	Real time (s)	CPU time (s)	CPU (%)	Memory (GB)	Memory (%)	Disk read (GB)	Disk write (GB)
2022-06-01 07:49:11.952729	1.0	4.4	0	0.3	2	0.0	0.0
2022-06-01 07:49:12.956177	2.0	4.4	1	0.3	2	0.0	0.0
2022-06-01 07:49:13.959669	3.0	4.4	0	0.3	2	0.0	0.0
2022-06-01 07:49:14.962726	4.0	4.4	0	0.3	2	0.0	0.0
2022-06-01 07:49:16.526151	5.6	4.4	2	0.3	2	0.0	0.0
2022-06-01 07:49:17.541290	6.6	4.5	3	0.3	2	0.001	0.0
2022-06-01 07:49:18.576764	7.6	4.5	4	0.3	2	0.002	0.0
2022-06-01 07:49:20.027641	9.1	4.5	3	0.3	2	0.003	0.0
2022-06-01 07:49:21.031777	10.1	4.7	5	0.7	4	0.004	0.0
2022-06-01 07:49:22.034801	11.1	5.9	0	0.7	5	0.009	0.0
2022-06-01 07:49:23.037800	12.1	5.9	1	0.7	5	0.043	0.0
2022-06-01 07:49:24.041579	13.1	5.9	0	0.7	5	0.056	0.0
2022-06-01 07:49:25.045374	14.1	5.9	0	0.7	5	0.056	0.0
2022-06-01 07:49:26.048413	15.1	6.0	1	0.7	5	0.1	0.0
2022-06-01 07:49:27.052280	16.1	6.1	0	0.7	5	0.108	0.0
2022-06-01 07:49:28.055396	17.1	6.3	1	0.7	5	0.115	0.0
2022-06-01 07:49:29.059188	18.1	6.8	0	0.7	5	0.121	0.0
2022-06-01 07:49:30.062940	19.1	6.9	1	0.7	5	0.125	0.0
2022-06-01 07:49:31.066374	20.1	6.9	0	0.7	5	0.125	0.0
2022-06-01 07:49:32.070245	21.1	6.9	0	0.7	5	0.133	0.0
2022-06-01 07:49:33.074378	22.1	6.9	0	0.7	5	0.136	0.0
2022-06-01 07:49:34.078601	23.1	6.9	0	0.7	5	0.143	0.0
2022-06-01 07:49:35.083037	24.1	7.0	1	0.7	5	0.153	0.0
2022-06-01 07:49:36.086394	25.1	7.0	0	0.7	5	0.163	0.0
2022-06-01 07:49:37.090180	26.1	7.0	1	0.7	5	0.163	0.0
2022-06-01 07:49:38.093938	27.1	7.0	0	0.7	5	0.163	0.0
2022-06-01 07:49:39.097586	28.1	7.0	0	0.7	5	0.166	0.0
2022-06-01 07:49:40.100421	29.2	7.1	0	0.7	5	0.169	0.0
2022-06-01 07:49:41.105238	30.2	7.1	1	0.7	5	0.181	0.0
2022-06-01 07:49:42.108249	31.2	7.1	0	0.7	5	0.182	0.0
2022-06-01 07:49:43.112121	32.2	7.1	0	0.7	5	0.182	0.0
2022-06-01 07:49:44.116176	33.2	7.1	1	0.7	5	0.182	0.0
2022-06-01 07:49:45.119518	34.2	7.1	0	0.7	5	0.182	0.0
2022-06-01 07:49:46.122595	35.2	7.2	0	0.7	5	0.189	0.0
2022-06-01 07:49:47.126290	36.2	7.2	1	0.7	5	0.198	0.0
2022-06-01 07:49:48.130293	37.2	7.2	0	0.7	5	0.204	0.0
2022-06-01 07:49:49.134041	38.2	7.2	0	0.7	5	0.21	0.0
2022-06-01 07:49:50.137583	39.2	7.3	1	0.7	5	0.217	0.0
2022-06-01 07:49:51.141094	40.2	7.3	1	0.7	5	0.221	0.0
2022-06-01 07:49:52.144694	41.2	7.3	0	0.7	5	0.228	0.0
2022-06-01 07:49:53.148243	42.2	7.3	0	0.7	5	0.23	0.0
2022-06-01 07:49:54.152020	43.2	7.3	0	0.7	5	0.23	0.0
2022-06-01 07:49:55.155706	44.2	7.4	0	0.7	5	0.232	0.0
2022-06-01 07:49:56.159446	45.2	7.4	1	0.7	5	0.232	0.0
2022-06-01 07:49:57.163395	46.2	7.4	0	0.7	5	0.236	0.0
2022-06-01 07:49:58.167234	47.2	7.4	1	0.7	5	0.236	0.0
2022-06-01 07:49:59.171675	48.2	7.4	0	0.7	5	0.241	0.0
2022-06-01 07:50:00.175417	49.2	7.5	0	0.7	5	0.252	0.0
2022-06-01 07:50:01.179331	50.2	7.5	1	0.7	5	0.254	0.0
2022-06-01 07:50:02.183188	51.2	7.5	0	0.7	5	0.254	0.0
2022-06-01 07:50:03.187646	52.2	7.5	0	0.7	5	0.263	0.0
2022-06-01 07:50:04.191769	53.2	7.6	0	0.8	5	0.273	0.0
2022-06-01 07:50:05.195975	54.2	7.7	1	0.8	5	0.276	0.0
2022-06-01 07:50:06.200182	55.3	7.7	1	0.8	5	0.277	0.0
2022-06-01 07:50:07.204118	56.3	7.7	0	0.8	5	0.277	0.0
2022-06-01 07:50:08.207146	57.3	8.2	0	0.8	5	0.279	0.0
2022-06-01 07:50:09.211157	58.3	8.2	0	0.8	5	0.305	0.0
2022-06-01 07:50:10.214762	59.3	8.3	1	0.8	5	0.333	0.0
2022-06-01 07:50:11.218722	60.3	8.3	0	0.8	5	0.335	0.0
2022-06-01 07:50:12.222733	61.3	8.3	1	0.8	5	0.337	0.0
2022-06-01 07:50:13.226631	62.3	8.3	0	0.8	5	0.337	0.0
2022-06-01 07:50:14.230419	63.3	8.3	0	0.8	5	0.337	0.0
2022-06-01 07:50:15.233766	64.3	8.3	0	0.8	5	0.337	0.0
2022-06-01 07:50:16.237716	65.3	8.3	1	0.8	5	0.349	0.0
2022-06-01 07:50:17.241271	66.3	8.4	0	0.8	5	0.381	0.0
2022-06-01 07:50:18.244513	67.3	8.6	1	0.8	5	0.391	0.001
2022-06-01 07:50:19.248456	68.3	8.6	0	0.8	5	0.392	0.001
2022-06-01 07:50:20.252623	69.3	9.6	0	0.8	5	0.416	0.001
2022-06-01 07:50:21.256537	70.3	9.7	1	0.8	5	0.447	0.001
2022-06-01 07:50:22.259711	71.3	9.8	1	0.8	5	0.484	0.001
2022-06-01 07:50:23.263809	72.3	9.8	0	0.8	5	0.5	0.001
2022-06-01 07:50:24.267541	73.3	10.0	0	0.8	5	0.501	0.001
2022-06-01 07:50:25.270926	74.3	10.4	1	0.8	5	0.505	0.001
