,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14,simulation_15,simulation_16,simulation_17,simulation_18
1975-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004999267047948877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-01-03,2.7985389184702056e-08,1.4812973361129883e-08,5.07558876321609e-08,1.1248433822417678e-08,6.57317454434919e-08,1.668519221575397e-07,8.784094274421315e-08,6.397974964512371e-07,2.9155220642987607e-08,3.016832099193856e-09,1.4593586202893103e-08,3.574179741625363e-08,3.3938419802130163e-06,3.81121325167327e-08,6.782723628313185e-09,6.2462116188694446e-09,1.5287062817588935e-07,5.782781574122217e-08
1975-01-04,0.0006156091847822133,0.0041787621748899445,0.002053713656353922,0.006295224190594176,0.007014901275433583,0.006522043674108567,0.004584770708747175,0.014568388235497408,0.007044666547176006,0.0030894967145696913,0.0014926629535549792,0.003418105936241593,0.015838849472876934,0.004463315093646097,0.0010754605951357832,0.002716208590962846,0.0038241980833380877,0.00810651874433743
1975-01-05,0.39919997310021305,0.9386017667157157,0.9052948236545383,0.6401318925637864,0.9086971640648676,0.8788757852454281,0.6354716295163352,0.7996402408158042,0.6563235651069589,0.48562804508105123,0.45682371865983973,1.0691957284928602,1.55099491731307,0.5594622954203079,0.46420014198204795,0.5648804401789741,0.6023692167138928,0.6610931170475229
1975-01-06,0.16035346656713073,0.4702603322767994,0.4957561800037569,0.0590095362388588,0.4485972863461937,0.34196314709556735,0.09934444063878142,0.2132336680496505,0.0667663688408892,0.17719821537323338,0.2517907837687962,0.29257891456915686,0.18939812311334028,0.2272118745075335,0.0729641274445609,0.18202056252114526,0.0531179873352467,0.09561221453228635
1975-01-07,0.07695651312312059,0.25020131025021464,0.2774875861822703,0.05645764659237302,0.23013433094454513,0.14653840753714137,0.09187849727774255,0.11422425732236711,0.06359680682301905,0.09002978184737098,0.14240556903994506,0.11531308130754189,0.17211780586968084,0.13483032925236338,0.06748755812011263,0.09105751067406179,0.0511220988036595,0.08911335837957637
1975-01-08,0.7926112044933442,1.0904247485981462,1.1580710272110228,0.763896041896928,1.0552742483747075,0.9680934998232847,0.78178163767851,1.0695835613692821,0.782680920032832,0.7805596291367445,1.0677460772736158,1.349872669494426,1.4331726431947176,0.6898389864596396,0.8060132991469326,0.9599169569967124,0.7610175517711871,0.6982904194730492
1975-01-09,1.8854010499922949,2.362730600183998,2.5184338827986528,1.3746493762413254,2.2640027543250003,2.086637356464112,1.4720555998912024,2.1520087590063577,1.4167867685634028,1.6581151583788432,2.455424980222063,2.768204561463826,2.4271406885373126,1.3596349790337263,1.7190662543669308,1.999902814849929,1.429949748654358,1.254871502391835
1975-01-10,3.8113182204414056,4.3749346790725205,4.638356637366327,2.3736495633632315,4.199856112561516,3.859861393669008,2.6318694113019427,3.833887316156954,2.4604547641266685,3.0513167871255296,4.6047070196112365,4.926126306202086,3.897646723717688,2.373493203187352,3.1287826718832634,3.6678196849989373,2.562005811307939,2.1776251374943745
1975-01-11,1.6260543516982608,2.2544009407923706,2.6492854050072325,0.40083467456241245,2.198606074345107,1.662787821026598,0.757157976768239,1.311042421141562,0.4531207049468708,1.3343451764006198,2.558039604370516,1.5002255931142285,0.8797827025819953,1.2011896076702897,0.8677851776351904,1.4549706297854326,0.49539976595049073,0.6236101303530805
