Date and time (UTC)	Real time (s)	CPU time (s)	CPU (%)	Memory (GB)	Memory (%)	Disk read (GB)	Disk write (GB)
2022-05-31 09:06:49.944837	1.0	4.7	0	0.7	4	0.005	0.0
2022-05-31 09:06:50.948737	2.0	5.9	0	0.7	5	0.056	0.0
2022-05-31 09:06:51.953042	3.0	6.2	0	0.7	5	0.181	0.0
2022-05-31 09:06:52.956520	4.0	7.6	1	0.8	5	0.256	0.0
2022-05-31 09:06:53.959817	5.0	8.2	0	0.8	5	0.393	0.001
2022-05-31 09:06:54.962826	6.0	9.2	1	0.8	5	0.526	0.001
2022-05-31 09:06:55.966111	7.0	9.9	1	0.8	5	0.591	0.001
2022-05-31 09:06:56.970553	8.0	10.5	0	0.8	5	0.636	0.001
2022-05-31 09:06:57.974230	9.0	10.6	0	0.8	5	0.652	0.001
2022-05-31 09:06:58.978176	10.0	10.9	1	0.8	5	0.773	0.001
2022-05-31 09:06:59.982069	11.0	12.1	0	0.8	5	0.898	0.002
2022-05-31 09:07:00.986068	12.0	12.2	2	0.8	5	0.971	0.002
