,ED,NSE,logNSE,NSEfdc,NSErunoff,beta,Ce,Drainagecapacity,Interceptionstoragecapacity,Kf,Meltfactor,Mm,Ratio_Pref,Soilstoragecapacity,Temp_Thresh
13,0.46210193346821704,0.3966550580957622,0.605444871196367,0.6045263157219346,0.5780349728743963,1.945,0.523,0.0,0.355,0.183,2.44,0.0516,0.31,6.470000000000001,1.299
14,0.47693025204872136,0.25255200178226356,0.8623878604785891,0.8924421261795156,0.43372660836581545,0.924,0.787,0.0,1.187,0.484,3.363,0.5721,0.159,5.21,-0.557
15,0.5266160656477722,0.45133589630264404,0.37711169537295897,0.3754342068822357,0.8262376515658223,1.142,0.572,0.0,2.346,0.251,1.637,0.1348,0.168,9.15,-1.839
16,0.5052986545043804,0.2727139571334206,0.8285012008182764,0.8689490510943491,0.3323356056390486,0.772,0.739,0.0,0.156,0.359,3.23,0.0021,0.261,19.06,0.996
17,0.46606356197111043,0.2911406875791871,0.748245154999296,0.842468120228628,0.47256976266291084,1.805,0.741,0.0,0.073,0.109,2.461,0.5388,0.471,30.51,-0.709
18,0.4431817732271732,0.40875046620443123,0.7455512323657465,0.7333444757578714,0.4520812274522671,1.877,0.62,0.0,0.34800000000000003,0.991,4.558,0.16,0.146,5.44,1.06
19,0.33869219637538067,0.3538205695324863,0.9102406214585388,0.9335611766222758,0.8302033690115389,1.586,0.541,0.0,0.18,0.184,1.131,0.2032,0.109,72.22000000000001,-0.51
20,0.8007833200742324,0.277308236500975,0.275925163524006,0.2240037019468646,0.042776047940084716,0.261,0.594,0.0,0.919,0.734,3.45,0.3152,0.607,9.61,1.472
21,0.6764019059170145,0.3140767485931103,0.5603101090064233,0.5388348984380726,0.02348220940347745,0.312,0.784,0.0,0.666,0.993,1.153,0.9273,0.281,28.740000000000002,-1.197
22,0.7261796181345522,0.37962250080232895,0.20473516664315305,0.16176141077362505,0.37598956577385434,0.772,0.741,0.0,1.454,0.118,4.23,0.1386,0.795,54.76,1.246
23,0.46701331973795307,0.418236370741656,0.4700418998884327,0.5255325855852999,0.8327220047119713,1.042,0.683,0.0,1.262,0.271,2.241,0.2205,0.498,5.18,1.561
24,0.575145434785446,0.3176136983961577,0.5722358511520677,0.6959688969839566,0.2370446006739052,1.152,0.546,0.0,0.714,0.424,2.458,0.8711,0.635,68.02000000000001,1.74
25,0.32797481152277674,0.37601813514787275,0.8751493704276443,0.9254940171763237,0.8593667211214577,1.214,0.661,0.0,1.052,0.119,1.798,0.4212,0.245,5.52,1.349
