,ED,NSE,logNSE,NSEfdc,NSErunoff,beta,Ce,Drainagecapacity,Interceptionstoragecapacity,Kf,Meltfactor,Mm,Ratio_Pref,Soilstoragecapacity,Temp_Thresh
18,0.38468316759397203,0.3759428067513304,0.8100571817159486,0.9584223478681018,0.5942042362214321,0.378,0.612,0.0,1.805,0.584,2.426,0.7884,0.37,16.79,-0.149
19,0.7178538842088573,0.3089401766094414,0.33145437924482335,0.3095779497576978,0.18756091779218587,1.416,0.534,0.0,1.168,0.782,2.436,0.1303,0.558,48.64,0.696
20,0.5588354738695915,0.3277062300710848,0.701097838618546,0.7602572848423617,0.19353216878457613,0.644,0.572,0.0,0.6,0.522,4.914,0.9218,0.302,39.29,0.016
21,0.43518933972963886,0.25499291528961276,0.659640106962119,0.847480909250821,0.7481735527056541,1.977,0.748,0.0,0.5680000000000001,0.449,2.7,0.6785,0.638,39.87,0.633
22,0.6396803636073569,0.38461997484709143,0.3479185505145733,0.33997284414796636,0.3697419324141682,1.607,0.741,0.0,1.023,0.192,4.608,0.1654,0.377,59.6,1.701
23,0.5108164297793367,0.42688841693684665,0.6954252778460059,0.7133863954162671,0.2649056568159326,0.98,0.471,0.0,1.874,0.674,1.847,0.9657,0.287,169.52,0.702
24,0.3356481050617882,0.44573410181322826,0.7824979621752313,0.8543199158107753,0.726324841379088,1.286,0.681,0.0,1.727,0.899,2.764,0.4207,0.206,8.78,0.853
25,0.5575177470317757,0.23432319320424855,0.46618821699808355,0.5386691999592992,0.6009234987891028,1.809,0.71,0.0,2.602,0.899,3.613,0.62,0.42,16.39,-1.437
26,0.5744436723288976,0.12887545821098267,0.5480143105746019,0.7292120804888736,0.46758380696188684,1.069,0.71,0.0,1.558,0.957,2.913,0.1089,0.597,10.07,0.806
27,0.35874240378100136,0.38651377140162224,0.7831688090717217,0.8722762552600974,0.7259744974045959,1.333,0.749,0.0,0.132,0.64,1.394,0.3453,0.396,23.73,1.331
28,0.5674512344360206,0.26851253485538307,0.6211137989173122,0.817267225441832,0.24106411211515366,0.931,0.776,0.0,0.755,0.271,2.091,0.2575,0.595,10.760000000000002,1.643
29,0.4802319454268012,0.35218664971750646,0.8405026046933817,0.9056773198800921,0.3155348352656552,0.156,0.604,0.0,0.22,0.257,4.64,0.034,0.271,14.69,-1.496
30,0.63623717927523,0.2645867289841257,0.7448456643156283,0.8266114640007711,0.008440120543571017,1.741,0.726,0.0,0.533,0.147,2.077,0.4866,0.345,60.07,-1.599
31,0.4263501660211343,0.34291761715110314,0.7728512256743977,0.9632201098066956,0.5076675184244333,0.504,0.735,0.0,1.373,0.26,1.97,0.998,0.512,5.800000000000001,-0.201
32,0.330212496338088,0.4110932614317385,0.8523015174091564,0.9626062748403905,0.742829061168898,1.787,0.739,0.0,1.704,0.336,2.682,0.6946,0.341,16.29,-0.053
33,0.6135026286656167,0.331446574107639,0.6519543829653413,0.6885870541313491,0.08323152112736454,0.227,0.781,0.0,0.139,0.335,3.528,0.0096,0.188,56.63,1.516
34,0.5708796939268748,0.3066472854421234,0.6697194059163454,0.8106519439874937,0.17662975774963452,1.644,0.657,0.0,2.588,0.348,2.766,0.4367,0.548,66.45,-0.931
35,0.4612733604346733,0.252682016525247,0.8696819490508917,0.9008825912231767,0.4844408582556151,1.85,0.732,0.0,0.485,0.176,1.735,0.8356,0.137,21.939999999999998,0.072
36,0.7625249235479085,0.34022913562132384,0.3162568913645435,0.3254863489700611,0.016126970279307984,0.363,0.595,0.0,1.746,0.751,2.874,0.9322,0.291,80.27000000000001,-1.563
37,0.6385118760258337,0.2872320537204158,0.2810505050793951,0.32971466284945705,0.6042971966047092,0.592,0.521,0.0,0.862,0.697,1.744,0.7335,0.629,5.27,1.725
38,0.5849580064990753,0.2774861134771087,0.6841953438620896,0.7831668064278345,0.16338303472975935,0.241,0.434,0.0,0.737,0.131,2.954,0.1641,0.424,8.14,-0.551
39,0.5013614336986832,0.33216612828858805,0.5628447884084711,0.6616738176745387,0.49613316845818656,0.39,0.795,0.0,2.593,0.433,3.521,0.8368,0.46,15.54,-1.562
40,0.5710092263493618,0.3260661664658743,0.5684482088827969,0.7125173383781465,0.2376771647308913,0.351,0.486,0.0,0.606,0.262,4.538,0.9628,0.665,10.5,1.564
41,0.4990300330534852,0.4207214461243005,0.4373124520971291,0.5642245372519437,0.6075172333988406,0.47,0.607,0.0,2.714,0.129,4.581,0.4197,0.173,45.03,1.243
42,0.7506322364221747,0.20038586855066898,0.010450223026099326,0.2584104839476926,0.708026564935502,0.399,0.776,0.0,0.371,0.193,4.266,0.6642,0.876,20.07,-0.429
43,0.3872376070276885,0.3480775651812842,0.8054374208379127,0.9421760003011358,0.6344719107718513,1.904,0.644,0.0,0.508,0.19,1.725,0.6443,0.436,14.15,-0.404
44,0.5448652224226106,0.34681960321376737,0.6214560289027584,0.6860130191581582,0.2795942466328444,1.89,0.79,0.0,0.706,0.857,1.638,0.2551,0.248,18.05,0.504
45,0.6306416782968596,0.27182477564277796,0.7301142672082259,0.8481923873257174,0.01780211351163541,1.577,0.767,0.0,1.524,0.231,1.168,0.3292,0.429,35.22,-1.693
46,0.6097985550834468,0.2628839283946064,0.5059331981562956,0.8035386797256803,0.1867485302438887,0.671,0.78,0.0,0.096,0.187,2.02,0.7282,0.633,13.280000000000001,-1.681
47,0.7532123503318567,0.2561095118719925,0.36846343891967215,0.4000369825634187,0.021660452516786388,1.515,0.562,0.0,0.772,0.963,3.726,0.579,0.372,6.74,-1.973
48,0.4739305648431074,0.37840289703502106,0.4885818874767667,0.5537226581670565,0.773403859023883,0.89,0.716,0.0,1.08,0.975,1.155,0.151,0.365,21.700000000000003,0.094
49,0.5699051590595107,0.26273970049122664,0.5327676188172853,0.7961487009542553,0.2959024485836419,0.545,0.429,0.0,2.036,0.405,4.965,0.8044,0.593,19.990000000000002,1.743
50,0.5484024540514146,0.05463202583676774,0.6570266844280195,0.8772854909736332,0.5797966516733325,1.225,0.404,0.0,0.534,0.747,4.186,0.9096,0.552,47.05,-0.512
51,0.596083193887829,0.33729760722003344,0.3878858482590085,0.49222368661921045,0.40875917296452835,0.195,0.794,0.0,1.518,0.319,2.725,0.5599,0.719,14.200000000000001,1.684
52,0.8502550029037678,0.30751196585700125,0.08797851865579742,0.062301114916740286,0.16266361544439756,0.173,0.637,0.0,0.663,0.54,4.075,0.1709,0.665,13.8,1.913
53,0.35755748855951947,0.39768392690217114,0.8486514672142289,0.9172304341836516,0.6552571984998933,1.766,0.462,0.0,2.034,0.438,3.302,0.0874,0.235,44.57,-1.709
54,0.5566110202786738,0.4389938007867381,0.3419829177654381,0.3485442324571104,0.7408586130129478,0.421,0.608,0.0,1.655,0.52,4.707,0.8388,0.307,67.51,0.89
55,0.873366141574202,0.0867503755906669,0.18522165110726285,0.13293044374310992,0.10480425643485503,0.961,0.406,0.0,2.603,0.944,2.988,0.7884,0.695,59.18,1.653
56,0.6830452502121781,0.3445566022655707,0.3570950367420441,0.37993878482332133,0.2007537892689627,1.706,0.612,0.0,1.047,0.238,4.799,0.7157,0.299,11.87,0.438
57,0.5990746661647344,0.2487732536543309,0.6420817606653533,0.7466830233660153,0.17601866438792735,1.906,0.782,0.0,0.509,0.702,4.22,0.8994,0.469,5.22,-0.235
