Date and time (UTC)	Real time (s)	CPU time (s)	CPU (%)	Memory (GB)	Memory (%)	Disk read (GB)	Disk write (GB)
2022-05-31 09:37:54.995043	1.0	4.7	0	0.7	4	0.004	0.0
2022-05-31 09:37:55.998792	2.0	5.0	0	0.7	4	0.005	0.0
2022-05-31 09:37:57.002438	3.0	6.0	1	0.7	5	0.168	0.0
2022-05-31 09:37:58.005246	4.0	7.4	0	0.8	5	0.229	0.0
2022-05-31 09:37:59.009194	5.0	8.1	1	0.8	5	0.391	0.001
2022-05-31 09:38:00.012254	6.0	9.2	0	0.8	5	0.492	0.001
2022-05-31 09:38:01.015876	7.0	10.4	0	0.8	5	0.585	0.001
2022-05-31 09:38:02.019224	8.0	10.8	2	0.8	5	0.776	0.002
2022-05-31 09:38:03.023094	9.0	11.4	0	0.8	5	0.873	0.002
2022-05-31 09:38:04.026689	10.0	12.1	1	0.8	5	0.969	0.002
