,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14,simulation_15,simulation_16,simulation_17,simulation_18,simulation_19,simulation_20
1975-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-01-04,0.0003006420874729802,0.00034894892664013205,0.001631137263847388,0.0005646489830199331,0.003738946423824565,0.004890649602717847,0.0007148803958652117,0.005105791991974228,0.002509989709729137,0.0003286922551392024,1.3018162271295401e-05,0.0008127831639717265,0.0011213996324117837,0.0004000350741390922,0.006017099203500499,0.0011506343568888156,0.000820852391712279,0.05200095019024531,0.0010282094486544287,5.303240883227645e-05
1975-01-05,0.021369574837497962,0.014313920150145234,0.03388760739916088,0.015358408095862813,0.02047109401402909,0.030564693601423505,0.014269988622398436,0.037395529298930905,0.020471853884230878,0.032846116647115765,0.029140155362830992,0.039424340601787164,0.025247537734448218,0.012053528763826555,0.06139178115550861,0.012983435598528862,0.04682643143805485,0.07370513213970507,0.08491933839191892,0.08122679487882442
1975-01-06,0.00379687895370894,0.0030174533649796995,0.0054862468208500825,0.003407991753139876,0.0030282563124572207,0.004265918617858574,0.0021065276091559995,0.00921785538411681,0.0031015010443485687,0.004957854291720003,0.00468431715157224,0.009638995374169495,0.0036054307310023027,0.0032672274865669414,0.024074079440953678,0.0021260662681985465,0.007560470556241915,0.02725234767541177,0.03172581527985242,0.03676771676730761
1975-01-07,0.002835293875616743,0.0022634299650069974,0.0036684662852091167,0.0023044730980602657,0.0014535665125095364,0.0025078320160620764,0.0013969101134986685,0.004661223210934436,0.0018792509167672785,0.003707392744977492,0.003510132556619701,0.005184391130777569,0.002561585715865636,0.002544082483736121,0.010201467216713948,0.0013991831254878916,0.005700548688660169,0.01512064746423696,0.016114033607764255,0.01863373903038385
1975-01-08,0.0025422326011415425,0.002077388168420552,0.0033906234992598524,0.0019270588380995092,0.0013099797925061785,0.0023278871409691112,0.0013100341327570856,0.0034280924158015397,0.0017369591664367938,0.0034826168482554967,0.0033054798957450645,0.004455578708255293,0.002421067381541638,0.0022261858890611644,0.00596443743540541,0.0012978529403138168,0.005362792495414245,0.009512532176147545,0.011678389629360875,0.011978648789794245
1975-01-09,0.0024729575644175327,0.0020447236690520243,0.003471604840321223,0.0018244191111146232,0.0014608590860657922,0.002500005262968015,0.0013694167325310968,0.003323637282827201,0.001843253870368023,0.00350991313234519,0.0033425108459670234,0.004398587167388008,0.002492125091160683,0.002069862359262346,0.005147556677843267,0.0013440832327192113,0.005400806936738709,0.007119200264297033,0.0105032348585004,0.009872990683098846
1975-01-10,0.0023673294276464803,0.0019591624323480514,0.003361614168572659,0.0017171049385633474,0.0014498541969793738,0.0024377822031379174,0.0013376564459342184,0.0032187428241647704,0.0017918995780572982,0.003394091751602898,0.003244188824790832,0.004238302319961281,0.002431194581897673,0.00190492863475024,0.0049123635052826155,0.001300587336829615,0.005226496583787978,0.005842585598576238,0.009889455322414257,0.009021779171045411
1975-01-11,0.0020845771749484193,0.001717791528132322,0.0028043466863511054,0.0014512012997165446,0.0010870445730292728,0.0018889833362533601,0.0011047639153856645,0.002581648093454591,0.0014012597437456531,0.002943365528771596,0.002823098390661581,0.0036789297803977612,0.0020795182071596187,0.001616349990583626,0.003995525471139635,0.0010582451455927587,0.004552502588064917,0.004470963820125118,0.008827081109174248,0.007876251686080388
1975-01-12,0.0019507648699873315,0.0015978897249406638,0.0026073264338607287,0.0013178950914817784,0.001006511439491469,0.0017534428046877852,0.0010360569512741949,0.0023181439898410107,0.0012951601792010746,0.0027649119157300895,0.0026587386488474488,0.0034112586733861484,0.0019654441413165208,0.0014458169070244876,0.0035974632701380005,0.0009816060146475504,0.004282767821941713,0.00376106893259912,0.00817806149222153,0.007229540141632566
1975-01-13,0.0019957505964254595,0.0016249076768129484,0.0028077857256514106,0.0013576705286242165,0.0012280836876721443,0.0020362750422087215,0.001141643546297975,0.002590896371589569,0.0014839361469044501,0.0028847437066299845,0.002780805079645062,0.0035198277324950526,0.0021034625243070483,0.0014315516245594815,0.004065633603802602,0.0010797314901186041,0.004458014379774056,0.0038579360553315126,0.008165527626930902,0.007387392777002901
1975-01-14,0.04707551055486426,0.03360444361329547,0.07778658754815287,0.03369591122031114,0.04196745824495118,0.06328924558179976,0.032467226739539556,0.0748393279797904,0.04534741964765881,0.07318875814411316,0.02231044848381816,0.08260958850152753,0.01946945955079689,0.02691065279519051,0.05455484527555984,0.029302079737988374,0.10186266806752797,0.099139024971525,0.044754631641273544,0.05111998727720339
1975-01-15,0.06978770623638293,0.05080921549318071,0.11576428388848534,0.04985180306028964,0.05745453202628634,0.08474792003065663,0.04873188690151313,0.10858988552578008,0.06470983318464382,0.10718920679221951,0.09712391956346837,0.12146827513428209,0.056886731377018766,0.04228524177791915,0.07973884033812972,0.042393270567829135,0.1497591779134862,0.14747943450537554,0.23516140772496927,0.1891832249634274
1975-01-16,0.06844604694486181,0.050387653474279454,0.11110262680880001,0.048840938229473316,0.051322940627922274,0.07458077195223868,0.04648149609368911,0.10225114736527577,0.05975034259858854,0.10240259175342532,0.12007447984507147,0.11541147439719313,0.0847942015051368,0.04332831905681517,0.2303937430982913,0.03978484204422216,0.14357973837390525,0.1420934591776537,0.3295139721416682,0.3203325059225413
1975-01-17,0.3942780680093894,0.20221268405640175,0.5024456915946536,0.2548565356361163,0.35394567355996753,0.38351892252387165,0.16946168762922226,0.9331135021458685,0.26586433422291555,0.4712099254137074,0.34609713396063047,0.49447417196800625,0.20835029468187294,0.13390827276766815,0.5993456177021462,0.16354647534126157,0.6171349957565947,0.47806907070216864,1.2983576834740824,0.6288715885749222
1975-01-18,0.07715654437846417,0.05094916216661188,0.09456449386706578,0.05718673095568444,0.06255563913788892,0.06844659444553175,0.030480625006730284,0.1767320161796331,0.0489239657703429,0.08662396639337633,0.0691205016580391,0.13429626127456595,0.03809718310076013,0.03888064303694477,0.23583845800106545,0.032158241906818846,0.12290900719007189,0.1353120230510444,0.505369686146592,0.2931025071345298
1975-01-19,0.06567611951357083,0.044992352723066835,0.08111511233164462,0.04687302597789072,0.051161387953622524,0.05980585615139446,0.026572426837643253,0.14686918555760425,0.04232146415766157,0.07565834717604727,0.06168133357290767,0.0882465861300463,0.034295569771759314,0.03369408550712364,0.1183381637158101,0.028350854708050814,0.10918577295602672,0.10594535566555817,0.28590774404410874,0.16729916361587355
