,ED,NSE,logNSE,NSEfdc,NSErunoff,Temp_Thresh,Meltfactor,Mm,Ratio_Pref,Kf,Ks,Ce,Soilstoragecapacity_Bare,beta_Bare,Interceptioncapacity_Forest,Soilstoragecapacity_Forest,beta_Forest,Interceptioncapacity_Grass,Soilstoragecapacity_Grass,beta_Grass,Interceptioncapacity_Rip,Soilstoragecapacity_Rip,beta_Rip,Kf_Rip,Ratio_Riparian
6,0.3978242764799271,0.5089613225267293,0.7632278604957736,0.9524634440880096,0.4224042357677572,0.0987413660324914,4.489629756336152,0.1808183247783638,0.4838713392588875,0.3740252233229988,0.0789427482901369,0.5570143234383335,25.77605786967918,0.5796113284219369,9.83878943813004,290.9104157183029,1.2370522587382575,4.481516551445646,300.1263418545614,0.2373339794818931,0.6608653872555993,61.0204091291858,0.5081811415056997,0.7480244697891831,0.189375911984617
8,0.3757535023654371,0.4948646974129719,0.7789528697931518,0.965286939975086,0.4905549353159801,-0.187752895188668,4.467578537304748,0.3978764783558841,0.501729023176798,0.3562211073984881,0.0785793707361909,0.4864709916017221,47.667909664343895,0.7778444266326371,9.473216943326308,325.2809648596145,0.1112537002202797,0.7861709225130254,278.3054972957406,1.6802539534508814,4.060499377401392,398.1196035133583,0.2747024104617426,0.7829177073789807,0.0814655464259612
11,0.389404679232572,0.4866985887567576,0.7850385921447482,0.9753596657054132,0.4557113586456867,-0.2772288911022889,3.759361546777642,0.4618522939278498,0.1918011193813455,2.9371479214892853,0.0998013310964122,0.6272575170641379,44.59802174142028,1.9529690427810624,4.588458705803644,329.117892829902,0.1091353210088596,4.913544814155967,195.17055034489152,1.038636769266167,1.1559564549448893,35.59289960080904,1.4729901888079382,0.5005187230737265,0.0501685778862834
14,0.3804887033242359,0.4832628053920385,0.7696302610176763,0.982465392935428,0.4913826526214089,-0.5047719842746794,3.252315749879479,0.8516708692857574,0.5471673563506435,0.3647985633148307,0.0987282571009037,0.514037142057807,1.2634380919588126,0.9451144124735904,2.3981682699803315,310.8735427069721,0.1215746213799888,4.565016682647693,199.91479451970216,0.9747779339316308,0.1128698629549015,179.9713740421063,1.719425704597053,0.5540551326559441,0.1429839501280269
15,0.3744891748551053,0.5012986880376564,0.770762130910633,0.969711728821949,0.4912778854953532,-0.1187448131380835,4.337237316145696,0.1332869956337568,0.4728070753296424,0.3772133085371223,0.0896369756571302,0.5602755539717296,25.85395594897364,1.974207048291074,6.742228855368991,305.7265003381408,0.1270164794082852,0.8613920036124392,283.6110279198057,0.9852446405734364,1.3846098349238571,292.457040903785,1.996423854322068,1.6121184427986868,0.0606859357244144
16,0.385977865761325,0.5016444302253625,0.7746784061942684,0.9575030790200022,0.4568779432049082,0.3449485384012645,4.997184420085235,0.0728145851197984,0.4804927554523343,0.3425064006237748,0.0871931982309096,0.4104296687995488,26.137986980352064,0.3981957167725329,8.231160415570079,311.7981043490149,0.1757356384475179,1.5073415820813778,310.5071922193142,1.816610853086212,2.377993013265959,35.36906163645439,0.843212447265368,0.6579359474782505,0.3077161639456662
18,0.3752749584658663,0.5101544079895588,0.7732762877803163,0.975847756382324,0.4790494253389006,0.25926157226839,4.194040163798119,0.5747102297359403,0.5417565584471855,0.4256054421146634,0.0554883873908743,0.5417289922993261,74.42667209866282,0.878708269559192,7.049556935124238,359.5572663365872,0.1237883893702802,4.795691920936806,217.2760807579857,1.983459545519049,4.559691769219818,321.4865657392256,0.8916747211395711,1.4670743295123183,0.1142227678186797
20,0.3844028962416517,0.5026894476226658,0.7856527672035059,0.99175470524037,0.4543519083174182,-0.0294873603146057,3.889875677181279,0.2491532006667489,0.5939145759409672,0.4374007593870433,0.0594302368026052,0.6157713996469505,59.70439610214759,0.9859199719801462,8.315648602934504,299.4313389871525,0.1201789851934942,3.431137146346141,63.50426395805496,1.0703390966952897,7.862713034281449,362.3691220024711,1.8143400915809151,0.361097947615948,0.1591739122652119
21,0.3787969974343911,0.5037090999347735,0.7801093238685807,0.9904727479983606,0.4716049530952694,0.0348083924779909,3.677269684649146,0.1904779966628869,0.6120304584160822,0.3197286210816875,0.0988768192426695,0.449974002881327,37.8559085757132,1.886208349424278,3.824393162759113,328.7844664192929,0.1292635803082067,3.65810861648033,132.88659732442414,1.686340717970933,3.4239744882665657,327.1228422490848,0.536316178026749,1.712454532482607,0.3270921629231826
27,0.3938249986233967,0.4895365276528725,0.7546892402748182,0.93670279977252,0.4562761204723453,-1.4734260871376872,2.665218221269459,0.1400627036295762,0.5119150576155036,0.325346386156278,0.0992974755179294,0.6393121370193059,45.21300804940797,0.4055099089504382,6.699244820056334,324.9948373105359,1.2082863896761835,4.98221240963837,397.8225715246209,0.1000033744281436,7.1118128628089785,289.10879317914333,1.9488994311032524,1.170828862318745,0.3742838492038
29,0.368222687616861,0.5157184991888912,0.7730098158699295,0.9869989377758857,0.4939074715381395,0.4799270409483367,4.943128175736861,0.9448918085428448,0.4938220517264656,0.3928736520033138,0.0980564453981681,0.5177140594424247,12.019620840679602,1.0059150212098535,9.840586817829786,328.81755808154816,0.100454894067483,2.0834479586831445,355.7351428304646,1.7776766370543124,7.431273766044176,384.33796344921785,1.762020200757637,1.6153984835690929,0.0951850667118094
34,0.3769192641524717,0.4964448936311323,0.7741208102436005,0.989128720266438,0.4866139965691036,-0.1963832424202829,4.013526325283914,0.3520011158560808,0.4885675527261619,0.4765909283245375,0.0960099444094397,0.4954600698084999,2.6352949613480465,0.658596280506683,6.844051660351329,332.8364420717095,0.1053675090503887,3.7395231187799514,228.41113757188376,1.5414746348002433,6.313535784962917,397.62987796951256,1.8252675750037943,1.1850342139402592,0.2555905000672172
36,0.3789368302751731,0.5057871844149817,0.7715524673340002,0.992929359036672,0.4728492538915507,0.1069066675644205,3.6620547471718754,0.4514934186631319,0.630591439634198,0.300252311936254,0.0987893633028306,0.554414514525238,22.892436852111008,0.83782412402877,9.55742711599669,313.168768361623,0.108268809923358,3.5922053452056777,155.58382860572857,1.8375007142673685,7.86611970271786,308.3978314088272,1.5226762866061616,1.1574513591583209,0.2112194119466423
38,0.3891220386514427,0.4743485378208146,0.7620201592363465,0.9413101729734168,0.4810823921279988,-1.6090057643991722,3.3849501763670573,0.1198252533326705,0.2341411304101482,2.3729115510563874,0.0935031166149337,0.7968637580440783,14.745572373160666,1.7551041177540427,8.771334686385938,697.2457179802651,0.1094112604749402,1.921462595928828,233.26404035303028,0.935081381508024,4.623949995368011,82.3582951852074,1.5283320785952024,0.3725534104233522,0.0572331561912456
39,0.382136636738106,0.5025949355743666,0.7619306244273194,0.9914684916594956,0.470895072586121,0.1924673295717203,4.901649009314282,0.9040758368594024,0.6972410905563015,0.3611616609205912,0.0574756449887168,0.5483882651220853,44.76701965602641,1.5099802169835082,6.115111091827489,230.94282280644163,0.1770828504227079,4.264295509815052,239.47732970264823,1.3304520117664618,5.003902536284564,396.485711583044,1.839866593407706,1.710617990008361,0.1973738688494345
41,0.3744136040107506,0.503829642158161,0.7551194117562203,0.9654443064779382,0.4966148939241769,0.1923776928161453,4.527213772652666,0.2180321125925172,0.7594855729939384,0.2650482001899075,0.0748233977331496,0.5872131634259666,50.923232612954855,1.849577813976404,1.9844802339394705,353.91285394983737,0.1183089363541537,2.3195317415478103,282.2935349390882,1.3773246718406866,7.275572728147585,332.3521741904073,1.5273042794966416,0.8294006727755608,0.4599155579143063
43,0.3821903970944089,0.5020617121678639,0.7609141763215573,0.9952990300559792,0.4716522642869427,0.1438014804796448,3.9288870081766016,0.95775263350144,0.7478654128832136,0.3258951308760712,0.0666208250726249,0.5520974473324696,18.348635168372912,1.8350601312838024,2.770249478710179,250.842293847203,0.1153482500695426,3.299899462073094,206.1186485254559,1.1007268556400829,2.5111491261922745,180.9662019518973,1.5210551805946513,1.863814984024322,0.1777627831953787
45,0.3871838776156229,0.5097709123870876,0.7711915842064967,0.9746827755063636,0.4465321969562308,0.1384230760695581,4.995098425759801,0.8987023262648375,0.5210794953543686,0.3252969991929071,0.0936600213680349,0.4169333844913714,31.80938046544641,1.778172925175321,9.48102929440927,249.7432885017828,1.9232007575000256,1.7750707834614283,313.50228207359345,0.1000511308076517,6.321073164897244,204.95534977565757,1.8488525738739932,1.49699392512398,0.1852705462625049
47,0.3772744346573296,0.4951435175315638,0.7722159585357361,0.9784125919100364,0.4880309164023747,-0.4118340348571685,4.878273443625522,0.078842938242261,0.5794538438514917,0.3753122721867168,0.0953215922407141,0.405821698289062,11.463076471134618,1.1655397070421594,9.917757582030692,606.1320003997822,0.1106719465786092,1.7844695760712292,227.310515986526,1.9876727957574865,6.18150957130765,305.573355727103,1.238651902602543,2.6723760958262406,0.4062159954975788
