,streamflow_change,dprec,dT
0,117.6624400451549,4.7226782290818194,5.427889108657837
1,134.39480776276875,0.23765316607548972,6.079824686050415
2,162.02518891124967,25.027287706357477,6.3149303793907166
3,87.72725021078934,16.33237758660605,5.339498519897461
4,23.57764244074116,-21.565824192237017,5.82618522644043
5,-1.6753971990902314,-24.074806157582913,5.686047554016113
6,10.873570598793307,-21.594290179412457,4.624753952026367
7,36.19453074893203,13.426511332379853,4.185879707336426
8,46.26754322797545,35.041608423209055,3.165210723876953
9,60.559356112391846,17.956725091324508,3.3761569559574127
10,93.5872644980632,47.61718919570439,3.8008646368980408
11,136.13332354670982,18.418751685151623,5.307255148887634
