,0
00,-1164.3972177445316
01,-509.96949869894706
02,-993.8132883018234
03,-970.0670112992761
04,-985.7769885642281
05,-848.570115503411
86,-697.7059794832562
87,-843.9084982766051
88,-595.3738499219112
89,-738.5034293265928
90,-483.44934516206376
91,-745.2130197076233
92,-1108.8690973696816
93,-705.7416925211639
94,-143.36874642958696
95,-908.7799079294343
96,-277.71396540923774
97,-1021.6851178066263
98,-397.23923221555015
99,-696.089541450553
