Date and time (UTC)	Real time (s)	CPU time (s)	CPU (%)	Memory (GB)	Memory (%)	Disk read (GB)	Disk write (GB)
2022-05-31 11:27:48.467465	1.0	5.8	0	0.7	5	0.012	0.0
2022-05-31 11:27:49.471007	2.0	6.6	0	0.8	5	0.197	0.0
2022-05-31 11:27:50.474703	3.0	7.5	0	0.8	5	0.207	0.0
2022-05-31 11:27:51.478440	4.0	7.7	0	0.8	5	0.319	0.0
2022-05-31 11:27:52.482304	5.0	8.9	1	0.8	5	0.392	0.001
2022-05-31 11:27:53.485519	6.0	9.7	0	0.8	5	0.584	0.001
2022-05-31 11:27:54.488868	7.0	10.6	1	0.8	5	0.718	0.001
2022-05-31 11:27:55.492378	8.0	11.3	0	0.8	5	0.785	0.001
2022-05-31 11:27:56.495465	9.0	12.0	1	0.8	5	0.866	0.002
2022-05-31 11:27:57.498405	10.0	12.5	1	0.8	5	0.97	0.002
2022-05-31 11:27:58.502262	11.0	13.5	0	1.0	6	0.97	0.002
2022-05-31 11:27:59.506086	12.0	14.6	1	1.1	7	0.97	0.002
