,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14,simulation_15,simulation_16,mean,min,max
1975-01-29,0.24443099255269551,0.12989399361465495,0.23833336738913058,0.553136726300212,0.2945170084943278,0.36815086294103294,0.09940117691697944,0.5910125967127873,0.14062239924880468,0.06778755777827562,0.06585855837282728,0.40443546054287266,0.1794237003579547,0.08431987675344979,0.18151333320766275,0.05683334647991006,0.2312294348539736,0.05683334647991006,0.5910125967127873
1975-01-30,0.2213043302780422,0.128326024733582,0.19500918703600725,0.5082913698807667,0.2712248247816432,0.29890532784934576,0.09216944927112927,0.503310335025141,0.09545939943329049,0.06393745410710552,0.06117830812725305,0.32912298119698863,0.17463939414992014,0.0824819237519295,0.13560339047955963,0.05587893892250467,0.20105266493901303,0.05587893892250467,0.5082913698807667
1975-01-31,0.26264931099950517,0.12698297271816236,0.19850806481399108,0.47658989060092105,0.3168839550374547,0.24563259963469275,0.08900243918285708,0.44379415651718584,0.0712966014135355,0.06285540139853889,0.059895561547233314,0.26905941472490114,0.17230077856991075,0.0814046613363063,0.10176226235432359,0.05544228494555646,0.1896287722371922,0.05544228494555646,0.47658989060092105
1975-02-01,0.22612845162830572,0.12566490070004493,0.15395841952940306,0.43725980414407317,0.27403441603330786,0.20462715911283896,0.08741892610725814,0.37505278536508346,0.058306781121096704,0.06238064403467629,0.05933819770163136,0.22114941752352893,0.17067629864282355,0.08058972527078002,0.07681586544799454,0.05511399282042106,0.16678223657395425,0.05511399282042106,0.43725980414407317
1975-02-02,0.21064393674769996,0.12436140533938399,0.13032096891105294,0.4032485414490389,0.2579625720646338,0.17304403663645898,0.086453744815034,0.31854416451393397,0.051261913322041386,0.06204014083944994,0.05893708927894077,0.18292610699878,0.16927402185172818,0.07986790788189511,0.05842490435355651,0.05480957547874518,0.15138256440514836,0.051261913322041386,0.4032485414490389
1975-02-03,0.20327466142111716,0.12307147798570167,0.11760259058710992,0.3738033084649803,0.2503380397623668,0.14869777199383924,0.08573140409960096,0.27207908659651064,0.04738064505489617,0.061730190066508914,0.058570975224137824,0.1524233129155612,0.16794353203113502,0.07918148870545252,0.04486531589805552,0.054511381496892865,0.14007532389399166,0.04486531589805552,0.3738033084649803
1975-02-04,0.5922597035085921,0.4646164898254117,0.5556222930294301,0.5366113854215775,0.5852151810190718,0.22631791028797216,0.35963970595708983,0.4960163554887016,0.20065578333615922,0.16894984832824947,0.4127643671623041,0.17307578705355878,0.3492499659564658,0.15231655641948386,0.053278978539196324,0.4794536482072415,0.36287774747128154,0.053278978539196324,0.5922597035085921
1975-02-05,0.7215832639371804,1.688797023795312,0.7685773847149537,0.5668217624383001,0.8099401763405321,0.652624675071198,0.7080533224820913,0.6785498988190706,0.7366533285944386,0.8094709105386945,1.7722407216355067,0.40488612005155517,0.6093732161683916,0.3704744049372133,0.2302565456826631,1.6023735692391692,0.820667270277892,0.2302565456826631,1.7722407216355067
1975-02-06,0.4449564127876183,0.7363645397932369,0.5687623424333967,0.5197270002234823,0.5301998596399167,0.6540207520973896,0.36810503306625053,0.5807240086357995,0.8414149741859595,0.7476018474550623,0.826933755741192,0.4976156065254663,0.41487686227637355,0.23806013968070366,0.3055702916802408,0.6804681666327116,0.559712599553425,0.23806013968070366,0.8414149741859595
1975-02-07,0.321091127416381,0.20079258798901684,0.36306819606417806,0.47861138983609924,0.36887427407721946,0.5238803147402525,0.21448940245525333,0.49123878393468207,0.49136252423019455,0.2500527283241792,0.2363485618550501,0.4497878194841123,0.27524014480992365,0.1514067388745176,0.2494202749741647,0.1963742459973037,0.32887744469140806,0.1514067388745176,0.5238803147402525
1975-02-08,0.2716921943293266,0.8152581759348245,0.26879434215547304,0.44302720727307054,0.3322979706049868,0.42562744900346927,0.16809958856463458,0.4293470142630535,0.5201384200575608,0.3068601914175116,0.6662935688304918,0.5647085598928581,0.22542266197868127,0.19393711594222218,0.3467217068504492,0.4955084570336503,0.40460841400826647,0.16809958856463458,0.8152581759348245
1975-02-09,0.2509786091637294,0.5829227174357197,0.21312073962637967,0.41219173192188807,0.3085117967472936,0.34824217546768854,0.14268722170924955,0.37353251016892297,0.44250683431883137,0.18756607659818714,0.47309424816216866,0.4771009463980114,0.20666094626209874,0.16384950165850778,0.3459189334142688,0.39035295264123077,0.332452371355886,0.14268722170924955,0.5829227174357197
