Date and time (UTC)	Real time (s)	CPU time (s)	CPU (%)	Memory (GB)	Memory (%)	Disk read (GB)	Disk write (GB)
2022-05-31 09:08:45.666206	1.0	5.5	0	0.7	4	0.005	0.0
2022-05-31 09:08:46.670250	2.0	6.1	0	0.7	5	0.155	0.0
2022-05-31 09:08:47.674690	3.0	6.4	1	0.7	5	0.196	0.0
2022-05-31 09:08:48.677599	4.0	7.7	0	0.8	5	0.278	0.0
2022-05-31 09:08:49.682001	5.0	8.0	1	0.8	5	0.392	0.001
2022-05-31 09:08:50.685980	6.0	9.2	1	0.8	5	0.458	0.001
2022-05-31 09:08:51.689965	7.0	9.8	0	0.8	5	0.588	0.001
2022-05-31 09:08:52.694015	8.0	10.7	0	0.8	5	0.767	0.001
2022-05-31 09:08:53.698146	9.0	11.4	2	0.8	5	0.827	0.002
2022-05-31 09:08:54.702206	10.0	12.1	0	0.8	5	0.936	0.002
2022-05-31 09:08:55.706090	11.0	12.1	1	0.8	5	0.971	0.002
