,streamflow_change,dprec,dT
0,22.450884583962548,52.854531999685264,6.47554349899292
1,136.4033307664464,43.56860610844134,7.085660636425018
2,153.59196028198093,33.21067315142268,6.507527828216553
3,-7.857318267693411,31.6536999443566,5.758956432342529
4,-60.040158321851976,22.082066610645498,4.686017990112305
5,-44.025770519407615,-3.9406392151637695,2.9336910247802734
6,-49.30916147752393,-1.097551851562442,2.103252410888672
7,-51.12381441530493,-19.63602903108648,1.731034278869629
8,-53.59051350875552,2.7504568421014532,0.6787538528442383
9,-48.916719494536764,2.6597180464122463,1.6133386492729187
10,-34.78653249494679,7.406192570427112,3.0667898654937744
11,-17.46536334048277,45.30262797339366,5.353757858276367
