Date and time (UTC)	Real time (s)	CPU time (s)	CPU (%)	Memory (GB)	Memory (%)	Disk read (GB)	Disk write (GB)
2022-05-31 12:17:19.393642	1.0	4.5	0	0.3	2	0.001	0.0
2022-05-31 12:17:20.396547	2.0	5.8	14	0.7	5	0.03	0.0
2022-05-31 12:17:21.399788	3.0	6.5	1	0.8	5	0.198	0.0
2022-05-31 12:17:22.403235	4.0	7.7	0	0.8	5	0.316	0.0
2022-05-31 12:17:23.406610	5.0	8.9	2	0.8	5	0.392	0.001
2022-05-31 12:17:24.410319	6.0	9.5	0	0.8	5	0.572	0.001
2022-05-31 12:17:25.413020	7.0	10.7	0	0.8	5	0.696	0.001
2022-05-31 12:17:26.417323	8.0	11.4	1	0.8	5	0.778	0.002
2022-05-31 12:17:27.420201	9.0	12.0	0	0.8	5	0.875	0.002
2022-05-31 12:17:28.423724	10.0	12.7	1	0.8	5	0.97	0.002
2022-05-31 12:17:29.427279	11.0	13.7	0	1.0	7	0.97	0.002
2022-05-31 12:17:30.430396	12.0	14.7	1	1.1	7	0.97	0.002
2022-05-31 12:17:31.663793	13.3	15.2	38	0.3	2	1.937	0.005
