,streamflow_change,dprec,dT
0,12.350638464299722,27.956110705757535,2.3582515716552734
1,-15.30987494163543,-14.495396209129824,3.092966079711914
2,-22.06210599096646,11.519513953564712,3.2814197540283203
3,-27.230007906903214,-7.950557274658239,3.362407684326172
4,-32.51219657720738,-46.28950249792298,3.9871864318847656
5,-29.650977656570443,247.61062921565386,2.821575164794922
6,-23.218481516634117,99.5642482125616,1.5058174133300781
7,-12.16150263638729,85.60103114104861,0.8213176727294922
8,4.868852154292659,72.06778839058069,0.3555564880371094
9,67.24527762114612,-15.741691616793918,1.620840072631836
10,42.71753181485424,32.822744436366754,1.8882331848144531
11,23.245823171901584,11.59926147260348,2.6875767707824707
