,streamflow_change,dprec,dT
0,51.39091581379432,27.956110705757535,2.3582515716552734
1,8.544723553602873,-14.495396209129824,3.092966079711914
2,20.438146744655512,11.519513953564712,3.2814197540283203
3,22.444043387116583,-7.950557274658239,3.362407684326172
4,16.25874811105544,-46.28950249792298,3.9871864318847656
5,13.057889041454226,247.61062921565386,2.821575164794922
6,-4.0893797876327795,99.5642482125616,1.5058174133300781
7,-18.021878826064732,85.60103114104861,0.8213176727294922
8,0.6393333150205871,72.06778839058069,0.3555564880371094
9,3.2172593214121523,-15.741691616793918,1.620840072631836
10,0.27496525518124254,32.822744436366754,1.8882331848144531
11,4.2577711418195925,11.59926147260348,2.6875767707824707
