,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13
2067-01-02,0.0,0.0,0.0,0.0,0.0,0.004999267047948877,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2067-01-03,0.0,0.0,0.0,0.0012703435172790082,0.001280077783822377,0.0,0.0,0.0,0.0,0.0,0.0014974875367387798,0.0013413867420681376,0.002092074208836127
2067-01-04,0.0,0.0,0.0,0.003891453768006451,0.00020153164941728388,0.0,0.0,0.0,0.0,0.0,0.00472100086943304,0.0034179696927509684,0.0056979029159040925
2067-01-05,0.0,0.0,0.0,0.001556418696970682,0.00018362478092387243,0.0,0.0,0.0,0.0,0.0,0.00207996156123629,0.00040102649638364005,0.0010258974919860845
2067-01-06,0.0,0.0,0.0,0.0006696360156142785,0.00016730900713015428,0.0,0.0,0.0,0.0,0.0,0.001285485223717557,0.0003748335557821225,0.0009396593250304788
2067-01-07,0.001999774007641184,0.03891896032283067,0.03242191439426163,0.05361141042301876,0.04052502845724652,0.03717083019593879,0.03893548138112225,0.0070586559037107465,0.031671426189984725,0.10123357785598244,0.0561094282188023,0.054472191485927246,0.0690406174382753
2067-01-08,0.016598729272506024,0.014916320881783164,0.034039005605677276,0.03335565659306593,0.01890050550057483,0.03859049347711156,0.01577383713973172,0.016887474507375853,0.03718435330811601,0.05208399281012934,0.03212215896089831,0.01519821809903403,0.02046071780202373
2067-01-09,0.0327256723835004,0.01133811974843187,0.029750711221181232,0.021446470687728345,0.017866170978235875,0.02378483048454138,0.014426363455941926,0.01909561065381193,0.036303792528980555,0.03034355016737682,0.022795703471298157,0.011077281335055835,0.01717213613590179
2067-01-10,0.01885195842030475,0.01157231257174745,0.02687796826525757,0.016584745556716084,0.014187855164538155,0.020403300776713887,0.014721098629747055,0.018338710094409166,0.032148581026938614,0.02947423377201842,0.019577281123494515,0.011092740939166755,0.017161483741809546
2067-01-11,0.015637155905048293,0.00786491282254417,0.0250944773388648,0.010553826185739332,0.009182107877974171,0.021875016456528767,0.008257722855459188,0.023909109007834304,0.04370913079486591,0.020312952178757532,0.01434252166288017,0.006251873222405395,0.011568346176197977
2067-01-12,0.01861219131914395,0.024311747559657756,0.03773951027556173,0.02266595318815181,0.022911830695251382,0.03601108040279105,0.024828912650704894,0.033284492926171194,0.03845321320187831,0.05457226695839868,0.025041147296224895,0.01976075900946407,0.02723167546381022
2067-01-13,0.37234927835598725,0.4662473531548091,0.5809458648254893,0.5147769742137775,0.4593879132579521,0.5933369789574944,0.478006893858969,0.4222355875477265,0.7846228220248236,1.0190653432237708,0.39653691987997675,0.4375115029323382,0.4479170961752661
2067-01-14,0.15220133777493577,0.047734876148728476,0.28784999277029094,0.20121080351349177,0.07864441508607578,0.16786963214533027,0.05412408061897853,0.23315440967423492,0.21972722633948868,0.1376018541196974,0.1702429362307504,0.043599283127734936,0.07314294110977482
2067-01-15,0.07451913977597793,0.04448971615505834,0.14764669971334915,0.08628033963919642,0.07165655401872413,0.09262035826252434,0.05036084770994441,0.13089367019519105,0.08917311424657974,0.12394571401752749,0.10358119041030771,0.04075160782381998,0.06699445877242494
2067-01-16,0.04605765286166012,0.041580838047032574,0.08031002131762865,0.042401779633625084,0.06528959147582701,0.07489486038642729,0.046859271265113175,0.07543983419426244,0.057041523240897805,0.1122730761087992,0.08009279718041198,0.03808992762858274,0.06136282510623607
2067-01-17,0.08826267471957694,0.06310191094976503,0.09724597725388882,0.12161477633798073,0.13420335963929567,0.08413819188934381,0.11467465128817969,0.07328107880821662,0.1097720291998599,0.16012327091456868,0.13773982965131665,0.1146855702916114,0.13151985008396855
2067-01-18,0.23887341189366806,0.29796385508199086,0.3500328030031427,0.3292889819951786,0.2777071241397669,0.37941963016397307,0.2707683352191041,0.3067949669564647,0.43526614304673544,0.5739523862794378,0.2646041797364946,0.2554805378110371,0.25180856542301355
2067-01-19,0.1245844671550208,0.07566342465132862,0.20376321607163095,0.1579579800445092,0.10740438169990633,0.16924602249441106,0.08133882311293698,0.19760691083668985,0.17457922552061006,0.1758632285864416,0.15560961458076847,0.07227551330043568,0.09752369473261238
2067-01-20,0.07201174204411763,0.057272988547407006,0.12407530387014769,0.08812859148243797,0.09643255813248502,0.10695221463925281,0.06365122695166665,0.11419944923276847,0.08828511181872485,0.13724677625769516,0.11953948355387183,0.06549685467992476,0.09002546013578966
2067-01-21,0.05194076629671839,0.05359607294991355,0.0730615179191062,0.04793881155725439,0.08069352498573985,0.090488191434303,0.059225574193940506,0.06886124601680721,0.06566615395647797,0.12459933887010803,0.09514291087527368,0.051881271380962046,0.0743106678441812
2067-01-22,0.04333004801016266,0.05018669349074553,0.048686882202650564,0.034861321935010875,0.07614452981411106,0.08234234926377469,0.06953779966201457,0.04411478924752392,0.07630333301572692,0.11323473364347061,0.08360351903649627,0.04991057012700943,0.06782256862786525
2067-01-23,0.3764956416838932,0.35629573866122766,0.4389006404784085,0.41789659638527626,0.37543948094222246,0.4979228258712589,0.356746952448625,0.41708978857814755,0.597679179068637,0.6618793147057906,0.32411261041169365,0.3506574654990254,0.32651453865232566
2067-01-24,0.3566489304046494,0.21095003892705572,0.44138738602736083,0.35890610845877485,0.2489493504648015,0.39782533731935527,0.22604300114495815,0.449091897272511,0.5135417468581656,0.39871061408196484,0.27880777953759506,0.2068386425997782,0.2119198951100456
2067-01-25,0.18456720884337552,0.09342977930244033,0.26548951452275243,0.16841332239706028,0.1287749284869433,0.21332755272952406,0.10137797896815319,0.2878652222950189,0.21086033416564093,0.1910635191297885,0.17121585865050754,0.08434630112034304,0.11120759759541288
2067-01-26,0.11116937595430522,0.07871006463029143,0.15269150419742306,0.0887328416353015,0.1140910201083016,0.16369410832805595,0.0883799330079971,0.17005496849463234,0.12253074931670169,0.16473662200231595,0.13104229412897087,0.0747759685983072,0.09866163661290198
2067-01-27,0.11116879483668382,0.10212070430011096,0.13462798686119473,0.09338331452150307,0.1321436054636626,0.17525377772197617,0.11201115689941933,0.1409037422420618,0.14680972743879483,0.1952627435579873,0.13466518414417197,0.09843502253989006,0.11484033134176119
2067-01-28,0.08561508368151033,0.07653662971355135,0.09286221380383254,0.06483237219209849,0.10442566146903585,0.13906234751059687,0.08514725695930869,0.09505201344408631,0.10733643583660744,0.14923469303565146,0.11354476672519069,0.07306747017543666,0.09118663662981355
2067-01-29,0.07002573226569335,0.0658910369757039,0.06438394189795285,0.04489856241389546,0.09014103947315075,0.11868848346340306,0.07201472700765203,0.0632337157136388,0.08562677888213645,0.12736503819258335,0.09672501898214722,0.06242329347678377,0.07863354988960064
2067-01-30,0.06255912737764706,0.0625027437898473,0.050894142797306516,0.037536989315453156,0.08284685080725457,0.1089648922138968,0.067772780585831,0.04631758881592009,0.07779786645780136,0.11695707118405985,0.08665218901990812,0.058756700091386026,0.07238689798991575
2067-01-31,0.05777233890755854,0.05843239541463134,0.04568274034102414,0.03367769049521613,0.07558533953125803,0.10299025263833203,0.06305425747124775,0.03663080868650619,0.0757401775228153,0.10612895256514573,0.07800510889968666,0.054579220495707605,0.0660092417419022
2067-02-01,1.1287128049735449,0.9917768072950979,1.3353854185800544,1.2631903010297068,1.0296972970452862,1.4269230994322417,1.0212765643593693,1.3481354919271273,1.8391691910492136,1.6946034695075776,0.8422168858090693,1.0281515650790953,0.8789869390745402
2067-02-02,1.191929909679816,0.724707672431913,1.50490355602642,1.3187767658239642,0.8162921728323047,1.2927962594245093,0.7554814705269657,1.627496765160197,1.6391106286920833,1.217063350621237,0.8497429230641498,0.7555203293324697,0.6817971394523787
2067-02-03,0.5394272389887814,0.18044942278492898,0.7696362104107881,0.5486724462772129,0.28741063547949897,0.5066604326227006,0.2013209104320154,0.9133401928028001,0.5450461727715051,0.3659964628357973,0.4362852362040497,0.17884222667845073,0.2311529714787582
2067-02-04,0.30458953081371054,0.1685828305185336,0.4163614552574769,0.2582504889576039,0.26187308720010927,0.3509134837435395,0.18732313374348356,0.5260868376409132,0.28617169190812053,0.331375332042788,0.3066652546954991,0.16716119898374232,0.21172198038068446
2067-02-05,0.21549868125105326,0.15773594475644348,0.24567736811703705,0.1464097158333284,0.23860464891649807,0.30455055718918567,0.17429861660516102,0.3155483690059797,0.2172486794753425,0.30081402663079304,0.2539147809550598,0.15624311385499715,0.19392438101789028
2067-02-06,0.32627767414065356,0.2763739946944018,0.3250156191945486,0.31809938212457894,0.37094239247360455,0.37678770018385976,0.3298089762831674,0.3340096483805178,0.40218272493763374,0.4629952858627645,0.35650670873688917,0.32396599278505733,0.3292190428139752
2067-02-07,2.0984616696105,1.4512476517265185,2.0779979661272447,1.9954154328256228,1.5872424985389477,2.2291893766913846,1.4787372754937582,2.2380845819114272,2.737845733737007,2.2879273306525882,1.2714590690347563,1.5487608349373017,1.2878378697062065
