,index,Unnamed: 0,ED,NSE,logNSE,NSEfdc,NSErunoff,Temp_Thresh,Meltfactor,Mm,Ratio_Pref,Kf,Ks,Ce,Soilstoragecapacity_Bare,beta_Bare,Interceptioncapacity_Forest,Soilstoragecapacity_Forest,beta_Forest,Interceptioncapacity_Grass,Soilstoragecapacity_Grass,beta_Grass,Interceptioncapacity_Rip,Soilstoragecapacity_Rip,beta_Rip,Kf_Rip,Ratio_Riparian
0,0,0,0.5069805383191375,0.4067539217781495,0.6977255980372795,0.9619399157677556,0.2362213857941831,1.999689345776682,4.838605343491784,0.8211051485502072,0.4723688747138025,0.649779739675571,0.0900462412899746,0.6045158644974598,74.95847216300675,0.1530134011130686,6.06360092441957,409.6341506760043,1.9582802526689032,4.332473744089524,317.45126629731845,0.1028499647028028,6.239532153794821,395.781059558888,1.7477312650173125,1.0345109590451016,0.3430751827047942
4,4,4,0.5108995509771087,0.4122538079232236,0.6866139434760226,0.9556749163911994,0.2264030215977331,1.7442636789977968,2.193373089866561,0.7079684114525359,0.5833395893142583,0.5303146364924591,0.0998170448077764,0.7972937517664646,23.94932629971306,0.7405272856212012,6.529926010605225,201.6720372359967,0.9669576601706428,2.862931813959489,372.9484780967575,0.1311583760118484,6.393183291753902,78.51419922658373,0.3560603799955267,0.4889532211444017,0.4858274332068878
5,5,5,0.5133033903786237,0.3981840048308759,0.6680745279940661,0.961903693296556,0.2383484112111688,1.598878366497006,1.0417426392843727,0.9895381528694474,0.3867166429733691,2.85807994901078,0.0908839281385926,0.7171822442586053,22.073469948073253,1.992677774848536,8.331435068096484,308.2741305594447,1.4824669880715788,2.5143327453434074,374.0963127608279,0.1071990739245828,0.5078853004216176,53.12393097605845,1.518168631502004,1.2819611069752683,0.2160934172186794
6,6,6,0.5069797146842928,0.3987322418519419,0.6786858433417802,0.9833270228512784,0.2496200749079894,0.54991472493694,4.207490179206497,0.4865004953871476,0.7444602188068454,0.4565259315210161,0.0407097483053488,0.6955580067593351,32.71779139173445,0.2778662141908895,4.948829274589446,281.8535668817326,1.3935385470773956,4.05238855378326,399.2581644009471,0.1014430313234215,2.6654894575144628,246.06611156960577,1.97148354107794,1.30779653501135,0.3884795029019675
8,8,8,0.5002850261077698,0.4119511353814039,0.7227493470888335,0.9791728733683868,0.2397123778016701,1.969626949766912,1.624735625234587,0.4154287971540177,0.3723234674359578,2.616205246519435,0.0779150895354608,0.7999648941539361,57.78307468254731,1.3439630251211816,6.635800899160463,288.0507567384791,0.1307843625961874,0.1935199473290046,305.9915093557472,1.8729660386655715,1.7531168811372777,272.67672720143,0.847150064903632,0.5642924889885884,0.1903243733532709
9,9,9,0.5115306260681114,0.4149452192411852,0.6985706993727421,0.975135191349608,0.2171287799721253,1.0122697008062098,1.0477395185915186,0.4385392859333508,0.6602323645643033,0.5208033277731502,0.0433765211685975,0.7348916644584169,24.53859096091645,1.0120001550180646,7.656138876763207,241.9657562678355,1.0167534654296309,3.297435649009725,337.50045872538533,0.1359843178881826,1.4039832263070362,126.02066034259488,1.9644564156656492,0.6853201714221694,0.2141776862272897
13,13,13,0.5135385507963564,0.3947154945767279,0.7006215962308099,0.9418424276026977,0.2283081520191776,0.0212994346603858,4.98082218679922,0.6080627168340703,0.2984201940747492,2.394734273701176,0.0943654587218365,0.6526476980503958,63.66583798406677,1.649884237935723,1.2007459562535436,367.703435502936,0.9163965441147816,2.999621314877232,287.58187769753414,0.1001200156517634,7.138880541064753,113.01767290677311,1.5769261967313273,1.3597962324865114,0.0584652304632706
15,15,15,0.5133859003414122,0.4047217178150563,0.6974088360258421,0.9478454766824336,0.2217824271974618,1.8600592602582005,1.1052531507357628,0.2727316261795184,0.3495672116880419,0.82648544335705,0.0989922256655818,0.551020329373161,48.78754546327596,1.7895035950873155,5.8502980594266,364.392472251816,1.8148393917924424,3.692509399607105,316.0580657595456,0.1441827643392355,4.271929257389077,5.0007329520511234,1.225172388663918,1.2346589184528296,0.2574637122882482
18,18,18,0.5130318810788368,0.411923722615749,0.7235576137203412,0.9779245707282068,0.2062333979805433,1.6317169815952717,2.713479282366828,0.5331690058723949,0.3631053153363524,2.3933397834379098,0.0983012021937738,0.7043905602654736,62.95083162131337,1.3759058056211944,2.2965330326604017,295.62208897220376,0.1523959355512419,0.1018531393809384,275.8486553712281,1.70027488096733,1.057510357016998,340.61762047690814,1.5652181951767206,2.2575518806115924,0.2929794816680935
25,25,25,0.5091613838465634,0.408110612910558,0.6877990624729182,0.9771913111303658,0.2327591310596558,1.4327760410423545,1.7486932737745802,0.1691180176016071,0.531972053168661,0.7723839865178568,0.0703020114702741,0.4159327646535601,60.7214980623719,1.0707571926080053,1.4667554108060852,393.1394469467445,1.9884322941344224,3.2512651794352383,267.260485274866,0.1000341776927219,7.138756954725576,151.01245574151628,0.8390288514572035,2.282001228954431,0.1227595300927483
