,index,Unnamed: 0,ED,NSE,logNSE,NSEfdc,NSErunoff,Temp_Thresh,Meltfactor,Mm,Ratio_Pref,Kf,Ks,Ce,Soilstoragecapacity_Bare,beta_Bare,Interceptioncapacity_Forest,Soilstoragecapacity_Forest,beta_Forest,Interceptioncapacity_Grass,Soilstoragecapacity_Grass,beta_Grass,Interceptioncapacity_Rip,Soilstoragecapacity_Rip,beta_Rip,Kf_Rip,Ratio_Riparian
34,34,34,0.2648039212705434,0.6140370901697503,0.7620726616078586,0.9586478300794048,0.7294493045566492,-0.153469369812274,4.057114781287648,0.4061997272419511,0.3102420049455611,1.5747916187446174,0.0791735530037291,0.7786691552425458,48.61076483002621,0.2706945853072985,9.469630901120553,386.33258956298505,0.2786310752400742,0.1040700641443415,191.29460449480555,1.40480821576633,5.84576439527209,397.54138190441085,0.6520899327917766,1.6449411077982017,0.2445238123889637
35,35,35,0.2665602222202546,0.6113365679109475,0.7651168054434792,0.9626444513948323,0.723246332019727,-0.1259907070063177,4.172279628027441,0.0874532961069594,0.3009382740164266,1.6373402832304198,0.0768922204700883,0.7180958077497106,5.9671404714255125,1.9264712874201104,9.647557366861175,717.6994724058509,1.3292113859036618,2.000279876593483,295.4572248690165,0.8452306208833414,0.92910024927704,199.5917646071006,1.99151985481379,1.3976809644745147,0.0511536519637641
38,38,38,0.2682057321646822,0.6157432808325081,0.77346080353153,0.9517600996943698,0.7059984059217856,-0.1476088375554964,4.046365088899792,0.0028677138440785,0.2584616967709668,1.3277403439507272,0.0977182516513701,0.7492275207084389,19.278876053553528,0.4514938422868315,4.575092383472397,110.97949020756072,1.4630362856827792,0.1517649863603934,269.23792483209104,0.5214058161294978,5.689941517268254,281.2098247342796,0.5916172422531983,2.050858729831857,0.2882770382359916
39,39,39,0.26780439382846,0.6151080504865476,0.7669626351533271,0.960803379709858,0.7120899929523137,-0.1408420242163279,4.191431729504085,0.2045092846667862,0.3246912544506338,2.015680683528214,0.0643756536235773,0.7890753016488095,60.6431220109445,0.6241414162318144,9.580562564319935,209.52226313692157,0.2890536705012436,2.6850907069541834,269.7437094383877,0.1578339985419656,7.499728361049423,149.97590235462252,1.0739672674916092,1.0841051147113356,0.1428717486628182
41,41,41,0.2642056152382293,0.6135853399234305,0.7646535920053996,0.965932639722828,0.7291612616715645,-0.1328073309818143,3.565060511192068,0.02425083406685,0.4591271630446988,0.5772503112040017,0.0696583946515789,0.704999959490266,1.4850766807630809,1.4295585918030642,5.632694310865551,123.14088909313304,0.751854569235408,2.088496337391585,172.41835427629456,1.560460348465581,2.528725704380484,185.28895685854195,0.5251363959946534,1.493625832879126,0.1841288957237953
42,42,42,0.2641852168530384,0.6122484584349918,0.7732065017928622,0.947517861010058,0.726807043489923,-0.1656176605424457,3.936013290989644,0.948028908245275,0.2718532915512489,2.8871090085696074,0.0933371246215413,0.4684029171219753,17.920615014701234,0.4217889085939625,9.69906654870068,141.00864263417697,1.1186876598565394,3.2099405506699505,130.31945175643284,0.1901295474987345,7.589710742226446,397.81802702172325,1.7375557872568912,2.4066283453123787,0.3242338397716033
43,43,43,0.2687335179370904,0.6138521615786181,0.7687892032172208,0.958127389192381,0.7092270414067046,-0.1733416845191184,3.963759342525453,0.3163106859724381,0.3290738872823465,1.116958975405118,0.0773349513268465,0.571389414747872,54.99402099456462,1.0697948118371594,5.632893268703479,93.77913100780782,0.8320940360539022,1.0872794162654775,232.87341230996404,1.6062474477411572,0.5954036459987693,399.768576278113,1.0147208921945794,0.5454373124696935,0.1989067710514507
45,45,45,0.2687135010882147,0.6166284682889352,0.7764861310587414,0.9527384288061824,0.7005639540384998,-0.0715176975276203,4.218779575966195,0.13805196605229,0.3284439239920705,0.7250229594708184,0.0958388133267098,0.5445994734954778,42.57503231262171,0.8682770790796788,1.274846489346788,153.9834284449283,0.520806595257012,3.375193331659045,162.95008864431787,0.8475171290745737,3.25118936392428,204.85662849079432,1.9977962157317275,2.692361905362787,0.4952892629574292
46,46,46,0.2647540628011164,0.6157849389580842,0.7734343122591048,0.9657829252398732,0.7167071782047736,-0.1611516915341679,4.085128390408773,0.2917331178606731,0.3971077930797853,0.728280912989755,0.0644069121673945,0.6312933524536897,22.61002111621621,0.5636613760618668,3.5576157542015148,363.1035164181855,1.4542050490141822,3.480270387998964,210.7916893359021,0.9077785717736092,3.914469189266188,198.8163567442428,1.862716686025538,1.4317628399502424,0.2452399945440959
49,49,49,0.2620095468258115,0.613722636909164,0.7713218235639385,0.9591126144867196,0.7327541906730344,-0.1432024561074725,4.047623179154828,0.6220031955092737,0.2946705117091341,1.276425716744274,0.0902007606742206,0.5842536524818875,73.87009189878299,1.5200478922576404,8.763080801734075,312.8316506172984,1.12380115046797,3.783021679688626,104.42970403458511,0.8549517815546412,7.031531079638784,370.2874506251852,1.9301411564260744,2.2207899181379123,0.2797638738577466
