Date and time (UTC)	Real time (s)	CPU time (s)	CPU (%)	Memory (GB)	Memory (%)	Disk read (GB)	Disk write (GB)
2022-05-31 09:41:10.585948	1.0	5.7	0	0.7	5	0.009	0.0
2022-05-31 09:41:11.589658	2.0	6.3	0	0.7	5	0.192	0.0
2022-05-31 09:41:12.593320	3.0	7.7	0	0.8	5	0.262	0.0
2022-05-31 09:41:13.596942	4.0	8.3	2	0.8	5	0.393	0.001
2022-05-31 09:41:14.600253	5.0	9.2	0	0.8	5	0.543	0.001
2022-05-31 09:41:15.603881	6.0	10.5	1	0.8	5	0.645	0.001
2022-05-31 09:41:16.606524	7.0	11.1	1	0.8	5	0.779	0.002
2022-05-31 09:41:17.609701	8.0	11.7	0	0.8	5	0.876	0.002
2022-05-31 09:41:18.613315	9.0	12.2	1	0.8	5	0.971	0.002
2022-05-31 09:41:19.633696	10.1	12.2	2	0.3	2	1.939	0.004
