,index,Unnamed: 0,ED,NSE,logNSE,NSEfdc,NSErunoff,Temp_Thresh,Meltfactor,Mm,Ratio_Pref,Kf,Ks,Ce,Soilstoragecapacity_Bare,beta_Bare,Interceptioncapacity_Forest,Soilstoragecapacity_Forest,beta_Forest,Interceptioncapacity_Grass,Soilstoragecapacity_Grass,beta_Grass,Interceptioncapacity_Rip,Soilstoragecapacity_Rip,beta_Rip,Kf_Rip,Ratio_Riparian
0,0,0,0.3768670608069668,0.4989438816427882,0.7608234608250858,0.995368174387521,0.4902637724844954,0.3055447631079526,4.495113118519837,0.4355870828478307,0.6524004156387632,0.3926157032313627,0.0695498275937397,0.5429129591442581,1.6112248480093978,1.784729159198452,3.3918171519743545,391.1404969741396,0.1101045295914611,3.857782685745733,176.36777813122464,0.7117205339032227,7.922129736429519,309.0249818730773,1.3750838936850056,0.7085949931448251,0.1314095594690228
2,2,2,0.376097202087728,0.5010195763118916,0.7827895913027256,0.9818252591481552,0.4810546506640255,0.4251570364536703,4.999900120836182,0.8416244800588986,0.6605741588651497,0.2358793238926425,0.0995031488474924,0.6056165136089237,53.42653058337242,0.8949340460825669,9.993612346056514,377.33933831562695,0.1078978181214554,3.43147597252175,222.5557025665545,0.979142881051254,1.4778092140005588,104.8036343425466,1.726329354844902,2.959066311154086,0.4835121214503779
3,3,3,0.3788029008227608,0.4911680085340609,0.7742084491375371,0.9683247466731596,0.4870951267207883,-0.1294136217019348,4.883635375577537,0.5458052825132771,0.3790969331909297,0.6334636601543988,0.0902068982815132,0.7194292268788436,36.81274388617547,1.2516514520027764,9.44777876785403,448.9345538118236,0.1250133051639328,2.298524602146649,318.3583970015975,1.0711282025953062,5.030012717920852,394.4008658851013,0.2055536709978774,0.3416930264960533,0.0959045332511221
8,8,8,0.3757535023654371,0.4948646974129719,0.7789528697931518,0.965286939975086,0.4905549353159801,-0.187752895188668,4.467578537304748,0.3978764783558841,0.501729023176798,0.3562211073984881,0.0785793707361909,0.4864709916017221,47.667909664343895,0.7778444266326371,9.473216943326308,325.2809648596145,0.1112537002202797,0.7861709225130254,278.3054972957406,1.6802539534508814,4.060499377401392,398.1196035133583,0.2747024104617426,0.7829177073789807,0.0814655464259612
15,15,15,0.3744891748551053,0.5012986880376564,0.770762130910633,0.969711728821949,0.4912778854953532,-0.1187448131380835,4.337237316145696,0.1332869956337568,0.4728070753296424,0.3772133085371223,0.0896369756571302,0.5602755539717296,25.85395594897364,1.974207048291074,6.742228855368991,305.7265003381408,0.1270164794082852,0.8613920036124392,283.6110279198057,0.9852446405734364,1.3846098349238571,292.457040903785,1.996423854322068,1.6121184427986868,0.0606859357244144
17,17,17,0.3773975596496361,0.503024159107775,0.7812899945380101,0.9727736657596944,0.4764015413295033,0.294702360283313,4.783566262213963,0.219075728218464,0.2907820516656421,0.576885671599421,0.091208023327566,0.5347460463700536,70.1889416956605,0.9785120646770342,8.637471288045507,351.6127001296858,0.1291262382887459,2.210780085882783,233.1840575942192,1.255439991308869,2.7631295412197314,257.33383680031,1.6436106908844348,2.76981537253172,0.0983069352741339
18,18,18,0.3752749584658663,0.5101544079895588,0.7732762877803163,0.975847756382324,0.4790494253389006,0.25926157226839,4.194040163798119,0.5747102297359403,0.5417565584471855,0.4256054421146634,0.0554883873908743,0.5417289922993261,74.42667209866282,0.878708269559192,7.049556935124238,359.5572663365872,0.1237883893702802,4.795691920936806,217.2760807579857,1.983459545519049,4.559691769219818,321.4865657392256,0.8916747211395711,1.4670743295123183,0.1142227678186797
21,21,21,0.3787969974343911,0.5037090999347735,0.7801093238685807,0.9904727479983606,0.4716049530952694,0.0348083924779909,3.677269684649146,0.1904779966628869,0.6120304584160822,0.3197286210816875,0.0988768192426695,0.449974002881327,37.8559085757132,1.886208349424278,3.824393162759113,328.7844664192929,0.1292635803082067,3.65810861648033,132.88659732442414,1.686340717970933,3.4239744882665657,327.1228422490848,0.536316178026749,1.712454532482607,0.3270921629231826
22,22,22,0.3785100306247904,0.4905318925261611,0.785026134550351,0.9774797561406724,0.4834724630849806,-1.2423217358416596,4.011114686368847,0.6609939061043665,0.3701886416323039,0.4705660417040228,0.0824209687267942,0.5255316354432706,7.1372057655178445,1.5030668694068436,6.210741737396594,349.2414626547725,0.1003547641990915,1.7456107184615215,153.35738130919978,0.8534928441878041,0.6857313391642853,380.8369242553658,1.4435426972692569,0.9555633620881956,0.1003076997906969
29,29,29,0.368222687616861,0.5157184991888912,0.7730098158699295,0.9869989377758857,0.4939074715381395,0.4799270409483367,4.943128175736861,0.9448918085428448,0.4938220517264656,0.3928736520033138,0.0980564453981681,0.5177140594424247,12.019620840679602,1.0059150212098535,9.840586817829786,328.81755808154816,0.100454894067483,2.0834479586831445,355.7351428304646,1.7776766370543124,7.431273766044176,384.33796344921785,1.762020200757637,1.6153984835690929,0.0951850667118094
32,32,32,0.3757660092818746,0.4850481608747294,0.7734961904055722,0.9889888221562788,0.5018034960884308,-1.5404398117220492,2.66608828313987,0.4811415808660701,0.6281475306815171,0.3133787704992207,0.0981592480210282,0.6548710682061598,23.20117078311411,1.9155258892883569,5.29295824150069,421.5201312831224,0.1000706555368881,3.650730340579116,176.2524471405667,1.1759579506407962,5.334198374288229,245.0115417621801,0.7101150481579905,1.842562424433652,0.2500491051337851
33,33,33,0.3752316577687243,0.5064540484829714,0.7802565889995551,0.9897327661873476,0.4792169367766103,0.0503127730094496,4.519866553182032,0.027001605188022,0.5145817083998834,0.4328374646621278,0.0883967073932441,0.5519488959723516,61.88572204947032,1.8193537734266727,5.860340351677247,348.30705615636043,0.1060284001718864,4.774429510138256,270.1051311617672,1.1922910863217708,7.820486429206527,98.7536243191832,1.5280557822685252,0.733902693011155,0.2721999618474875
34,34,34,0.3769192641524717,0.4964448936311323,0.7741208102436005,0.989128720266438,0.4866139965691036,-0.1963832424202829,4.013526325283914,0.3520011158560808,0.4885675527261619,0.4765909283245375,0.0960099444094397,0.4954600698084999,2.6352949613480465,0.658596280506683,6.844051660351329,332.8364420717095,0.1053675090503887,3.7395231187799514,228.41113757188376,1.5414746348002433,6.313535784962917,397.62987796951256,1.8252675750037943,1.1850342139402592,0.2555905000672172
35,35,35,0.3744179379192255,0.5034971671079478,0.778894544240146,0.9876444725983156,0.4850244430569926,0.2714553548563971,4.618270318671321,0.7951888435024982,0.597797840530492,0.3827952060360576,0.0993671316448021,0.4025416599172903,54.00380340328929,1.2157573967369817,8.451453794856963,267.5956577304248,0.124633399054646,0.2929446918889849,221.8590691229292,0.9856374661495344,3.287165330083517,66.6342558052438,1.9999468329691923,2.7867824885322627,0.485850694515013
36,36,36,0.3789368302751731,0.5057871844149817,0.7715524673340002,0.992929359036672,0.4728492538915507,0.1069066675644205,3.6620547471718754,0.4514934186631319,0.630591439634198,0.300252311936254,0.0987893633028306,0.554414514525238,22.892436852111008,0.83782412402877,9.55742711599669,313.168768361623,0.108268809923358,3.5922053452056777,155.58382860572857,1.8375007142673685,7.86611970271786,308.3978314088272,1.5226762866061616,1.1574513591583209,0.2112194119466423
41,41,41,0.3744136040107506,0.503829642158161,0.7551194117562203,0.9654443064779382,0.4966148939241769,0.1923776928161453,4.527213772652666,0.2180321125925172,0.7594855729939384,0.2650482001899075,0.0748233977331496,0.5872131634259666,50.923232612954855,1.849577813976404,1.9844802339394705,353.91285394983737,0.1183089363541537,2.3195317415478103,282.2935349390882,1.3773246718406866,7.275572728147585,332.3521741904073,1.5273042794966416,0.8294006727755608,0.4599155579143063
42,42,42,0.3773214742696557,0.4838297187251712,0.7602220215018409,0.9913351846358832,0.5045349028328915,-0.2511272184573818,4.096936619560991,0.9803678742540306,0.7181311631794559,0.3195038212303727,0.0987621558146823,0.5036425816875131,74.4898265292173,1.9638652272514685,6.558842259625044,392.7959939383408,0.1031409423859299,1.121057884889488,268.989788059642,0.9860317088328332,0.7021403418200949,117.68399006492822,1.019263935175174,0.6486524067755313,0.2934889081146988
44,44,44,0.3760478250520577,0.4853354929827553,0.7741548780683998,0.9876260488367876,0.5003909745065251,-1.2679859884497393,2.5723651204390148,0.6000647598155288,0.5608799893273274,0.3074809074022991,0.0998386490476755,0.4987670987105198,56.71733541890112,0.9943402733219328,6.019708713542101,411.63620024683286,0.1018474487853284,2.9514647018774034,204.08959026286024,1.847732423608152,2.9205667867171745,249.507035323478,1.0576802397956628,1.331977967853618,0.0541297026939356
46,46,46,0.3771045838253509,0.4849603301587175,0.772458050363011,0.9665410658095508,0.4993296813906536,-1.3320766042090495,3.2289105130081324,0.2221294513329442,0.3211740236524858,0.6320529326364317,0.0985403330799604,0.5341533220494717,1.0143057584719897,1.315056671293998,5.394205461575118,347.06823844058425,0.1092400837624123,3.337634417496369,326.8538867438746,1.4122638205838651,6.157679222226893,161.68242895684702,0.8760591782147621,1.7869509516280797,0.0816025990584528
