Date and time (UTC)	Real time (s)	CPU time (s)	CPU (%)	Memory (GB)	Memory (%)	Disk read (GB)	Disk write (GB)
2022-05-31 11:33:12.182100	1.0	4.7	0	0.7	4	0.004	0.0
2022-05-31 11:33:13.185790	2.0	4.8	0	0.7	4	0.005	0.0
2022-05-31 11:33:14.189830	3.0	5.9	0	0.7	5	0.164	0.0
2022-05-31 11:33:15.193523	4.0	7.4	0	0.8	5	0.221	0.0
2022-05-31 11:33:16.196925	5.0	7.9	1	0.8	5	0.387	0.001
2022-05-31 11:33:17.200314	6.0	9.1	1	0.8	5	0.508	0.001
2022-05-31 11:33:18.203979	7.0	10.0	1	0.8	5	0.634	0.001
2022-05-31 11:33:19.208293	8.0	11.0	0	0.8	5	0.762	0.001
2022-05-31 11:33:20.211734	9.0	11.7	1	0.8	5	0.876	0.002
2022-05-31 11:33:21.215078	10.0	12.4	0	0.8	5	0.972	0.002
2022-05-31 11:33:22.218289	11.0	13.5	1	1.0	6	0.972	0.002
2022-05-31 11:33:23.221324	12.0	14.5	0	1.1	7	0.972	0.002
