,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14
2067-01-20,1.827175682978943e-05,6.624859579186409e-05,1.7706810696221376e-05,4.467588486123742e-07,4.412078746035627e-05,3.8299060235985125e-05,0.00011933231711737632,0.00011321201839872043,4.5308397655727554e-05,5.400931313768459e-05,2.3275917542924668e-05,5.450888271688775e-07,5.7484914210532954e-05,6.581173144453366e-05
2067-01-21,1.6838593166309792e-05,5.964911620890384e-05,1.6032507217888037e-05,4.020829246469637e-07,3.9763397525459475e-05,3.4560500748146644e-05,0.00010584812285903917,0.00010212437650504554,3.932805419104504e-05,4.905000928037574e-05,2.173942882206379e-05,4.88734507711981e-07,5.2523180129531745e-05,5.9804590774664925e-05
2067-01-22,1.556011243703269e-05,5.4051170881825564e-05,1.4553093012365975e-05,3.6187459698851497e-07,3.591795558713796e-05,3.1401618214320454e-05,9.397786585118357e-05,9.243587463368588e-05,3.423122415806028e-05,4.462822932596608e-05,2.0396686632148795e-05,4.382064117312557e-07,4.8301613066892754e-05,5.43915215216415e-05
2067-01-23,1.4419021442165772e-05,4.925430793433817e-05,1.3244037850757112e-05,3.256871056152893e-07,3.251701423400189e-05,2.8714359532974796e-05,8.352724088680241e-05,8.392288575410982e-05,2.9886168560220325e-05,4.06830006441015e-05,1.9200728394157557e-05,3.929021917878286e-07,4.4675373691519326e-05,4.9513128772142206e-05
2067-01-24,1.3399966472215724e-05,4.5110070824232296e-05,1.2084804510913735e-05,2.931183665468265e-07,2.9505410639241567e-05,2.641315002118229e-05,7.432534894795071e-05,7.64071238694117e-05,2.6180805923386817e-05,3.716052278720849e-05,1.812507669124307e-05,3.5228177447653005e-07,4.1533871274286534e-05,4.5115964265975665e-05
2067-01-25,0.0008113774984886448,0.0007735227262994544,0.00023920636241073166,0.00017636753711515883,0.0005658167571841364,0.0003508644966792813,0.001085783453078318,0.0008659836380014745,0.0003560491721355005,0.00031225688766821846,0.0006445364157418567,3.1586092218938146e-07,0.0006314101640653339,0.0006615986236039495
2067-01-26,0.00019795683229786756,0.0006256042997188181,0.00014893352949281458,0.00015134926660594186,0.0004484883810496277,0.0002965850334201804,0.0005748405938226603,0.0011468376233845054,0.00030607086936430985,0.000280743631618274,0.0003446605737728753,2.8320546049984e-07,0.0019682879317271884,0.0006479034554771061
2067-01-27,0.00018050288152714593,0.000517704236578231,0.00011132250462780802,0.00013092674929442063,0.00037595486925822504,0.00025315486064684384,0.0005087606696801622,0.0010023982303877532,0.00026351756374651215,0.0002528875254699258,0.00021204300759407012,2.539261023522168e-07,0.0016218067149277168,0.0005406380571549008
2067-01-28,0.00016496002032401652,0.000437160076917502,9.249118923422187e-05,0.0001141724817166803,0.000325132477828817,0.0002182185557342471,0.00045060401710767336,0.0008821453340528081,0.0002272811942545589,0.00022824217276246343,0.00015113472477811514,2.276738073552254e-07,0.001361492045833947,0.0004893623737663256
2067-01-29,0.00015111431287054877,0.0003755969865964791,8.076824506468814e-05,0.00010035521228387877,0.0002858731534915875,0.000189951894120105,0.00039941657042548363,0.0007809690547044082,0.00019641911951900632,0.00020641800355297203,0.00012119321896536605,2.0413562085761585e-07,0.0011639147991900501,0.0004431847179657519
2067-01-30,0.00013877581975066608,0.00032743747426838984,7.208392103862245e-05,8.889743392335539e-05,0.00025358019165995087,0.00016693994761964812,0.0003543591935706454,0.0006950098159756688,0.00017012942167010122,0.00018707474739749125,0.0001048231008924245,1.8303094320334815e-07,0.0010122348142234073,0.00040159503871547763
2067-01-31,0.0001277759058903997,0.00028893404028651736,6.497590966809726e-05,7.934218613386861e-05,0.00022605548285544068,0.00014808337425911317,0.0003146938347701933,0.0006213301136196297,0.0001477298972386945,0.0001699149393419693,9.457696436722287e-05,1.6410818469194882e-07,0.000894322918982875,0.0003641343561269905
2067-02-01,0.00011796485051414845,0.00025754064432661957,5.8881416448218264e-05,7.132711716710928e-05,0.00020215152996663532,0.00013252635793829654,0.0002797713491380521,0.0005576749743574322,0.0001286401846402839,0.00015467831288896894,8.724821008756223e-05,1.4714176636769976e-07,0.0008014210180643214,0.00033038964720325
2067-02-02,0.00010920972523441517,0.00023150377773440908,5.355246732039104e-05,6.456420921465798e-05,0.0001811934236187622,0.0001196011764089548,0.00024902078826354127,0.0005022968741972969,0.00011236655995327719,0.00014113695503786448,8.143994234558345e-05,1.3192943088394867e-07,0.0007271857700399951,0.0002999892437288257
2067-02-03,0.00010139251019369978,0.00020959593958693238,4.885521332062823e-05,5.882392177172773e-05,0.00016272949771601865,0.00010878554274750069,0.0002219399800653473,0.00045382753282331554,9.848900261889628e-05,0.00012909111651611256,7.652919556682944e-05,1.1828983138524683e-07,0.00066700576354652,0.0002725986910207063
2067-02-04,9.440842155198875e-05,0.00019094151403512152,4.4700573409603723e-05,5.3922782837379586e-05,0.0001464224666602315,9.96697609249369e-05,0.00019808724347475376,0.00041118382154141776,8.665019216765906e-05,0.00011836558569122284,7.222547252253311e-05,1.0606036966428343e-07,0.0006175137280121202,0.0002479170213885658
