,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14
2000-03-25,0.3151228728730193,0.2856893424293332,0.31423144376238576,0.2629755264489353,0.277020626770378,0.48985253471979917,0.4208256068166694,0.5090958213858002,0.34480329468985504,0.32403082082080836,0.40699172144780027,0.3043027911495031,0.7392067545543844,0.5467011211305778
2000-03-26,0.30022931836472,0.25510660462296186,0.2876396566181528,0.24803198614064342,0.24759715747514904,0.4560795571515662,0.39140813530187524,0.4617587814452486,0.3165348712888647,0.3056907096882949,0.3619586876409713,0.2914275004850876,0.6634146279668962,0.5108050562934755
2000-03-27,0.2868061731642431,0.23142470492137496,0.27013864124163744,0.23536057984034983,0.2272451223733745,0.426742133333766,0.36530760578910026,0.4226671954204383,0.29222533021748043,0.2892191466071938,0.3318289353036633,0.27970668207226157,0.6014374493017931,0.4782615597229323
2000-03-28,0.2746904229946817,0.21261909192025125,0.2565993293450348,0.22452647104137674,0.21157156394790533,0.40112305789508845,0.3421279074453381,0.38997269438742166,0.2712862352930064,0.2744002537438337,0.3091342062231256,0.26902263702891693,0.550089904535344,0.4487380101212015
2000-03-29,0.26373732316253673,0.1973297837891761,0.24516980584154374,0.21518459421104313,0.19860991408344886,0.3786451575237746,0.32152076326546986,0.362293823734682,0.2532170277599852,0.2610443291627642,0.29163642130372835,0.2592698196653157,0.507016907342071,0.42193505541158083
2000-03-30,0.2538183491057576,0.1846330614857964,0.2351297752301023,0.20706044053251585,0.1874391068757767,0.3588451203336869,0.3031800110632047,0.338591801358716,0.23759189762879196,0.2489845375622865,0.2766275741735235,0.25035358115247175,0.4704643441884284,0.39758328162542916
2000-03-31,0.24481937686389027,0.1738929375554641,0.22615593392017397,0.1999350282964421,0.17759351104377916,0.3413610333530981,0.2868365930790149,0.31808002264693597,0.22404861649880525,0.23807403650832293,0.26331764093924126,0.24218904307601552,0.4391146841167177,0.3754402153648659
2000-04-01,0.23663906767587384,0.16466435493017176,0.21806969851005853,0.19363313913506713,0.16881020476746497,0.32631923618277053,0.27225418183873984,0.3001580744307626,0.2122790388039564,0.22818347873444997,0.25133872577304384,0.23470008744726406,0.41196892173011074,0.3552876264365076
2000-04-02,0.22918743380485154,0.1566299509469219,0.2107499268888144,0.18801410378536174,0.16092022016270116,0.31285528631609694,0.2592253908113491,0.2843635561262373,0.20202102220537638,0.21919883943932833,0.24047340146428045,0.22781845113150928,0.38826163626477783,0.3369291005967804
2000-04-03,0.22238456525853528,0.1495586188538915,0.20410215249569758,0.18296457885835646,0.153801290903968,0.30073320927183556,0.24756855304238784,0.27033684536637254,0.1930515551003565,0.2110195246702032,0.23057449563531296,0.2214829138982979,0.3673997377569236,0.3201878553595436
2000-04-04,0.21615949935460688,0.14327824098534517,0.19804724272727664,0.1783928790558248,0.14735692694939115,0.2897766282830392,0.23712512896196164,0.2577952791766911,0.18518091089647043,0.2035567230097577,0.22153029963160004,0.21563857041454787,0.3489181717562748,0.30490477452551
2000-04-05,0.21044921710568737,0.13765764984532985,0.19251679290976553,0.1742245251063109,0.14150680579465508,0.27983703846765384,0.22775804485191536,0.24651418907571182,0.17824767564595803,0.19673196803414328,0.21324918696073944,0.21023617750202955,0.41870998375621216,0.2909366395304377
2000-04-06,0.20519775219626896,0.13259461033343936,0.18745090794243985,0.17039874238358524,0.1361820693244889,0.27078863474382997,0.21935234287536576,0.23631293012032878,0.17211451855560186,0.1904758835108422,0.20565255571014163,0.20523156887797078,0.9531760551010199,0.506208840506964
2000-04-07,0.2003553999201696,0.12800774150080468,0.18279687559825133,0.16686570339080356,0.13132278332642908,0.2625242118075969,0.21193534347285514,0.2270445528924987,0.16666459438289438,0.18472708716544622,0.19867136772465277,0.20058513040201092,0.8474055217109816,0.42157113495257076
2000-04-08,0.19587801486416342,0.12383102524634881,0.1785082113174667,0.16358435268009686,0.12687638180821675,0.25495189988617417,0.20530039101307898,0.21858813668958824,0.1617984833119921,0.17943123215960013,0.19224426596072702,0.19626132957402767,0.7612841754764508,0.3957481401480674
2000-04-09,0.19172638738155504,0.1200100218863974,0.1745438888826658,0.16052068816352216,0.12279658655729038,0.2479925536379712,0.1992425781466411,0.21084307012932973,0.157431588008002,0.17454016826760574,0.1863164055835479,0.19222829367408714,0.6902473463097922,0.37230054636523024
2000-04-10,0.18786569001643277,0.116499218948287,0.17086768662162888,0.15764640036470645,0.11904257819174857,0.24157765287639144,0.19369498970268662,0.20372475984972407,0.15349191954574856,0.17001120718418658,0.18083862640898868,0.1884574315156297,0.6309243963649609,0.3509931818032517
2000-04-11,0.18426498603099534,0.1132601383700935,0.1674476189879983,0.15493779268088567,0.11557831757650236,0.23564760560928233,0.18859874096642998,0.197161389159742,0.14991821411420472,0.165806478498357,0.17576680428253066,0.18492309430291995,0.580808490378387,0.33161439036117635
2000-04-12,0.1808967930687522,0.11025995642095612,0.16425543782658997,0.15237492251226,0.11237196943366821,0.23015036840550124,0.18390201062396283,0.19109145101501035,0.1466583310780753,0.16189236467746154,0.171061308809726,0.18160227154995132,0.5380198592798134,0.31397367718917774
2000-04-13,0.17773669576803214,0.10747047462062789,0.16126619320385976,0.14994091621358782,0.10939540314734447,0.2250403180111046,0.1795591902024119,0.1854618541674863,0.1436678903614085,0.15823900496325738,0.1666865334560645,0.17847431843596318,0.5011358399385649,0.29789959001186583
2000-04-14,0.1747630018341819,0.104867334617773,0.1584578461473642,0.14762142104511428,0.1066237561651705,0.22027732273532397,0.17553013597148756,0.1802264554661408,0.14090911339835616,0.15481985942428161,0.16261048078759133,0.17552071134748623,0.4690686364612432,0.2832378126131586
2000-04-15,0.17195643669492738,0.10242940567191826,0.15581092697282312,0.14540416528006953,0.10403505029570514,0.21582597340562115,0.171779510963113,0.1753449106486115,0.13834983723813055,0.15161132556631723,0.15880439303944155,0.17272482869284214,0.44097721029257575,0.26984944923663823
