,ED,NSE,logNSE,NSEfdc,NSErunoff,Ks,Ratio_Riparian
0,0.6427991541606233,0.22891499207401889,0.4648854146986545,0.7800714642101244,0.14942681640359068,0.0046,0.409
1,0.698082933856718,0.3703638058606745,0.15903659258652125,0.12262672004859188,0.7246201383242101,0.0326,0.415
2,0.577890960625787,0.1606655166187012,0.6487275887674784,0.7614470822206179,0.3283976823857281,0.0082,0.385
3,0.4063902142013281,0.41637835754347585,0.6548366976401396,0.7112854525078739,0.6572114237300096,0.0142,0.065
4,0.40977416304964576,0.3407730895121289,0.7460837677522303,0.8721395870298678,0.6047056778842237,0.0142,0.275
5,0.8441492311193165,0.32216376335146035,0.1261432158805732,0.05727704890987484,0.14061795910092645,0.0185,0.176
6,0.8525915051742237,0.20957306865436165,0.07245052251214812,0.10040674537484517,0.21689189250177932,0.0282,0.409
7,0.579806344076266,0.17892921038206022,0.5683661567648377,0.6888106626378785,0.37758714132283455,0.0059,0.203
8,0.7423511159956422,0.3044010979324293,0.3123029073949488,0.39156212266310864,0.06332559372713198,0.0387,0.5
9,0.5536901092499615,0.23625714110549212,0.8354673142363823,0.8711704511911866,0.22584256350422538,0.0068,0.13
10,0.43553018888613415,0.33002270148509716,0.8603437776581482,0.9198866613211083,0.46712609960107454,0.0096,0.269
11,0.5001791605273247,0.3106940186892666,0.5812587920201462,0.6822994104397702,0.5007043253089618,0.028,0.34
12,0.41149655434521754,0.39453510624520605,0.8418115257901133,0.8811479689610504,0.47886612015000707,0.0132,0.472
13,0.7470230206643841,0.218064384895177,0.15008820739339856,0.3056830152405273,0.35476815259663963,0.0053,0.263
14,0.6521364364246409,0.2649756356115769,0.35949694932371135,0.40428432229529565,0.3709168703445419,0.0162,0.369
15,0.5574346332889364,0.23313971172355774,0.843853174671056,0.8756963222967388,0.2157643565396994,0.0071,0.205
16,0.5088353853043457,0.1386054214999417,0.609826141543651,0.7409166901559077,0.7274318870089356,0.0082,0.165
17,0.5666401179597867,0.2922770980851366,0.6312235531364674,0.7867432963817734,0.2241276536493101,0.0117,0.482
18,0.6315513716952378,0.22931561676158296,0.29927319043227285,0.33566157920097317,0.7371111968982783,0.0153,0.069
19,0.6104315275938796,0.3332995804985218,0.4570615039422581,0.5044988777518041,0.28886458567423434,0.0346,0.464
20,0.3380223753741698,0.37388913561731296,0.8945599308173906,0.938963149292678,0.7759942295768976,0.0094,0.133
21,0.6069835640204573,0.2417393994277396,0.7366430436950566,0.8382722036325552,0.10376103463884834,0.0126,0.289
22,0.6456651206527377,0.20867044190887896,0.7517496281698105,0.84202383545355,0.022888641493338135,0.0061,0.319
23,0.5714660304375049,0.2236671913986209,0.8361763828521314,0.8642621040522489,0.18861962549408573,0.0076,0.202
