Date and time (UTC)	Real time (s)	CPU time (s)	CPU (%)	Memory (GB)	Memory (%)	Disk read (GB)	Disk write (GB)
2022-05-26 11:57:18.038499	1.0	4.7	0	0.7	4	0.003	0.0
2022-05-26 11:57:19.045799	2.0	5.3	1	0.7	5	0.046	0.0
2022-05-26 11:57:20.048612	3.0	5.5	0	0.8	5	0.105	0.001
2022-05-26 11:57:21.052295	4.0	5.5	1	0.8	5	0.105	0.001
2022-05-26 11:57:22.057484	5.0	5.7	0	0.8	5	0.105	0.001
2022-05-26 11:57:23.060473	6.0	6.2	0	0.8	5	0.153	0.003
2022-05-26 11:57:24.064176	7.0	6.2	0	0.8	5	0.191	0.005
2022-05-26 11:57:25.067608	8.0	6.2	1	0.8	5	0.191	0.005
2022-05-26 11:57:26.071248	9.0	6.2	0	0.8	5	0.191	0.005
2022-05-26 11:57:27.074761	10.0	6.2	0	0.8	5	0.191	0.005
2022-05-26 11:57:28.078451	11.1	6.2	0	0.8	5	0.191	0.005
2022-05-26 11:57:29.082142	12.1	6.3	2	0.8	5	0.274	0.006
2022-05-26 11:57:30.085907	13.1	6.3	0	0.8	5	0.322	0.006
2022-05-26 11:57:31.088697	14.1	6.4	0	0.8	5	0.326	0.006
2022-05-26 11:57:32.092680	15.1	6.4	1	0.8	5	0.326	0.006
2022-05-26 11:57:33.096320	16.1	6.4	0	0.8	5	0.326	0.006
2022-05-26 11:57:34.099914	17.1	6.4	0	0.8	5	0.326	0.006
2022-05-26 11:57:35.102740	18.1	6.4	0	0.8	5	0.35	0.006
2022-05-26 11:57:36.105570	19.1	6.4	0	0.8	5	0.365	0.007
2022-05-26 11:57:37.108898	20.1	6.4	0	0.8	5	0.374	0.007
2022-05-26 11:57:38.112676	21.1	6.5	1	0.8	5	0.398	0.007
2022-05-26 11:57:39.116053	22.1	6.5	1	0.8	5	0.419	0.007
2022-05-26 11:57:40.119765	23.1	6.6	0	0.8	5	0.506	0.007
