Date and time (UTC)	Real time (s)	CPU time (s)	CPU (%)	Memory (GB)	Memory (%)	Disk read (GB)	Disk write (GB)
2022-05-31 10:02:42.925293	1.0	4.7	0	0.7	4	0.004	0.0
2022-05-31 10:02:43.928759	2.0	5.9	0	0.7	5	0.105	0.0
2022-05-31 10:02:44.932079	3.0	7.1	0	0.8	5	0.199	0.0
2022-05-31 10:02:45.935720	4.0	7.7	1	0.8	5	0.373	0.001
2022-05-31 10:02:46.939113	5.0	9.1	2	0.8	5	0.452	0.001
2022-05-31 10:02:47.942684	6.0	10.0	0	0.8	5	0.586	0.001
2022-05-31 10:02:48.947116	7.0	10.7	0	0.8	5	0.75	0.001
2022-05-31 10:02:49.949815	8.0	11.4	0	0.8	5	0.822	0.002
2022-05-31 10:02:50.952449	9.0	12.1	1	0.8	5	0.917	0.002
2022-05-31 10:02:51.956211	10.0	13.0	1	0.9	6	0.971	0.002
2022-05-31 10:02:52.959941	11.0	14.0	0	1.1	7	0.971	0.002
2022-05-31 10:02:53.963798	12.0	15.0	1	1.1	7	0.971	0.002
