,streamflow_change,dprec,dT
0,61.21225535779923,15.199832644566175,3.651139974594116
1,91.04570708695422,-1.8925909463138342,4.918680906295776
2,77.40406885522974,9.373241585193796,5.046348512172699
3,34.675702528905795,13.962656674476218,3.627213478088379
4,20.133630069375187,-13.71713643961644,3.9481582641601562
5,-4.860306976384461,-24.63473560354525,3.355069160461426
6,6.641579565727312,6.1730080581457525,2.1251821517944336
7,23.529933370182835,27.717545690354545,1.7603816986083984
8,35.4394461439896,44.21514190989952,0.9432778358459473
9,35.485326970169815,22.967059981699844,1.887535959482193
10,33.95755729005378,20.347784548544663,1.7667115926742554
11,56.11660780663959,17.44087708139429,3.2674851417541504
