Date and time (UTC)	Real time (s)	CPU time (s)	CPU (%)	Memory (GB)	Memory (%)	Disk read (GB)	Disk write (GB)
2022-05-31 11:49:34.034435	1.0	4.5	0	0.3	2	0.0	0.0
2022-05-31 11:49:35.038271	2.0	4.5	2	0.3	2	0.0	0.0
2022-05-31 11:49:36.041777	3.0	4.5	0	0.3	2	0.0	0.0
2022-05-31 11:49:37.080087	4.0	4.6	15	0.3	2	0.003	0.0
2022-05-31 11:49:38.083940	5.1	5.9	0	0.7	5	0.079	0.0
2022-05-31 11:49:39.087676	6.1	7.0	0	0.8	5	0.198	0.0
2022-05-31 11:49:40.091462	7.1	7.7	0	0.8	5	0.379	0.001
2022-05-31 11:49:41.095516	8.1	9.0	1	0.8	5	0.419	0.001
2022-05-31 11:49:42.099282	9.1	9.7	0	0.8	5	0.586	0.001
2022-05-31 11:49:43.103127	10.1	10.7	1	0.8	5	0.761	0.001
2022-05-31 11:49:44.106878	11.1	11.4	1	0.8	5	0.833	0.002
2022-05-31 11:49:45.110643	12.1	12.0	0	0.8	5	0.921	0.002
2022-05-31 11:49:46.114406	13.1	13.0	1	0.9	6	0.969	0.002
2022-05-31 11:49:47.118219	14.1	14.0	1	1.1	7	0.969	0.002
2022-05-31 11:49:48.131865	15.1	14.1	1	0.8	5	0.969	0.002
