,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13
2067-01-02,0.0,0.0,0.0,0.0,0.0,0.004999267047948877,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2067-01-03,2.3370680707664296e-05,0.0003152130281506096,0.0004736178480933511,0.0002755778905874713,0.0003048236726253209,0.00039459446846281385,0.000433464471371322,0.00010513953724541504,0.0002535202162949637,0.0007482773212303573,0.00021669062477657505,0.00027093492518944536,0.0004675514872305218
2067-01-04,0.00029631042843358206,0.007234283088171782,0.006102594468770207,0.0050399733412567075,0.006026647622124734,0.00555948532926762,0.00761371022751509,0.001377889722207385,0.007999724274290186,0.018552861981900533,0.005816636039821884,0.0056993356926293304,0.00791933172166676
2067-01-05,0.001863512802409806,0.0366036016903005,0.030324532497637224,0.033385911150675705,0.03428073117794793,0.028995735167097584,0.03910766301743494,0.0073802936015401515,0.05011687384520332,0.0930310527844308,0.03215802142494302,0.032132402041351614,0.03873479852819179
2067-01-06,0.0006752288718417851,0.003921094960744381,0.01489824191767883,0.01266179424801153,0.0060527958757656715,0.006993796700757974,0.004575469473391407,0.004023443013942159,0.013938273946767415,0.013158773729188685,0.013715792242744478,0.0032342208858059038,0.006398752341245065
2067-01-07,0.0003295861830855839,0.003639010517366187,0.007589468800272945,0.00539945229253576,0.005514982769068054,0.0038902930388109683,0.004257339432967564,0.0022444183776668047,0.0055955124933286015,0.011749077373941387,0.008312506217984355,0.003022979803412198,0.005860867419594715
2067-01-08,0.06113347144013758,0.1461035433450573,0.13824235683994868,0.1524656196653037,0.1435182375072867,0.15092067235259182,0.15175923521999907,0.06382952371601917,0.19880429588544227,0.3435786318712234,0.12812680257518846,0.13774489617539773,0.15220076372901553
2067-01-09,0.06427102343060956,0.039099153009165034,0.10040142040852214,0.0862816015081769,0.05314117284368448,0.07282779474978132,0.044107606121289514,0.06041678440882494,0.10972289823982515,0.09745927690086578,0.07494687859611784,0.0356952421488993,0.04701026716861863
2067-01-10,0.06128001732725233,0.040068173536516066,0.09394878195616642,0.06100840758172513,0.046959605955211745,0.07748394005316184,0.0446044609739316,0.07770786667338328,0.11541216975189418,0.09503870067801518,0.057764461669822444,0.03320224376844356,0.04472047075288481
2067-01-11,0.18876748230311735,0.20843867752047826,0.286291300864663,0.2451569013025357,0.21374419027839808,0.28731107171845716,0.2171508217732166,0.22871793935615037,0.36750926021381647,0.4385510729386653,0.19507548380319117,0.19742526215578363,0.20562384382353643
2067-01-12,0.31512577856845575,0.2841929132248042,0.47341739427426005,0.3974594644737263,0.3011029274796194,0.44085411059506235,0.29557559366514574,0.41032108931056477,0.555026035070346,0.5745966528986535,0.30119639668691234,0.2749935852290962,0.2780411390753852
2067-01-13,0.1369079308607645,0.05465033565683901,0.23848492990014858,0.1612593295221844,0.08819080888127465,0.15475840925420584,0.06228050251307096,0.2281174445079787,0.1746694203920257,0.14237433000375505,0.14989440405038035,0.05007650885218765,0.07875137377852696
2067-01-14,0.4635647234718512,0.46975139488975565,0.6362420714970286,0.5618396834293745,0.4822704995325652,0.6371163705727686,0.48601149451191267,0.59692840467571,0.784080677240991,0.8899794943690718,0.4476495157598465,0.4534908061063724,0.44370547514421355
2067-01-15,0.47057297861480274,0.33985386098238973,0.6562143120726862,0.5475976481738197,0.38642573861576945,0.5779594051460809,0.3584593102309182,0.6524082182084211,0.7009710798711142,0.6458671296063717,0.43432383766560656,0.3337434238543142,0.34200558948644333
2067-01-16,0.3110436817561847,0.186178413895141,0.45015239621641007,0.33834983946320585,0.24692430718720293,0.3666823388067798,0.20315546639089907,0.4760572368598375,0.40095322411945733,0.38170853387204284,0.310438249101833,0.18224249889815566,0.2143660083985625
2067-01-17,0.978475617081821,0.8344037228009914,1.227205153423305,1.0968046161763365,0.9022638661095357,1.2378179527672595,0.8670677183100005,1.2483622047165517,1.5180839120970684,1.4624536774595482,0.8069035761898304,0.852698850042507,0.7785548149826412
2067-01-18,0.44070671149370183,0.16507042402746916,0.6280642823544954,0.45476573809544407,0.2637187696031136,0.462852545168916,0.18581932025951006,0.7006890496316015,0.4950860539217711,0.36367396612957686,0.4139202452821796,0.15867637682051977,0.22101005703624932
2067-01-19,0.2475481603291923,0.15308718472477328,0.33890982904251676,0.21282631761035142,0.23935977767700775,0.3114366197874261,0.1717788680671391,0.4029307917440902,0.25271192903995177,0.3280486951300131,0.2915844790968327,0.1471342948170748,0.2013614696213993
2067-01-20,0.17431573381397336,0.14364360183654748,0.19968811985709684,0.1201827698177739,0.21845698224159407,0.26852909887092535,0.16023557405845143,0.2412017594573872,0.18931001079587487,0.2983023230794231,0.2419343163422999,0.13793636659899117,0.18484698701910546
2067-01-21,1.1422472443275842,1.0118256610622178,1.304938321709351,1.2368752850244362,1.0809757260803554,1.4511346511019274,1.049406602196778,1.3772995507402344,1.7424048472540905,1.6652038252940273,0.922941631784723,1.0431245030996834,0.9304801197755141
2067-01-22,1.068954082544112,0.6171389847575214,1.2416409629146479,1.0849430280612269,0.738622855997956,1.1312581229006056,0.6541693905677621,1.36717294461882,1.3300262692661289,1.0390383775588936,0.8081640605422005,0.6362682672535885,0.6212958187057027
2067-01-23,0.6850973410419101,0.39179937634622675,0.8370712496347679,0.6723309475200846,0.49538239714281357,0.7281045208139865,0.42422730708189105,0.9666504516519319,0.7531644512031064,0.6905479570844475,0.6028128947262013,0.3717770412835528,0.43048457204983065
2067-01-24,2.1749652941011997,1.516434001413095,2.235340790044051,2.088545545718703,1.6873743686976654,2.28510021410167,1.5778316859328263,2.456938087754662,2.7568185164291927,2.318421103445736,1.4409338350380094,1.616879064957657,1.410961882068566
2067-01-25,4.136896121635038,2.5501855405400864,4.368920746658133,4.168924382880116,2.9097957635917417,4.097636134277013,2.654559830087871,4.765377635493855,5.102885089829787,3.7580710366562666,2.50486632038133,2.8259926858489965,2.383164687890739
