,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14,simulation_15,simulation_16,simulation_17,simulation_18,simulation_19
1975-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7589334042596857e-05,0.0,0.0,0.0,0.0,0.0
1975-01-04,0.00037467177605886006,2.108513586004053e-05,0.0014091563092691482,0.06446441851405796,0.0004407031040392111,0.0005551288302168247,8.1333898336299e-05,3.353903596324214e-05,5.7301006791757646e-05,0.00015331077548132833,0.0,0.056107626677050375,8.280650004107226e-05,0.013977307779007228,0.00012451135381474066,4.8545729276440645e-05,0.00041047735589610747,0.00018114178428003534,9.052149615671601e-05
1975-01-05,9.440811942745968e-05,4.577209632723265e-06,0.000703847192742469,0.04375366420156307,0.0,0.0001898896173356253,0.0,2.1428158911897935e-05,0.0,0.0,0.0,0.03238374751245269,0.0,0.0031685760186167286,0.0,8.281868754180532e-06,0.0,0.0,0.0
1975-01-06,2.378853594894028e-05,9.9363116087858e-07,0.00035155849459198133,0.03039461343981093,0.0,6.495441203762825e-05,0.0,1.3690494707623204e-05,0.0,0.0,0.0,0.019793584258270415,0.0,0.002754972830143658,0.0,1.4128812376243023e-06,0.0,0.0,0.0
1975-01-07,5.994128958673304e-06,2.1569973042320707e-07,0.00017559688579308128,0.021702641177010852,0.0,2.221856941075863e-05,0.0,8.746885166853468e-06,0.0,0.0,0.0,0.012996146247654862,0.0,0.0024276003687356356,0.0,2.4103658858673883e-07,0.0,0.0,0.0
1975-01-08,1.510373822513717e-06,4.682459199800561e-08,8.770735674020525e-05,0.015983860968540164,0.0,7.600173893879879e-06,0.0,5.588402885070302e-06,0.0,0.0,0.0,0.009245833720426394,0.0,0.002160337801804344,0.0,4.11206798493716e-08,0.0,0.0,0.0
1975-01-09,3.8057724474443205e-07,1.0164789781970895e-08,4.380818254042593e-05,0.012166549142888464,0.0,2.5997462820105564e-06,0.0,3.5704420728203733e-06,0.0,0.0,0.0,0.007104467894389642,0.0,0.001936264352049728,0.0,7.015160317314346e-09,0.0,0.0,0.0
1975-01-10,9.589615303065007e-08,2.206595869880953e-09,2.188136695511122e-05,0.009571061816975599,0.0,8.892797487528821e-07,0.0,2.2811627682433055e-06,0.0,0.0,0.0,0.005818266812632712,0.0,0.0017442788039509338,0.0,1.1967816305054106e-09,0.0,0.0,0.0
1975-01-11,2.4163484005075684e-08,4.790128903218296e-10,1.0929333107631319e-05,0.007765479922078514,0.0,3.041906346839341e-07,0.0,1.4574395744527332e-06,0.0,0.0,0.0,0.004991742948800443,0.0,0.0015769742640442943,0.0,2.0417014099879035e-10,0.0,0.0,0.0
1975-01-12,6.088606693919538e-09,1.0398521642608368e-10,5.458997256552288e-06,0.0064747091272519776,0.0,1.0405268123914954e-07,0.0,9.311611353435906e-07,0.0,0.0,0.0,0.004417012784931355,0.0,0.0014293008940740098,0.0,3.4831288693712524e-11,0.0,0.0,0.0
1975-01-13,1.5341798999455047e-09,2.2573349180467126e-11,2.726666920439761e-06,0.005523089080734125,0.0,3.5592681820417307e-08,0.0,5.949207604712842e-07,0.0,0.0,0.0,0.0039844508249882405,0.0,0.0012977233906211986,0.0,5.942194417507574e-12,0.0,0.0,0.0
1975-01-14,3.8657579372754647e-10,4.900274392230611e-12,1.3619190751738816e-06,0.0047980896760946206,0.0,1.2174976983609149e-08,0.0,3.800960948709844e-07,0.0,0.0,0.0,0.0036359203942086154,0.0,0.0011796891976147462,0.0,1.0137343698636103e-12,0.0,0.0,0.0
1975-01-15,9.740764059116592e-11,1.063762799537493e-12,6.802530787381e-07,0.004227313869959653,0.0,4.164621966372372e-09,0.0,2.4284417511623523e-07,0.0,0.0,0.0,0.0033402898576127705,0.0,0.001073291965952578,0.0,1.7294240148302277e-13,0.0,0.0,0.0
1975-01-16,2.4544341884543713e-11,2.3092406732855274e-13,3.3977367640113503e-07,0.003763913985660264,0.0,1.4245674670384304e-09,0.0,1.5515364189127484e-07,0.0,0.0005723912400392945,0.0,0.0030806135472241296,0.0,0.007584886710344751,0.0,2.950385734158253e-14,0.0,0.0,0.0
1975-01-17,6.184573560033464e-12,5.012952595705285e-14,1.6971058975477337e-07,0.0033773352857309016,0.0,4.872933208658093e-10,0.0,9.912798023919573e-08,0.0,0.004074865855207063,0.0,0.0028474183985788444,0.0,0.03324515634726374,0.0,5.033338212999811e-15,0.0,0.0,0.0
1975-01-18,0.010665097854074008,0.013915322787799937,0.05292371955498273,0.07701346109215662,0.027054175949481025,1.6668552810213995e-10,0.0,0.01879705585187416,0.0135333952303534,0.018927287251485108,0.0,0.05088173386278815,0.013845809286680994,0.07257779862379848,0.0,8.586841128308289e-16,0.0,0.0,0.05335756706753242
1975-01-19,0.004308257664956349,0.009355663494671079,0.022110538301340764,0.04965933451949162,0.012321521051527467,5.701712723934596e-11,0.0,0.011115912276977143,0.008853332337987138,0.008618404953632003,0.0,0.029058201140953636,0.00951330377322987,0.025952572221912565,0.0,1.4649093194725386e-16,0.0,0.0,0.03324117789014036
1975-01-20,0.002225590986337763,0.0065601059180231324,0.012925211040959351,0.033513674062844126,0.008639806990622,1.9503509606638913e-11,0.0,0.0067604135607439424,0.006362943056880051,0.006288522683625928,0.0,0.018531283614431564,0.0070075043297251165,0.021118284343376526,0.0,2.4991254434682602e-17,0.0,0.0,0.022254917587758376
1975-01-21,0.0013916391236677198,0.004758019107629317,0.008158371312681004,0.023666104112690902,0.006265208069246556,6.6714495344437784e-12,0.0,0.004280082130189598,0.004645469037709371,0.004686093413712103,0.0,0.012778841958941658,0.005226296865183446,0.017657234281166376,0.0,4.263491193051636e-18,0.0,0.0,0.015303992782632378
1975-01-22,0.000980358634941913,0.0035670094954745484,0.00561550240344587,0.017464715408537806,0.004711567981186871,2.2820630639461785e-12,0.0,0.002857789573527491,0.003455387183180808,0.0035764136081707617,0.0,0.009543114920250326,0.003954322192503953,0.015095672396236302,0.0,7.273487291619302e-19,0.0,0.0,0.01087908459160939
1975-01-23,0.000743696689208072,0.002765414886386483,0.004198865627137021,0.013432317729692427,0.0036755313073013993,7.806117397636302e-13,0.0,0.002033102296242188,0.0026255654391588493,0.0028010126241445246,0.0,0.00764107662039713,0.00304070879821777,0.013132996378051688,0.0,1.2408520385257616e-19,0.0,0.0,0.008037033502303371
1975-01-24,0.0005941352333665496,0.0022156956602749013,0.0033586963388911773,0.01072210757560344,0.0029676379375918075,2.6701921514960067e-13,0.0,0.0015465023396637814,0.0020422064581640787,0.0022528588068774945,0.0,0.006452321846722195,0.0023797240900131677,0.01157754102749342,0.0,2.1168852295756867e-20,0.0,0.0,0.006188370909581483
1975-01-25,0.000493933208267097,0.0018302789703429807,0.0028190719772436352,0.00883614528434851,0.0024694054222994893,9.133767483524937e-14,0.0,0.001251660684388662,0.0016278019748782197,0.0018596316641606434,0.0,0.005651013672506272,0.0018972340568145024,0.010306263546373822,0.0,3.611391959769646e-21,0.0,0.0,0.004964591605575978
1975-01-26,0.0004237320277757214,0.0015528608059420111,0.0024409750340918,0.007475170954311819,0.002106596612038597,3.124333520205922e-14,0.0,0.001066027634295527,0.0013295366751298005,0.006094013640349526,0.0,0.00506557601935628,0.0015412274388903044,0.03227133966179409,0.0,6.161010386804507e-22,0.0,0.0,0.004135239527825002
