time,streamflow,temp_era5,prec_era5
1986-01-01,0.9628245678558293,-4.2259521484375,18.505060812458396
1986-01-02,0.9717219566016919,-4.64910888671875,4.130638868082315
1986-01-03,0.9539271791099669,-4.009429931640625,5.363478627987206
1986-01-04,0.9447120264803236,-5.197113037109375,0.0
1986-01-05,0.9447120264803236,-3.78515625,10.307294223457575
1986-01-06,0.9628245678558293,-2.1102294921875,24.18360197916627
1986-01-07,0.9358146377344613,-2.819610595703125,0.002490586911108039
1986-01-08,0.9717219566016919,-2.034637451171875,12.643465166911483
1986-01-09,0.9539271791099669,-0.849334716796875,1.5927303407806903
1986-01-10,0.9987318867230599,0.876007080078125,8.245087671093643
1986-01-11,1.1337815373299007,0.276458740234375,14.363215444609523
1986-01-12,1.0527517469657963,-0.846405029296875,0.0
1986-01-13,1.0346392055902904,-0.729766845703125,0.011207640409338637
1986-01-14,1.0257418168444281,-1.140594482421875,2.5802479300182313
1986-01-15,1.0257418168444281,-0.771697998046875,6.261336361058056
1986-01-16,1.0438543582199338,-0.958343505859375,10.137935355305672
1986-01-17,1.1966987863184997,-1.146942138671875,33.310360461473465
1986-01-18,8.646990805443178,-1.137969970703125,63.67559004575014
1986-01-19,14.576782640676718,0.478912353515625,29.43873591721058
1986-01-20,6.712444280985657,-3.188995361328125,0.49562676722416654
1986-01-21,4.400076498712762,-4.168365478515625,0.4346074420027435
1986-01-22,3.473159249724163,-3.329620361328125,11.485341796651483
1986-01-23,3.023205590290548,-2.553009033203125,17.83011225052178
1986-01-24,2.6005796248620814,-3.336639404296875,3.918938711285591
1986-01-25,2.29457300478117,-4.473388671875,0.0
1986-01-26,2.114400882677455,-2.864349365234375,0.0
1986-01-27,2.4204075027583674,-0.57257080078125,7.387080858461559
1986-01-28,2.807443913203384,-0.690521240234375,2.119489578763023
1986-01-29,2.5014372931224718,-0.94921875,2.7496078982949257
1986-01-30,2.375602795145274,-0.189788818359375,6.977379298768938
1986-01-31,2.375602795145274,0.425445556640625,0.11332170361129101
1986-02-01,2.3933975726369994,1.35693359375,11.071904841810465
1986-02-02,2.3304803236484,-1.524139404296875,1.2365764909191057
1986-02-03,2.1954306730415594,0.246795654296875,4.550302214920521
1986-02-04,2.0606987863184996,-0.41162109375,1.1693304986692965
1986-02-05,1.961556454578889,-1.436859130859375,9.774308279156685
1986-02-06,1.8265068039720485,-2.575469970703125,0.12079347616236191
1986-02-07,1.7276822361162194,-4.270172119140625,0.0
1986-02-08,1.628539904376609,-6.411529541015625,0.0
1986-02-09,1.574520044133873,-5.7991943359375,0.0
1986-02-10,1.5297153365207796,-5.0860595703125,0.04358527439762838
1986-02-11,1.4756954762780434,-5.278564453125,2.339906495762989
1986-02-12,1.4216756160353072,-7.360107421875,0.2141904660675209
1986-02-13,1.3676557557925708,-8.49761962890625,0.013698228394787293
1986-02-14,1.3406458256712028,-8.683135986328125,0.04732115576189244
1986-02-15,1.3587583670467083,-6.600006103515625,30.342817213386297
1986-02-16,1.322851048179478,-5.822540283203125,22.615774534642696
1986-02-17,1.304738506803972,-9.106964111328125,5.931333499029279
1986-02-18,1.304738506803972,-11.302154541015625,1.8181284656748176
1986-02-19,1.2148113276940053,-13.675384521484375,0.17807698386604898
1986-02-20,1.2055961750643618,-11.271484375,0.6313638179562986
1986-02-21,1.1789040088267746,-7.959259033203125,5.907672015018761
1986-02-22,1.160791467451269,-5.436309814453125,18.192493356764317
1986-02-23,1.484592865023906,-2.28369140625,31.13607382401824
1986-02-24,13.04706730415594,3.1209716796875,49.754452519118786
1986-02-25,21.415379183523356,3.306121826171875,40.60404198244214
1986-02-26,15.386762780433983,2.525848388671875,2.1892257034778595
1986-02-27,9.357828613460832,2.215911865234375,0.0
1986-02-28,7.594239058477382,3.915802001953125,0.04856644791289
1986-03-01,6.748669363736668,1.3428955078125,0.013698228394787293
1986-03-02,5.740722324383964,2.301910400390625,0.0
1986-03-03,5.011771974990806,1.25909423828125,0.0
1986-03-04,4.777897756528135,3.121734619140625,1.161858843988739
1986-03-05,4.508116219198235,1.300994873046875,0.0
1986-03-06,4.211006987863185,2.75897216796875,2.376019977964461
1986-03-07,5.569765354909893,3.3994140625,27.562078926712275
1986-03-08,6.136656123574844,0.9080810546875,8.096898347139359
1986-03-09,4.966967267377712,0.454010009765625,4.557775205466896
1986-03-10,4.310149319602796,0.522216796875,1.8791481445077807
1986-03-11,3.8061757999264434,1.0078125,4.952532041352242
1986-03-12,3.4283545421110704,0.875823974609375,7.525309338234365
1986-03-13,3.1582552408973887,-1.382598876953125,0.8106860448606312
1986-03-14,2.9154836336888565,-0.735321044921875,3.9039946161210537
1986-03-15,2.6994041927179104,-2.958465576171875,0.024905870031943778
1986-03-16,2.5103346818683336,-1.929718017578125,0.7982330251252279
1986-03-17,2.3393777123942625,-1.362579345703125,0.6637414335273206
1986-03-18,2.2135432144170655,-0.511627197265625,2.879118360579014
1986-03-19,2.114400882677455,2.37237548828125,2.2427734918892384
1986-03-20,2.0784935638102247,2.453887939453125,0.0
1986-03-21,2.3304803236484,2.081451416015625,13.880041893571615
1986-03-22,2.3123677822728945,-0.94195556640625,1.3660871889442205
1986-03-23,2.2316557557925707,-0.793121337890625,4.925135790836066
1986-03-24,2.2764604634056638,-0.722869873046875,18.0966064799577
1986-03-25,2.1506259654284663,-1.11248779296875,1.3162751885829493
1986-03-26,2.141410812798823,1.870758056640625,7.430665916763246
1986-03-27,2.3933975726369994,3.623626708984375,1.2689540279097855
1986-03-28,4.598043398308202,3.662689208984375,3.8765986799262464
