Date and time (UTC)	Real time (s)	CPU time (s)	CPU (%)	Memory (GB)	Memory (%)	Disk read (GB)	Disk write (GB)
2022-05-31 11:48:24.490027	1.0	5.6	0	0.7	4	0.005	0.0
2022-05-31 11:48:25.496754	2.0	6.1	0	0.7	5	0.187	0.0
2022-05-31 11:48:26.500257	3.0	7.5	0	0.8	5	0.255	0.0
2022-05-31 11:48:27.503937	4.0	8.3	1	0.8	5	0.391	0.001
2022-05-31 11:48:28.506784	5.0	9.2	0	0.8	5	0.57	0.001
2022-05-31 11:48:29.510488	6.0	10.4	1	0.8	5	0.657	0.001
2022-05-31 11:48:30.514112	7.0	11.0	0	0.8	5	0.777	0.002
2022-05-31 11:48:31.517226	8.0	11.6	0	0.8	5	0.873	0.002
2022-05-31 11:48:32.520438	9.0	12.2	2	0.8	5	0.97	0.002
2022-05-31 11:48:33.524237	10.0	13.3	1	1.0	6	0.97	0.002
2022-05-31 11:48:34.527991	11.0	14.3	0	1.1	7	0.97	0.002
2022-05-31 11:48:35.531701	12.0	14.3	0	0.8	5	0.97	0.003
2022-05-31 11:48:36.535323	13.0	14.3	0	0.8	5	0.97	0.003
